"","age1.R","age2_no_comorbid.R","age2_comorbid.R","age3_no_comorbid.R","age3_comorbid.R"
"355",2,2,0,0,0
"356",618,570,59,18,15
"357",0,1,0,0,0
"358",0,2,0,0,0
"359",661,575,58,18,16
"360",636,593,65,12,15
"361",644,573,52,13,18
"362",609,599,59,13,19
"363",624,568,57,24,14
"364",663,612,65,23,18
"365",0,3,0,0,0
"366",0,3,0,0,0
"367",677,626,74,21,19
"368",5,6,0,0,0
"369",0,1,0,0,0
"370",2,3,0,0,0
"371",1,2,0,0,0
"372",1,1,0,0,0
"373",639,593,57,13,14
"374",647,612,65,18,12
"375",639,603,58,19,22
"376",633,579,65,18,13
"377",634,552,67,17,19
"378",0,1,0,0,0
"379",0,3,0,0,0
"380",649,562,55,15,16
"381",1,3,1,0,0
"382",3,1,0,0,0
"383",629,570,58,18,13
"384",0,1,0,0,0
"385",0,1,0,0,0
"386",0,1,0,0,0
"387",629,527,49,15,17
"388",647,609,59,15,16
"389",0,1,0,0,0
"390",647,586,56,21,17
"391",628,579,57,24,14
"392",0,1,0,0,0
"393",0,1,0,0,0
"394",608,544,53,20,16
"395",0,1,0,0,0
"396",0,1,0,0,0
"397",667,604,52,19,16
"398",624,568,58,10,16
"399",633,580,55,21,9
"400",0,1,0,0,0
"401",615,549,66,21,15
"402",619,593,72,12,15
"403",634,543,58,16,17
"404",0,1,0,0,1
"405",670,599,64,16,15
"406",601,524,60,13,11
"407",0,1,0,0,0
"408",0,1,0,0,0
"409",659,575,61,15,23
"410",0,0,0,0,0
"411",0,1,0,0,0
"412",0,1,0,0,0
"413",0,1,0,0,0
"414",0,1,0,0,0
"415",663,613,65,19,22
"416",1,1,0,0,0
"417",3,1,0,0,0
"418",631,571,48,16,20
"419",618,546,71,22,13
"420",645,607,55,20,17
"421",0,1,0,0,0
"422",652,597,66,19,18
"423",654,573,50,18,18
"424",0,1,0,0,0
"425",1,1,0,0,0
"426",0,1,0,0,0
"427",658,583,67,12,16
"428",0,2,0,0,0
"429",626,577,62,11,15
"430",634,586,67,14,22
"431",630,613,54,21,10
"432",637,611,68,19,25
"433",658,594,58,19,12
"434",627,586,71,24,9
"435",1,2,0,0,0
