"","age1_orange.R","age1_green.R","age2_no_comorbid_orange.R","age2_no_comorbid_green.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"2340",721,60,784,82,75,29,25
"2341",718,54,755,76,75,30,23
"2342",716,56,756,83,82,20,25
"2343",714,60,765,72,90,24,18
"2344",726,58,760,73,87,26,25
"2345",717,61,753,80,93,19,31
"2346",725,56,770,71,79,23,20
"2347",711,0,762,0,0,0,0
"2348",708,54,773,69,74,34,14
"2349",719,57,770,76,86,28,18
"2350",719,58,767,79,64,21,25
"2351",719,56,769,75,73,29,21
"2352",721,0,762,0,0,0,0
"2353",719,60,746,68,84,25,17
"2354",720,55,743,79,80,27,23
"2355",0,0,1,0,0,0,0
"2356",707,56,769,79,84,24,25
"2357",701,57,762,72,79,28,25
"2358",725,57,784,82,74,28,25
"2359",717,62,771,84,81,28,22
"2360",718,55,749,79,81,21,26
"2361",715,59,745,80,89,28,15
"2362",717,56,761,79,83,23,26
"2363",720,0,744,0,0,0,0
"2364",716,58,761,77,74,25,19
"2365",722,58,760,73,76,21,18
"2366",0,0,1,0,0,0,0
"2367",721,56,757,83,83,26,18
"2368",720,55,755,80,90,24,26
"2369",718,1,765,0,0,0,0
"2370",727,0,757,0,0,0,0
"2371",724,59,776,71,76,28,19
"2372",711,0,754,0,0,0,0
"2373",711,1,761,1,2,0,0
"2374",731,60,769,81,83,23,29
"2375",0,0,1,0,0,0,0
"2376",708,0,764,0,0,0,0
"2377",714,58,771,84,77,31,20
"2378",0,0,1,0,0,0,0
"2379",0,0,1,0,0,0,0
"2380",716,58,746,76,82,21,22
"2381",719,60,753,81,79,22,20
"2382",703,0,757,0,0,0,0
"2383",0,0,2,0,0,0,0
"2384",721,56,777,71,69,22,24
"2385",723,56,754,76,84,25,24
"2386",0,0,1,0,0,0,0
"2387",714,0,768,0,0,0,0
"2388",719,60,766,80,75,27,24
"2389",716,58,755,81,93,24,20
"2390",726,57,765,79,85,27,29
"2391",709,0,759,0,0,0,0
"2392",710,61,746,80,90,15,22
"2393",1,0,0,0,0,0,0
"2394",717,0,734,0,0,0,0
"2395",719,0,771,0,0,0,0
"2396",0,0,1,0,0,0,0
"2397",712,60,749,77,77,31,18
"2398",707,59,739,78,76,28,24
"2399",0,0,1,0,0,0,0
"2400",719,59,754,84,86,28,29
"2401",725,60,761,76,81,27,21
"2402",711,55,779,70,71,18,18
"2403",719,58,755,81,81,29,20
"2404",716,56,755,67,77,21,22
"2405",724,0,773,0,0,0,0
"2406",729,0,724,0,0,0,0
"2407",717,59,764,77,75,25,22
"2408",716,58,767,79,84,24,18
"2409",723,60,776,75,68,20,22
"2410",716,59,762,74,68,29,26
"2411",1,0,1,0,0,0,0
"2412",714,57,768,73,89,24,26
"2413",719,1,755,0,0,0,0
"2414",717,60,741,79,76,24,26
"2415",0,0,2,0,0,0,0
"2416",708,61,763,78,79,27,23
"2417",700,60,738,78,83,24,31
"2418",0,0,1,0,0,0,0
"2419",718,55,753,71,70,26,14
"2420",0,0,1,0,0,0,0
"2421",727,52,764,76,77,21,22
"2422",721,59,760,81,84,27,19
"2423",724,0,768,0,1,1,0
"2424",721,53,765,82,80,26,19
"2425",711,0,766,0,1,0,0
"2426",711,56,746,75,80,32,29
"2427",713,60,751,78,81,26,20
"2428",720,0,761,0,0,0,0
"2429",722,2,736,0,1,0,1
"2430",722,0,761,0,0,0,0
"2431",713,58,756,78,82,27,21
"2432",711,56,750,70,78,22,21
"2433",720,61,775,83,81,27,23
"2434",719,60,765,89,89,33,31
"2435",719,0,744,0,0,0,0
"2436",0,0,1,0,0,0,0
"2437",706,0,757,0,0,0,0
"2438",716,57,758,65,70,25,17
"2439",718,3,760,1,5,0,0
"2440",723,58,743,80,84,27,22
"2441",722,57,744,74,77,25,18
"2442",0,0,1,0,0,0,0
"2443",712,60,753,80,87,24,21
"2444",713,51,757,74,84,24,22
"2445",720,58,751,70,75,26,20
"2446",715,57,765,86,75,27,30
"2447",0,0,1,0,0,0,0
"2448",726,0,755,1,0,0,1
"2449",1,0,2,0,0,0,0
"2450",724,59,763,78,88,20,21
"2451",0,0,1,0,0,0,0
"2452",718,59,760,79,70,26,23
"2453",716,0,751,0,0,0,0
"2454",728,55,762,77,74,25,21
"2455",725,57,766,78,80,28,25
"2456",723,54,754,75,75,23,23
"2457",717,60,745,72,81,22,23
"2458",712,59,775,78,82,21,20
"2459",0,0,1,0,0,0,0
"2460",727,0,778,0,0,0,0
"2461",721,0,757,0,1,0,1
"2462",707,52,764,81,85,22,24
"2463",719,58,766,80,84,26,21
"2464",727,56,762,74,87,29,26
"2465",716,58,751,79,91,33,27
"2466",720,59,731,78,90,23,27
"2467",709,0,743,0,0,0,0
"2468",718,58,763,88,89,26,33
"2469",716,61,759,80,90,24,25
"2470",713,57,754,81,86,28,25
"2471",716,57,777,75,75,18,24
"2472",707,0,760,0,0,1,0
"2473",721,1,766,0,0,0,0
"2474",0,0,1,0,0,0,0
"2475",722,58,756,77,78,25,26
"2476",718,0,756,0,0,0,0
"2477",713,59,745,76,87,22,24
"2478",724,56,755,79,79,22,18
"2479",717,0,753,0,0,0,0
"2480",720,0,752,0,0,0,0
"2481",713,0,741,0,0,0,0
"2482",706,0,760,0,0,0,0
"2483",720,51,757,69,71,28,23
"2484",711,59,768,78,85,32,25
"2485",712,58,765,84,78,23,18
"2486",715,57,762,80,95,24,23
"2487",709,57,753,78,87,31,24
"2488",717,55,765,76,69,25,25
"2489",723,0,747,0,0,0,0
"2490",711,0,773,0,0,0,0
"2491",714,58,753,87,74,21,25
"2492",717,0,739,0,0,0,0
"2493",716,0,759,0,0,1,0
"2494",722,0,759,0,0,0,0
"2495",721,58,774,70,80,31,25
"2496",0,0,1,0,0,0,0
"2497",721,56,752,81,80,27,25
"2498",706,55,742,73,84,22,18
"2499",719,58,751,75,81,27,25
"2500",719,59,759,84,81,30,19
