"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"262",32,0,49,0,0,0,0
"263",29,0,45,0,0,0,1
"264",0,0,0,0,0,0,0
"265",21,1,52,3,35,7,36
"266",31,3,34,4,31,9,33
"267",34,0,50,0,0,0,0
"268",20,0,35,0,0,0,0
"269",21,0,44,4,21,6,44
"270",33,2,45,5,27,3,43
"271",31,1,36,5,27,6,38
"272",27,1,52,6,36,15,34
"273",30,0,30,4,21,10,34
"274",24,1,42,4,37,6,39
"275",22,4,52,2,29,7,25
"276",31,2,54,0,27,7,36
"277",27,0,43,0,0,0,0
"278",0,0,0,0,0,0,0
"279",25,0,39,0,0,0,0
"280",27,0,40,0,0,0,0
"281",35,0,35,0,0,0,0
"282",26,0,48,0,1,0,1
"283",31,0,50,0,0,0,0
"284",26,6,48,2,24,6,32
"285",34,2,27,4,27,4,27
"286",27,0,36,0,0,0,0
"287",26,1,36,4,21,7,31
"288",0,0,0,0,0,0,0
"289",31,0,41,0,0,0,1
"290",20,0,44,0,0,1,0
"291",30,0,41,2,32,6,35
"292",25,0,41,0,0,0,0
"293",32,0,41,0,0,0,0
"294",21,6,45,3,29,7,30
"295",27,0,41,0,0,0,0
"296",32,1,49,1,20,4,28
"297",29,2,52,2,34,7,36
"298",28,3,50,8,28,6,29
"299",38,3,66,5,28,12,33
"300",36,5,37,6,33,7,34
"301",31,0,46,1,29,9,34
"302",27,0,47,0,0,0,0
"303",23,7,46,5,31,7,33
"304",21,1,43,2,33,3,36
"305",23,2,34,2,31,7,36
"306",31,2,41,4,31,5,28
"307",0,0,0,0,0,0,0
"308",33,0,31,0,0,0,0
"309",0,0,0,0,0,0,0
"310",38,1,32,4,30,4,29
"311",32,1,45,6,38,9,31
"312",27,1,51,3,29,6,41
"313",30,2,34,4,24,11,40
"314",34,2,59,8,32,5,32
"315",23,3,34,4,26,4,33
"316",37,0,43,0,0,0,0
"317",25,1,52,4,27,7,35
"318",19,1,42,4,24,5,33
"319",33,3,54,4,26,6,34
"320",24,0,38,0,0,0,0
"321",31,2,52,6,31,9,37
"322",37,3,37,3,17,8,36
"323",23,2,45,2,22,7,28
"324",22,3,37,4,26,8,32
"325",0,0,0,0,0,0,0
"326",0,0,0,0,0,0,0
"327",0,0,0,0,0,0,0
"328",29,0,46,0,1,0,0
"329",0,0,0,0,0,0,0
"330",23,0,39,3,23,9,31
"331",30,2,47,4,31,9,35
"332",28,2,44,6,25,13,36
"333",24,2,62,3,27,4,35
"334",0,0,0,0,0,0,0
"335",25,0,54,0,0,0,0
"336",19,4,46,4,24,6,30
"337",27,2,57,4,19,6,39
"338",29,0,48,0,0,0,0
"339",21,2,39,11,21,5,36
"340",0,0,0,0,0,0,0
"341",29,1,43,7,33,8,29
"342",31,1,53,7,36,12,36
"343",23,3,44,3,27,5,24
"344",0,0,0,0,0,0,0
"345",29,0,52,0,0,0,0
"346",30,2,41,5,26,7,33
"347",29,0,44,0,1,0,0
"348",22,0,42,0,0,0,0
"349",26,0,40,0,0,0,0
"350",36,0,44,0,0,0,0
"351",28,0,38,0,0,0,0
"352",26,3,37,4,23,9,34
"353",29,4,44,5,24,7,30
"354",0,0,0,0,0,0,0
"355",0,0,0,0,0,0,0
"356",22,2,39,8,25,8,36
"357",26,5,36,7,28,7,38
"358",21,1,34,4,31,5,36
"359",0,0,0,0,0,0,0
"360",24,3,50,4,36,7,30
"361",27,2,46,4,23,6,34
"362",23,0,35,0,0,0,0
"363",28,0,47,0,0,0,0
"364",24,0,39,0,0,0,0
"365",28,0,50,0,0,0,0
"366",31,0,35,0,0,0,0
"367",27,0,49,0,0,0,0
"368",24,3,59,5,35,6,31
"369",33,0,42,5,25,9,33
"370",30,2,36,3,19,10,33
"371",31,0,37,0,0,0,0
"372",34,0,40,0,0,0,1
"373",30,0,43,0,0,0,0
"374",31,1,39,5,29,6,41
"375",0,0,0,0,0,0,0
"376",29,1,42,4,24,5,38
"377",30,4,51,5,25,11,36
"378",0,0,0,0,0,0,0
"379",25,1,46,5,26,9,33
"380",0,0,1,0,0,0,0
"381",32,0,47,0,0,0,0
"382",28,2,47,5,25,7,32
"383",0,0,0,0,0,0,0
"384",33,0,49,0,0,0,0
"385",33,4,42,9,26,6,28
"386",25,0,48,0,0,0,1
"387",0,0,0,0,0,0,0
"388",29,2,48,5,27,8,42
"389",20,0,45,0,0,0,0
"390",31,0,60,0,0,0,0
"391",28,1,51,3,19,8,40
"392",28,2,45,4,27,8,33
"393",0,0,0,0,0,0,0
"394",18,0,33,0,0,0,0
"395",29,0,36,0,0,0,1
"396",35,0,43,6,30,12,39
"397",0,0,0,0,0,0,0
"398",25,0,48,7,33,7,33
"399",25,5,44,4,23,8,34
"400",0,0,0,0,0,0,0
"401",22,3,37,5,36,3,35
"402",25,2,46,6,24,8,38
"403",27,2,39,2,31,6,36
"404",27,4,58,6,23,6,31
"405",0,0,0,0,0,0,0
"406",20,0,48,0,0,0,0
"407",23,0,54,0,0,0,0
"408",26,1,51,1,20,6,29
"409",0,0,0,0,0,0,0
"410",29,3,40,4,28,11,34
"411",27,0,54,0,0,0,0
"412",30,1,43,4,31,6,30
"413",32,0,39,0,0,0,0
"414",0,0,0,0,0,0,0
"415",28,2,38,6,18,5,35
"416",24,0,35,0,0,0,0
"417",28,0,60,0,0,0,0
"418",31,0,45,0,0,0,0
"419",30,2,52,4,27,4,34
"420",21,3,39,3,25,11,38
"421",0,0,0,0,0,0,0
"422",0,0,0,0,0,0,0
"423",23,0,41,0,0,0,0
"424",28,0,41,0,0,0,0
"425",37,2,49,4,30,11,35
"426",0,0,0,0,0,0,0
"427",29,0,38,0,0,0,0
"428",0,0,0,0,0,0,0
"429",34,0,41,0,0,0,0
"430",24,2,44,4,29,5,29
"431",32,0,43,0,0,0,0
"432",26,0,44,2,24,4,28
"433",26,3,36,3,24,9,45
"434",34,2,42,6,24,8,36
"435",22,3,40,4,31,10,39
"436",21,3,35,4,27,6,31
"437",36,0,38,4,22,10,34
"438",25,0,40,0,0,0,0
"439",34,0,42,0,0,0,0
"440",26,5,40,2,22,4,23
"441",25,4,45,3,31,11,33
"442",24,3,47,6,30,7,31
"443",28,0,55,3,25,4,32
"444",24,1,40,3,27,5,38
"445",22,0,55,0,0,0,0
"446",20,5,38,3,27,6,33
"447",0,0,0,0,0,0,0
"448",27,4,58,5,30,11,39
"449",22,0,52,0,0,0,0
"450",27,3,49,2,25,12,32
"451",31,2,39,4,22,5,36
"452",0,0,0,0,0,0,0
"453",24,2,43,4,30,8,33
"454",0,0,0,0,0,0,0
"455",25,0,45,0,0,0,0
"456",24,1,52,5,36,8,25
"457",0,0,0,0,0,0,0
"458",18,0,40,0,0,0,0
"459",24,1,36,2,28,10,35
"460",30,1,41,3,26,4,42
"461",27,0,46,0,0,0,0
"462",32,1,38,4,26,10,38
"463",41,4,47,4,21,7,39
"464",20,0,38,0,0,0,0
"465",34,0,51,0,0,0,0
"466",41,0,43,0,0,0,0
"467",0,0,0,0,0,0,0
"468",21,0,57,0,0,0,0
"469",25,4,49,5,26,7,30
"470",20,4,47,1,33,6,27
"471",0,0,0,0,0,0,0
"472",0,0,0,0,0,0,0
"473",0,0,0,0,0,0,0
"474",21,0,56,0,0,0,0
"475",28,1,48,8,25,2,36
"476",22,0,38,0,0,0,0
"477",34,2,41,9,29,8,32
"478",33,2,46,8,25,8,40
"479",0,0,0,0,0,0,0
"480",30,0,43,0,0,0,0
"481",39,4,47,7,31,7,31
"482",28,2,34,8,27,10,30
"483",0,0,0,0,0,0,0
"484",18,2,40,3,15,5,35
"485",28,0,34,0,0,0,0
"486",0,0,0,0,0,0,0
"487",0,0,0,0,0,0,0
"488",0,0,0,0,0,0,0
"489",22,3,52,4,29,9,26
"490",0,0,0,0,0,0,0
"491",25,0,31,0,0,0,0
"492",0,0,0,0,0,0,0
"493",35,2,43,2,28,7,40
"494",34,0,51,0,1,0,0
"495",27,1,49,5,35,4,30
"496",0,0,0,0,0,0,0
"497",25,0,44,4,32,3,38
"498",24,4,44,2,33,5,41
"499",33,0,45,0,0,0,0
"500",31,0,38,0,0,0,1
"501",31,0,38,0,0,0,0
"502",27,1,42,5,27,6,29
"503",26,1,42,4,26,8,30
"504",32,1,42,10,21,6,33
"505",30,0,47,0,0,0,0
"506",27,0,46,0,0,0,0
"507",17,0,46,0,0,0,0
"508",26,6,44,3,32,6,42
"509",31,0,50,0,0,0,0
"510",31,0,34,0,0,0,0
"511",0,0,0,0,0,0,0
"512",23,0,37,0,0,0,0
"513",36,0,42,0,0,0,0
"514",25,3,34,3,34,4,34
"515",0,0,0,0,0,0,0
"516",29,4,39,7,18,4,38
"517",33,2,42,4,31,7,32
"518",0,0,0,0,0,0,0
"519",31,0,40,0,0,0,0
"520",0,0,0,0,0,0,0
"521",36,0,41,0,0,0,0
"522",42,0,46,0,0,0,0
"523",32,0,36,0,0,0,0
"524",23,0,39,3,26,7,40
"525",31,0,32,0,0,0,0
"526",31,0,43,0,0,0,0
"527",21,0,47,2,26,5,34
"528",22,1,35,2,21,10,28
"529",29,0,50,0,0,0,0
"530",33,2,49,3,29,7,33
"531",29,0,29,0,0,0,0
"532",38,3,36,6,33,7,32
"533",28,0,50,5,25,10,37
"534",30,4,45,3,34,5,37
"535",32,0,43,0,0,0,0
"536",25,3,39,2,29,9,33
"537",37,2,39,3,35,7,30
"538",0,0,0,0,0,0,0
"539",30,1,57,6,24,11,33
"540",37,0,42,0,0,0,0
"541",40,2,48,4,32,4,34
"542",32,0,47,0,0,0,0
"543",33,0,50,0,0,0,0
"544",0,0,0,0,0,0,0
"545",0,0,0,0,0,0,0
"546",26,0,49,0,0,0,0
"547",28,2,47,2,24,6,27
"548",31,2,38,5,29,7,35
"549",34,2,48,5,22,5,40
"550",34,2,47,1,26,9,31
"551",30,0,48,0,0,0,0
"552",28,0,42,0,0,0,0
"553",29,2,51,3,24,9,22
"554",29,1,40,3,27,8,37
"555",39,5,43,5,19,7,37
"556",33,2,49,2,25,6,28
"557",26,1,45,6,28,12,38
"558",26,3,42,5,22,7,33
"559",32,2,40,4,26,6,37
"560",28,0,55,3,24,1,25
"561",22,2,49,4,24,5,32
"562",26,1,45,2,23,8,35
"563",34,2,41,6,26,2,35
"564",26,0,36,0,0,0,0
"565",22,0,39,0,0,0,0
"566",29,1,43,7,29,9,36
"567",30,0,39,0,0,0,0
"568",33,0,34,0,0,0,0
"569",23,2,52,6,27,11,27
"570",26,2,51,1,31,3,38
"571",33,0,30,5,29,13,27
"572",35,4,50,4,21,6,34
"573",26,1,40,5,25,5,31
"574",28,0,43,0,0,0,0
"575",39,0,31,4,28,4,30
"576",34,0,39,0,0,0,0
"577",0,0,0,0,0,0,0
"578",27,0,39,0,0,0,0
"579",26,1,49,4,27,7,31
"580",33,1,38,3,31,6,37
"581",19,0,46,0,0,0,0
"582",25,0,59,0,1,0,0
"583",33,0,38,0,0,0,0
"584",0,0,0,0,0,0,0
"585",28,0,42,0,0,0,0
"586",32,2,40,6,37,10,32
"587",35,2,41,4,35,5,36
"588",0,0,0,0,0,0,0
"589",31,0,46,0,0,0,0
"590",35,1,36,5,24,4,21
"591",0,0,0,0,0,0,0
"592",33,0,42,0,0,0,0
"593",0,0,0,0,0,0,0
"594",22,2,54,4,30,6,26
"595",30,0,51,0,0,0,1
"596",31,1,35,5,25,4,36
"597",21,0,34,0,0,0,0
"598",30,2,43,5,17,5,33
"599",34,0,61,0,0,0,0
"600",35,2,29,4,25,6,28
"601",0,0,0,0,0,0,0
"602",29,1,46,2,28,5,34
"603",0,0,0,0,0,0,0
"604",22,5,44,1,24,5,33
"605",23,4,45,2,36,2,22
"606",0,0,0,0,0,0,0
"607",30,0,53,6,26,8,37
"608",0,0,0,0,0,0,0
"609",0,0,0,0,0,0,0
"610",29,0,60,0,0,0,0
"611",34,0,35,0,0,0,0
"612",16,5,38,5,30,10,31
"613",22,3,42,5,29,6,39
"614",26,0,38,0,0,0,0
"615",31,1,28,5,27,2,32
"616",32,1,34,3,27,10,31
"617",33,3,55,5,22,6,33
"618",0,0,0,0,0,0,0
"619",0,0,0,0,0,0,0
"620",26,1,30,4,27,6,28
"621",25,1,60,2,33,6,29
"622",27,2,53,8,34,7,35
"623",30,0,46,0,0,0,0
"624",27,0,58,0,0,0,0
"625",21,0,42,0,0,0,0
"626",30,4,35,3,27,7,34
"627",30,1,39,5,34,5,33
"628",26,3,53,6,28,3,29
"629",23,2,39,3,34,6,35
"630",19,4,46,3,31,10,32
"631",29,0,44,7,25,10,34
"632",33,4,48,1,29,2,38
"633",28,0,31,0,0,0,0
"634",31,2,44,6,30,6,26
"635",25,4,50,7,25,5,39
"636",0,0,0,0,0,0,0
"637",19,0,41,0,0,0,0
"638",31,1,43,3,26,5,25
"639",32,0,42,0,0,0,0
"640",29,0,46,0,0,0,0
"641",29,3,46,8,28,6,24
"642",23,0,42,4,27,11,36
