"","age1.I","age2_no_comorbid.I","age2_comorbid.I","age3_no_comorbid.I","age3_comorbid.I"
"407",202,229,29,10,14
"408",1,1,0,0,0
"409",0,1,0,0,0
"410",217,227,25,12,16
"411",191,208,31,12,19
"412",0,1,0,0,0
"413",0,1,0,0,0
"414",218,230,33,13,14
"415",225,220,32,10,16
"416",204,202,28,9,16
"417",0,1,0,0,0
"418",222,218,25,10,17
"419",205,224,30,13,19
"420",210,184,30,7,18
"421",0,1,0,0,0
"422",233,240,35,12,13
"423",216,206,29,8,16
"424",209,238,31,11,18
"425",210,210,33,16,14
"426",0,1,0,0,0
"427",204,215,34,15,19
"428",229,230,31,17,18
"429",193,212,28,12,15
"430",0,1,0,0,0
"431",248,248,40,12,10
"432",206,216,26,13,14
"433",1,2,0,0,0
"434",0,1,0,0,0
"435",206,210,23,10,16
"436",212,226,34,11,16
"437",208,217,35,15,18
"438",1,1,0,0,0
"439",208,220,32,15,26
"440",198,221,28,10,16
"441",0,1,0,0,0
"442",1,3,1,0,0
"443",0,1,0,0,0
"444",203,217,30,11,20
"445",236,217,28,16,16
"446",0,1,0,0,0
"447",211,199,35,8,16
"448",1,1,0,0,0
"449",226,241,36,13,15
"450",210,228,30,14,19
"451",0,1,0,0,0
"452",0,1,0,0,0
"453",187,212,26,14,13
"454",0,1,0,0,0
"455",0,1,0,0,0
"456",195,200,32,11,18
"457",200,212,26,9,12
"458",1,0,0,0,0
"459",0,1,0,0,0
"460",0,1,0,0,0
"461",214,198,29,12,25
"462",205,218,35,14,17
"463",211,224,31,11,17
"464",190,215,31,12,21
"465",1,1,0,0,0
"466",1,1,0,0,0
"467",0,1,0,0,0
"468",222,208,21,10,15
"469",199,199,29,14,14
"470",243,214,30,14,17
"471",210,210,34,11,16
"472",198,231,33,13,15
"473",214,199,25,12,20
"474",205,238,41,9,23
"475",0,1,1,0,0
"476",229,218,32,11,21
"477",247,236,30,12,17
"478",234,203,32,11,18
"479",0,1,0,0,0
"480",0,1,0,0,0
"481",0,1,0,0,0
"482",196,204,33,9,15
"483",0,0,0,0,0
"484",1,1,0,0,0
"485",200,223,36,14,19
"486",0,0,0,0,0
"487",198,231,39,11,14
"488",240,211,35,9,19
"489",0,1,1,0,0
"490",204,217,36,9,14
"491",220,219,36,9,16
"492",215,229,38,13,16
"493",0,1,0,0,0
"494",0,1,0,0,0
"495",238,213,29,13,13
"496",0,1,0,0,0
"497",1,4,0,0,0
"498",218,222,27,9,17
"499",215,188,36,14,17
"500",221,228,33,10,16
"501",2,1,0,0,0
"502",205,222,39,9,15
"503",229,209,29,15,22
"504",214,240,27,12,19
"505",5,3,1,0,0
"506",1,1,0,0,0
"507",224,194,40,9,20
"508",2,2,0,0,0
"509",201,214,32,14,12
"510",212,228,35,14,11
"511",214,242,38,10,21
"512",0,1,0,0,0
"513",0,1,1,0,0
"514",231,215,38,10,15
"515",204,237,34,9,18
"516",206,219,31,12,20
"517",205,202,29,12,16
"518",1,0,0,0,0
"519",212,220,31,8,14
"520",243,213,33,14,17
"521",0,1,0,0,0
"522",0,1,0,0,0
"523",222,201,38,7,15
"524",0,1,0,0,0
"525",0,1,0,0,0
"526",209,237,32,10,18
"527",239,223,36,10,15
"528",225,245,37,10,23
"529",0,1,0,0,0
"530",0,1,0,0,0
"531",195,213,28,7,20
"532",0,1,0,0,0
"533",222,218,34,10,14
"534",206,235,40,9,21
"535",223,237,36,12,16
"536",204,218,39,7,18
"537",0,1,0,0,0
