"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"81",60.1577526126815,60.7252270388129,0,0,0
"82",53.3252218655168,52.9046414609866,154.045148116596,177.80782495544,150.838386697501
"83",46.6946927643176,49.3003167431427,0,0,0
"84",51.8181775720983,51.9745189807854,95.444569904677,89.3577292930624,95.4726106609478
"85",62.5243886389484,64.4826062860113,136.118626193722,151.343321425948,133.576296015918
"86",49.8714500313927,57.9840865434331,129.332144869906,120.232584752661,135.117744722343
"87",0,6.87863524233114,0,0,0
"88",56.0776252968543,54.9746424332375,0,0,0
"89",51.8189283742296,54.3163808198709,82.9467225996792,88.9448318872325,95.5550174514384
"90",40.1787114824584,40.6347158987974,91.2553787845266,102.992451835984,95.6655689964209
"91",0,2.00343626431367,0,0,0
"92",55.3862151912701,58.0762171838168,0,0,0
"93",36.1156960924425,41.8678248533028,76.7674687031559,73.8509304608255,80.7280575609137
"94",49.5590484354339,52.9164253304125,0,0,0
"95",49.4618733110136,49.4323979549546,80.4148201916513,87.6896712312893,93.3203868806299
"96",56.2107243003317,57.4370974327769,0,0,0
"97",81.2017364003543,84.5981746122525,0,0,0
"98",51.2890696375393,58.4632031893526,138.162838396712,107.988872224929,150.363346469189
"99",44.734313846972,51.1869903676382,0,0,0
"100",45.9732772630061,53.4618493300801,132.212917193324,127.611041403886,144.980240901567
"101",50.5362422947496,52.3434678409317,0,0,0
"102",54.5498464719068,53.7656834377172,102.291882172182,92.5360104468086,93.8689448168009
"103",51.2484813838876,50.9918316855917,0,0,0
"104",66.0268202548735,65.6130456697851,65.3672194557105,63.7836524187188,0
"105",55.911488703602,62.5383206595381,0,0,0
"106",44.8221896104122,48.7928883506877,0,0,0
"107",0,3.61504160590609,0,0,0
"108",0,4.46704050212268,0,0,0
"109",49.7649941490379,49.2237022865501,0,62.3966181461403,0
"110",50.3430456064333,50.8275418257456,0,0,0
"111",53.5640158340049,60.5694924488647,0,0,0
"112",49.127601795394,50.1022106742884,0,0,0
"113",0,0.948150362620339,0,0,0
"114",49.5367484302132,60.4401186193633,0,0,0
"115",47.2665912670212,47.5351767565188,100.041537577148,100.003691015476,89.9240604107442
"116",66.2563876206581,70.9095072288792,0,0,0
"117",57.4657951346139,58.7136931094186,115.861475671798,123.034171937487,137.693145505609
"118",90.5495591989588,98.2682743353831,0,0,0
"119",51.8114988553507,56.7333782744082,0,0,0
"120",64.4524548643503,64.8701276191251,114.563649320515,118.576239029194,114.312067665395
"121",46.7672516694946,49.3697038118005,0,0,0
