"","age1_orange.D","age2_no_comorbid_orange.D","age2_comorbid_orange.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"214",0,0,0,0,0
"215",57,82,29,0,0
"216",57,72,32,12,38
"217",0,0,0,0,0
"218",0,0,0,0,0
"219",67,93,29,9,38
"220",72,73,36,14,40
"221",54,89,38,0,0
"222",42,63,42,0,0
"223",66,69,29,1,2
"224",56,81,45,0,0
"225",53,89,43,0,0
"226",59,64,37,7,39
"227",0,0,0,0,0
"228",65,80,32,9,39
"229",60,80,33,0,0
"230",52,73,35,0,0
"231",70,89,37,0,2
"232",58,75,28,4,33
"233",67,74,44,0,0
"234",61,98,31,12,40
"235",57,94,38,12,46
"236",0,0,0,0,0
"237",55,79,25,0,1
"238",61,83,36,0,0
"239",0,0,0,0,0
"240",0,0,0,0,0
"241",57,83,31,13,47
"242",0,0,0,0,0
"243",53,88,43,0,0
"244",62,86,33,9,35
"245",72,77,32,0,1
"246",50,90,41,9,41
"247",51,72,39,0,0
"248",71,81,27,0,0
"249",57,87,29,0,0
"250",41,86,35,10,35
"251",51,83,32,5,27
"252",64,65,41,11,41
"253",0,0,0,0,0
"254",60,65,24,8,35
"255",56,76,33,0,0
"256",58,77,39,0,0
"257",50,103,40,6,43
"258",60,78,34,11,37
"259",57,82,42,2,1
"260",60,81,34,0,0
"261",0,0,0,0,0
"262",0,0,0,0,0
"263",61,75,28,7,23
"264",62,85,32,1,37
"265",64,87,37,6,37
"266",54,85,29,15,36
"267",66,73,38,0,0
"268",56,77,25,10,46
"269",52,89,28,0,0
"270",52,83,43,1,0
"271",0,0,0,0,0
"272",58,71,33,8,40
"273",67,67,30,0,0
"274",53,80,27,0,0
"275",60,85,48,0,0
"276",70,70,30,0,0
"277",0,0,0,0,0
"278",79,96,36,8,43
"279",54,82,27,10,35
"280",60,75,36,6,38
"281",55,84,39,0,0
"282",45,85,43,10,28
"283",0,0,0,0,0
"284",73,73,35,0,0
"285",55,94,30,9,34
"286",67,85,38,0,0
"287",65,104,30,0,0
"288",61,81,30,4,36
"289",61,80,27,0,0
"290",63,85,35,0,0
"291",60,70,40,6,33
"292",71,74,36,2,1
"293",54,86,36,0,0
"294",56,88,40,12,36
"295",68,71,41,8,45
"296",0,0,0,0,0
"297",67,76,34,0,0
"298",63,84,35,4,42
"299",56,75,25,0,0
"300",0,0,0,0,0
"301",46,79,34,0,0
"302",56,74,23,8,30
"303",63,91,32,12,43
"304",76,83,34,0,0
"305",62,92,42,9,35
"306",63,80,40,9,31
"307",0,0,0,0,0
"308",0,0,0,0,0
"309",60,75,32,0,1
"310",49,77,35,4,44
"311",67,81,28,9,38
"312",57,84,32,0,0
"313",61,91,35,0,0
"314",75,82,26,6,38
"315",49,89,34,0,1
"316",0,0,0,0,0
"317",69,69,23,0,0
"318",64,75,40,0,0
"319",54,76,33,0,0
"320",62,82,33,0,0
"321",0,0,0,0,0
"322",56,78,39,0,0
"323",54,78,45,0,1
"324",57,86,33,5,36
"325",66,92,37,8,44
"326",67,76,37,0,0
"327",60,77,27,0,0
"328",66,67,45,0,0
"329",0,0,0,0,0
"330",63,85,29,10,42
"331",62,77,28,5,31
"332",61,97,35,6,31
"333",63,77,34,10,34
"334",55,79,37,0,0
"335",62,90,27,3,42
"336",65,79,40,0,0
"337",56,78,36,12,41
"338",50,80,30,0,0
"339",59,76,33,4,44
"340",56,79,35,0,0
"341",0,0,1,0,0
"342",65,79,27,0,0
"343",61,84,31,0,0
"344",64,87,38,0,0
"345",0,0,0,0,0
"346",50,91,38,8,37
"347",59,95,37,0,0
"348",61,74,33,0,0
"349",59,72,31,7,36
"350",81,75,32,0,0
"351",0,0,0,0,0
"352",0,0,0,0,0
"353",71,73,45,0,0
"354",58,83,29,13,37
"355",65,79,32,10,36
"356",60,77,32,2,33
"357",61,89,33,0,1
"358",65,88,33,0,0
"359",64,75,30,11,32
"360",50,96,34,9,37
"361",56,69,27,0,0
"362",52,86,42,0,0
"363",58,73,38,12,37
"364",50,84,37,0,0
"365",70,91,42,12,41
"366",62,70,33,13,39
"367",68,87,29,0,0
"368",66,103,42,13,39
"369",62,67,42,0,0
"370",58,84,29,0,0
"371",72,80,33,0,0
"372",60,79,38,0,0
"373",61,81,32,0,0
"374",68,71,34,0,0
"375",73,72,39,7,40
"376",66,80,34,11,42
"377",61,74,36,0,0
"378",0,0,0,0,0
"379",46,79,39,0,0
"380",63,96,27,0,0
"381",58,90,31,12,39
"382",54,71,32,8,45
"383",64,73,34,0,1
"384",0,0,0,0,0
"385",64,68,30,0,2
"386",0,0,0,0,0
"387",67,84,35,0,0
"388",65,89,32,0,0
"389",68,75,35,5,23
"390",61,76,30,0,0
"391",59,81,25,9,33
"392",77,89,38,14,42
"393",51,105,33,9,42
"394",0,1,0,0,0
"395",0,0,0,0,0
"396",62,73,32,0,0
"397",1,0,0,0,0
"398",56,89,36,7,40
"399",72,91,37,0,0
"400",53,95,30,0,0
"401",55,88,41,0,0
"402",0,1,0,0,0
"403",57,72,46,9,44
"404",57,91,40,0,0
"405",65,90,29,10,42
"406",65,95,21,12,41
"407",0,0,0,0,0
"408",65,83,44,7,36
"409",56,89,32,0,0
"410",74,75,33,0,0
"411",61,86,36,0,1
"412",67,90,36,0,0
"413",71,79,37,0,0
"414",0,0,0,0,0
"415",59,66,32,1,0
"416",48,89,40,0,0
"417",0,0,0,0,0
"418",61,70,25,0,0
"419",56,77,31,0,0
"420",61,77,39,0,1
"421",47,85,43,0,0
"422",64,76,32,4,40
"423",0,0,0,0,0
"424",72,81,33,0,0
"425",48,91,27,10,47
"426",63,69,33,6,33
"427",67,97,31,0,0
"428",65,80,39,0,0
"429",63,77,38,0,0
"430",70,79,37,0,0
"431",58,91,26,1,0
"432",52,69,39,0,0
"433",61,84,42,8,40
"434",78,74,28,0,0
"435",65,82,30,0,0
"436",61,82,41,0,0
"437",58,65,28,0,0
"438",69,82,46,6,43
"439",52,68,34,14,43
"440",55,83,41,10,39
"441",60,76,35,0,0
"442",61,90,41,0,1
"443",61,86,41,10,36
"444",65,93,34,4,41
"445",0,0,0,0,0
"446",51,76,33,0,0
"447",59,84,38,0,0
"448",58,78,30,0,0
"449",56,98,36,7,31
"450",63,98,30,11,28
"451",64,87,31,0,0
"452",63,72,33,0,0
"453",0,0,0,0,0
"454",53,79,32,3,33
"455",0,0,0,0,0
"456",49,78,43,0,0
"457",55,78,33,8,22
"458",71,77,45,13,37
"459",68,76,36,0,2
"460",61,82,40,4,34
"461",62,84,33,0,0
"462",65,76,34,0,0
"463",0,0,0,0,0
"464",56,72,22,7,35
"465",70,82,38,12,48
"466",66,77,29,0,0
"467",0,1,0,0,0
"468",57,77,41,6,35
"469",62,69,37,12,35
"470",53,72,29,9,41
"471",61,69,40,0,0
"472",41,86,34,0,0
"473",0,1,0,0,0
"474",61,75,30,0,0
"475",0,0,0,0,0
"476",55,77,31,5,42
"477",55,86,28,0,0
"478",0,0,0,0,0
"479",64,61,37,0,0
"480",57,95,25,10,27
"481",0,0,0,0,0
"482",56,87,31,0,0
"483",0,0,0,0,0
