"","age1_orange.H","age2_no_comorbid_orange.H","age2_comorbid_orange.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"455",0,0,0,0,0
"456",15,21,6,0,0
"457",22,17,9,0,0
"458",17,26,8,0,0
"459",17,22,10,3,8
"460",20,19,9,0,0
"461",18,18,10,0,0
"462",27,19,9,3,6
"463",23,21,5,0,0
"464",15,15,4,0,0
"465",23,19,6,0,0
"466",16,23,6,2,7
"467",0,0,0,0,0
"468",23,25,10,3,12
"469",20,21,9,0,0
"470",14,18,10,0,0
"471",20,22,8,1,7
"472",21,18,6,4,11
"473",0,0,0,0,0
"474",22,14,13,0,0
"475",14,22,10,0,0
"476",22,20,6,0,0
"477",18,16,7,0,0
"478",0,0,0,0,0
"479",22,18,8,0,0
"480",20,14,6,0,0
"481",23,21,7,2,5
"482",18,20,10,2,5
"483",16,21,7,0,0
"484",27,19,14,0,0
"485",13,17,9,0,1
"486",18,20,8,2,10
"487",0,0,0,0,0
"488",22,15,9,0,0
"489",24,18,9,0,0
"490",17,25,7,2,10
"491",19,21,5,0,0
"492",0,0,0,0,0
"493",18,17,9,0,0
"494",15,23,12,4,7
"495",19,29,10,1,5
"496",15,16,10,0,1
"497",0,0,0,0,0
"498",18,18,13,0,0
"499",22,21,6,0,0
"500",23,20,8,0,0
"501",17,18,11,4,10
"502",17,18,7,2,8
"503",24,19,8,0,0
"504",16,24,8,0,0
"505",0,0,0,0,0
"506",22,19,8,0,0
"507",0,0,0,0,0
"508",17,23,7,0,0
"509",19,23,5,2,6
"510",18,17,12,3,7
"511",21,20,13,0,0
"512",15,17,8,0,0
"513",16,25,11,0,0
"514",18,22,8,3,15
"515",0,0,0,0,0
"516",15,33,9,1,6
"517",17,20,13,0,0
"518",18,16,8,0,0
"519",21,22,9,0,0
"520",21,22,17,0,0
"521",19,20,7,4,7
"522",17,17,9,0,0
"523",21,18,9,0,0
"524",21,31,9,0,0
"525",20,17,9,0,0
"526",21,23,11,0,0
"527",29,19,10,0,0
"528",0,0,0,0,0
"529",16,19,8,2,5
"530",28,18,13,3,4
"531",15,15,8,4,7
"532",0,0,0,0,0
"533",17,17,7,5,6
"534",13,16,10,0,0
"535",20,20,12,0,0
"536",0,0,0,0,0
"537",20,21,12,3,13
"538",0,0,0,0,0
"539",15,24,8,4,11
"540",17,19,9,4,11
"541",19,20,8,0,0
"542",24,20,11,0,0
"543",19,19,7,0,0
"544",24,16,6,1,9
"545",16,19,9,0,0
"546",18,16,10,3,11
"547",22,21,8,0,0
"548",19,14,6,2,4
"549",17,19,7,0,0
"550",17,23,8,0,0
"551",13,25,10,0,0
"552",26,21,14,0,0
"553",19,24,9,0,0
"554",12,19,9,0,1
"555",21,20,10,3,7
"556",0,0,0,0,0
"557",0,0,0,0,0
"558",23,15,6,2,10
"559",18,26,11,0,0
"560",20,16,11,0,0
"561",15,21,7,0,0
"562",17,18,10,0,0
"563",16,18,11,0,0
"564",17,19,6,2,5
"565",19,21,10,2,5
"566",22,24,8,0,0
"567",21,25,8,0,0
"568",0,0,0,0,0
"569",0,0,0,0,0
"570",19,23,7,0,0
"571",19,25,11,0,0
"572",27,16,11,0,0
"573",21,20,9,2,7
"574",18,15,8,2,7
"575",0,0,0,0,0
"576",28,17,6,0,0
"577",21,24,7,0,0
"578",22,26,11,0,0
"579",14,26,7,2,7
"580",0,0,0,0,0
"581",20,26,15,0,0
"582",29,22,8,0,0
"583",16,17,8,0,0
"584",21,24,13,3,9
"585",0,0,0,0,0
"586",19,21,9,0,0
"587",0,0,0,0,0
"588",22,26,9,0,0
"589",15,21,5,0,1
"590",14,20,13,0,0
"591",0,0,0,0,0
"592",0,0,0,0,0
"593",24,17,11,0,0
"594",15,17,9,0,0
"595",13,20,8,3,8
"596",20,22,10,0,0
"597",12,19,8,0,0
"598",24,24,11,0,0
"599",0,0,0,0,0
"600",19,22,8,0,0
"601",0,0,0,0,0
"602",18,16,8,0,0
"603",14,21,8,0,0
"604",23,25,6,0,0
"605",0,1,0,0,0
"606",0,0,0,0,0
"607",15,20,5,0,0
"608",17,19,7,0,0
"609",0,0,0,0,0
"610",15,21,7,0,0
"611",19,19,10,2,10
"612",20,19,10,0,0
"613",20,17,9,0,1
"614",0,0,0,0,0
"615",17,19,9,0,0
"616",17,21,7,2,6
"617",23,20,8,0,0
"618",24,21,8,3,4
"619",0,0,0,0,0
"620",15,20,11,0,0
"621",19,15,7,3,8
"622",17,18,6,0,0
"623",19,22,9,0,0
"624",10,16,7,0,0
"625",21,26,12,0,0
"626",22,28,8,0,0
"627",17,15,8,0,0
"628",22,22,11,0,0
"629",19,20,5,2,4
"630",18,20,7,3,11
"631",18,21,7,1,0
"632",18,22,7,3,11
"633",18,19,15,1,0
"634",23,17,9,0,0
"635",16,23,8,3,9
"636",20,21,7,0,0
"637",17,23,12,0,0
"638",0,0,0,0,0
"639",19,13,5,3,10
"640",17,21,6,0,1
"641",19,19,8,0,0
"642",25,19,8,0,0
"643",19,24,10,3,12
"644",17,16,9,0,0
"645",22,22,11,0,0
"646",22,26,8,0,0
"647",17,17,13,0,0
"648",17,21,9,3,7
"649",22,20,10,2,4
