"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_orange.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"575",0,1,0,0,0
"576",237,238,34,0,0
"577",224,246,35,0,0
"578",235,239,36,0,0
"579",240,280,32,8,10
"580",0,1,0,0,0
"581",230,220,37,1,0
"582",229,237,30,0,0
"583",231,242,34,0,0
"584",248,244,36,12,14
"585",0,1,0,0,0
"586",226,238,29,0,1
"587",0,1,0,0,0
"588",230,238,45,0,0
"589",194,223,38,0,1
"590",234,243,39,1,0
"591",0,1,0,0,0
"592",0,1,0,0,0
"593",235,222,33,0,0
"594",245,239,33,0,0
"595",239,243,37,8,14
"596",227,229,31,0,0
"597",212,239,33,0,0
"598",203,200,26,1,0
"599",0,0,0,0,0
"600",233,280,37,0,0
"601",0,0,0,0,0
"602",235,226,39,0,0
"603",215,225,32,0,0
"604",249,219,38,0,0
"605",0,1,0,0,0
"606",1,1,0,0,0
"607",220,250,37,0,0
"608",232,220,29,0,0
"609",1,1,0,0,0
"610",244,246,40,1,0
"611",210,230,38,15,12
"612",237,255,34,0,0
"613",243,225,40,0,1
"614",0,1,0,0,0
"615",229,234,33,0,0
"616",231,245,37,9,9
"617",224,233,31,0,0
"618",226,248,43,4,10
"619",1,1,0,0,0
"620",219,205,33,1,0
"621",220,207,30,7,17
"622",233,240,36,0,0
"623",227,229,23,0,0
"624",221,237,37,0,0
"625",246,266,37,0,0
"626",234,236,32,1,1
"627",226,224,29,0,0
"628",256,253,41,0,0
"629",235,245,25,4,10
"630",230,219,33,8,18
"631",233,236,43,1,1
"632",233,221,32,15,18
"633",223,223,31,1,1
"634",219,230,38,0,0
"635",225,231,32,8,15
"636",243,242,36,0,1
"637",253,266,35,0,0
"638",0,0,0,0,0
"639",226,248,40,10,14
"640",229,253,31,0,1
"641",220,221,39,0,0
"642",217,238,40,0,0
"643",238,235,34,10,15
"644",213,223,35,0,0
"645",227,247,36,1,0
"646",239,254,44,0,0
"647",229,237,39,0,0
"648",201,241,38,6,10
"649",230,250,36,5,9
"650",215,210,38,0,0
"651",257,258,34,8,14
"652",240,243,28,0,0
"653",214,244,33,0,0
"654",220,256,34,0,0
"655",234,236,26,0,0
"656",216,234,30,0,1
"657",225,245,26,0,0
"658",225,211,29,12,9
"659",228,229,34,13,19
"660",242,264,30,0,0
"661",216,252,37,8,14
"662",230,217,33,0,0
"663",225,230,32,0,0
"664",207,224,29,1,1
"665",1,1,1,0,0
"666",229,216,32,0,0
"667",212,215,31,1,0
"668",239,232,38,0,0
"669",236,226,39,0,0
"670",225,225,34,0,0
"671",0,1,0,0,0
"672",252,270,37,10,11
"673",213,223,29,0,0
"674",241,250,43,0,0
"675",232,223,29,13,13
"676",211,244,32,0,0
"677",222,224,29,1,0
"678",235,224,36,1,0
"679",0,2,0,0,0
"680",206,215,36,0,1
"681",223,214,39,15,21
"682",228,254,32,5,14
"683",243,272,36,8,13
"684",233,238,32,0,0
"685",231,231,36,0,1
"686",247,226,35,6,12
"687",181,227,28,0,0
"688",229,253,45,4,2
"689",0,1,0,0,0
"690",240,227,33,13,16
"691",0,1,0,0,0
"692",227,208,34,0,0
"693",247,228,25,0,0
"694",0,1,0,0,0
"695",237,213,31,1,0
"696",242,240,32,0,0
"697",213,229,32,7,15
"698",200,245,31,11,13
"699",233,241,37,8,12
"700",0,0,0,0,0
"701",246,209,37,0,0
"702",196,224,34,9,12
"703",241,264,32,7,9
"704",235,226,32,8,11
"705",239,229,33,0,0
"706",232,252,40,9,18
"707",234,225,31,0,0
"708",233,235,29,0,0
"709",226,238,28,0,0
"710",221,236,35,9,10
"711",0,1,0,0,0
"712",212,201,33,6,14
"713",231,253,33,0,1
"714",232,220,35,0,0
"715",234,233,30,0,0
"716",225,213,27,1,0
"717",249,254,39,5,8
"718",221,241,36,1,1
"719",236,241,27,0,0
"720",239,260,44,0,0
"721",245,230,39,8,15
"722",229,243,32,10,17
"723",238,231,35,0,0
"724",254,276,41,0,0
"725",221,242,33,0,0
"726",223,219,26,10,16
"727",232,253,38,0,0
"728",242,249,37,7,17
"729",208,229,35,0,1
"730",218,240,36,0,0
"731",211,225,33,7,12
"732",232,217,32,0,0
"733",0,1,0,0,0
"734",200,201,43,8,14
"735",267,258,36,13,22
"736",0,0,0,0,0
"737",224,210,31,0,0
"738",208,210,39,11,15
"739",202,225,37,0,0
"740",230,253,43,0,0
"741",221,233,35,0,0
"742",206,245,31,0,1
"743",218,226,27,10,20
"744",0,1,0,0,0
"745",214,256,29,1,0
"746",192,236,28,0,0
"747",247,241,33,0,0
"748",235,233,41,0,0
"749",231,249,48,8,10
"750",241,255,34,0,0
"751",0,1,0,0,0
"752",249,241,29,1,2
"753",0,1,0,0,0
"754",228,227,32,0,0
"755",218,230,36,0,0
"756",210,245,30,7,11
"757",237,230,30,0,0
"758",213,251,31,0,0
"759",0,0,0,0,0
"760",236,239,31,10,11
"761",192,205,33,7,11
"762",0,1,0,0,0
"763",231,253,35,0,0
"764",0,0,0,0,0
"765",247,233,30,0,0
"766",217,257,36,7,13
"767",246,223,34,0,1
