"","age1_orange.A","age2_no_comorbid_orange.A","age2_comorbid_orange.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"369",29.4299570719346,33.0694734072463,28.7550018141108,0,0
"370",46.4392183307743,45.1370250696557,54.3340656337031,0,0
"371",34.0621502359096,32.717520703337,43.7196472585269,0,0
"372",36.0544828923752,39.8263895174841,46.5596108862622,0,0
"373",47.9789218211342,48.7597958894909,48.4803739956918,0,0
"374",35.6697857827646,33.3239738255908,38.0388676306208,0,0
"375",28.3945901215641,29.9515874237904,30.8553867719897,74.3378121228945,103.898324094425
"376",39.2192853946345,39.717952835203,32.7277449743427,62.68834198324,69.0844001434532
"377",46.5250442432546,48.7454029419677,52.5069044920085,0,0
"378",0,0,0,0,0
"379",32.4817971628358,31.3891760459177,27.7868865541758,0,0
"380",30.5205844314782,38.0250208144116,34.1572476069374,0,0
"381",34.6739814805491,31.8402411350474,29.1615935801775,77.9422861775445,73.3800912131989
"382",25.6329856683713,35.0801704653318,26.0949392093179,84.0736793546718,85.5236260907969
"383",42.0313388937567,45.7251691193141,45.6369339238566,0,0
"384",0,3.0220122465741,0,0,0
"385",44.7555368506565,47.2538026552129,47.8369456852307,0,0
"386",0,0,0,0,0
"387",33.1562556456568,38.2778862798893,35.0262691104349,0,0
"388",33.9113784517591,36.125097507866,33.6694839787513,0,0
"389",33.5577025654115,34.4538973824562,34.9630765657114,75.4534665634745,68.2508471263579
"390",39.7226627070374,41.2401284236878,43.2464298464907,0,0
"391",36.8939953666822,38.9281986893116,35.5795726598987,50.3150416011657,78.2574602163263
"392",28.9039484759413,30.520818445064,30.85671758068,59.6657283244205,59.089346343825
"393",27.8888805607538,31.1509386170967,39.3499590642993,47.8326189792081,50.0087672862743
"394",0,0,0,0,0
"395",0,0,0,0,0
"396",32.3412131957536,37.6463078773578,33.4299946161666,0,0
"397",0,1.83876538846923,0,0,0
"398",30.7777708661898,36.73643210209,36.6796505755606,56.7928591661007,79.1860801341819
"399",35.9829771153239,39.2848304283761,41.6957249462406,0,0
"400",35.0399214203757,31.3894431816951,31.1400244885112,0,0
"401",34.0128796798185,35.657832372437,31.6002591363004,0,0
"402",0,0,0,0,0
"403",35.2924466074923,38.7790443559632,35.3900049132845,74.1433432182381,69.9996243465346
"404",35.6320168424768,38.480059154602,37.1054560751053,0,0
