"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"339",188,16,211,23,31,11,19
"340",10,16,41,23,31,10,19
"341",7,14,23,17,29,11,19
"342",188,16,211,23,31,11,19
"343",8,16,42,23,31,11,19
"344",188,16,211,23,31,11,19
"345",11,16,40,23,31,11,19
"346",187,16,211,23,31,11,19
"347",9,1,33,6,7,3,7
"348",6,16,26,23,31,11,19
"349",10,16,40,23,31,11,19
"350",188,16,211,23,31,11,19
"351",13,16,39,23,31,11,19
"352",3,15,31,23,31,11,18
"353",12,16,37,23,31,11,19
"354",187,16,211,23,31,11,19
"355",188,16,211,23,31,11,19
"356",12,16,31,23,31,11,19
"357",1,16,20,23,31,11,19
"358",3,2,21,4,10,4,8
"359",9,16,41,23,31,11,19
"360",7,15,29,22,30,10,19
"361",11,16,41,23,31,11,19
"362",188,16,211,23,31,11,19
"363",7,16,24,22,31,11,19
"364",7,16,13,23,31,11,19
"365",9,16,32,23,31,11,19
"366",10,16,26,23,31,11,19
"367",188,16,211,23,31,11,19
"368",14,16,31,23,31,11,19
"369",7,16,33,23,31,11,19
"370",9,2,18,4,4,5,6
"371",12,16,41,23,31,11,19
"372",7,16,31,23,31,11,19
"373",11,16,39,23,31,11,19
"374",3,16,17,23,31,11,19
"375",8,16,48,23,31,11,19
"376",10,16,34,23,31,11,19
"377",4,16,27,23,31,11,19
"378",19,16,42,23,31,11,19
"379",7,16,29,23,31,11,19
"380",3,16,24,23,31,11,19
"381",17,16,37,23,31,11,19
"382",7,16,30,23,31,11,19
"383",3,16,24,23,31,11,19
"384",4,16,21,23,31,11,19
"385",5,16,21,23,31,11,19
"386",188,16,211,23,31,11,19
"387",11,1,25,5,6,3,5
"388",186,16,211,23,31,11,19
"389",15,16,39,23,31,11,19
"390",185,16,211,23,31,11,19
"391",4,16,24,23,31,11,19
"392",4,16,21,23,31,11,19
"393",187,16,211,23,31,11,19
"394",11,1,35,4,10,3,10
"395",186,16,208,23,31,11,19
"396",187,16,211,23,31,11,19
"397",3,16,36,23,31,11,18
"398",10,16,26,23,31,11,19
"399",6,16,35,23,31,11,19
"400",16,1,39,6,10,3,8
"401",15,16,37,23,31,11,19
"402",8,16,40,23,31,11,19
"403",188,16,211,23,31,11,19
"404",8,16,30,23,31,11,19
"405",7,16,34,23,30,10,18
"406",12,16,28,23,31,11,19
"407",6,16,29,23,31,11,19
"408",2,5,23,10,6,5,11
"409",4,16,14,23,31,11,19
"410",188,16,211,23,31,11,19
"411",6,0,25,1,6,4,4
"412",7,14,25,23,30,11,17
"413",9,16,32,23,31,11,19
"414",6,1,29,9,8,5,8
"415",7,16,29,23,31,11,19
"416",5,0,22,4,6,5,3
"417",5,16,27,23,31,11,19
