"","age1_orange.E","age1_green.E","age2_no_comorbid_orange.E","age2_no_comorbid_green.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"367",34,0,34,0,0,0,0
"368",31,0,27,0,0,0,0
"369",29,0,28,0,0,0,0
"370",24,0,25,0,0,0,0
"371",0,0,1,0,0,0,0
"372",31,0,29,1,0,0,0
"373",31,0,29,0,0,0,0
"374",31,0,30,0,0,0,0
"375",30,0,26,0,0,0,0
"376",26,0,24,0,0,0,0
"377",27,0,23,0,0,0,0
"378",26,0,26,0,0,0,0
"379",31,0,31,0,0,0,0
"380",0,0,1,0,0,0,0
"381",30,0,26,0,0,0,0
"382",34,0,21,0,0,0,0
"383",0,0,1,0,0,0,0
"384",29,0,37,0,0,0,0
"385",35,0,28,0,0,1,0
"386",0,0,1,0,0,0,0
"387",34,0,34,0,0,0,0
"388",0,0,1,0,0,0,0
"389",0,0,1,0,0,0,0
"390",19,6,20,4,4,2,3
"391",29,0,26,0,0,0,0
"392",1,0,1,0,0,0,0
"393",36,0,27,0,0,0,0
"394",0,0,1,0,0,0,0
"395",31,0,29,0,0,0,0
"396",36,0,27,0,0,0,0
"397",31,0,27,0,0,0,0
"398",33,0,31,0,0,0,0
"399",39,1,30,0,0,0,0
"400",26,3,27,3,3,2,2
"401",23,0,25,0,0,0,0
"402",0,0,1,0,0,0,0
"403",34,0,32,0,0,0,0
"404",26,0,28,0,0,0,0
"405",28,0,26,0,0,0,0
"406",30,0,29,0,0,0,0
"407",35,0,26,0,0,0,0
"408",32,0,33,0,0,0,0
"409",32,0,30,0,0,0,0
"410",32,0,27,0,0,0,0
"411",32,2,22,4,5,2,2
"412",0,0,1,0,0,0,0
"413",36,0,26,0,0,0,0
"414",0,0,1,0,0,0,0
"415",0,0,1,0,0,0,0
"416",28,0,28,0,0,0,0
"417",28,0,24,0,0,0,0
"418",31,0,23,0,0,0,0
"419",23,0,22,0,0,0,0
"420",0,0,1,0,0,0,0
"421",26,0,34,0,0,0,0
"422",26,0,26,1,1,0,0
"423",27,0,21,0,0,0,0
"424",26,4,24,5,3,2,2
"425",30,0,30,0,0,0,0
"426",28,0,39,0,0,0,0
"427",28,0,26,0,1,0,1
"428",29,0,35,0,0,0,0
"429",40,0,26,0,0,0,0
"430",27,0,28,0,0,0,0
"431",35,0,23,0,0,0,0
"432",31,4,33,4,5,2,2
"433",0,0,1,0,0,0,0
"434",30,0,24,0,0,0,0
"435",22,0,25,0,0,0,0
"436",31,0,26,0,0,0,0
"437",21,4,32,5,5,2,3
"438",27,0,28,0,0,0,0
"439",38,0,29,0,0,0,0
"440",32,0,25,0,0,0,0
"441",30,0,25,0,0,0,0
"442",29,0,30,0,0,0,0
"443",24,0,26,0,0,0,0
"444",35,0,29,0,0,0,0
"445",33,0,26,0,0,0,0
"446",32,0,27,0,0,0,0
"447",27,0,30,0,0,0,0
"448",1,0,1,0,0,0,0
"449",30,0,36,0,0,0,0
"450",33,0,36,0,0,0,0
"451",23,0,29,0,0,0,0
"452",24,0,27,0,0,0,0
"453",33,0,27,1,0,0,0
"454",31,0,36,0,0,0,0
"455",34,0,26,0,0,0,0
"456",29,0,27,0,0,0,0
"457",0,0,1,0,0,0,0
"458",34,0,31,0,0,0,0
"459",28,0,26,0,0,0,0
"460",25,3,27,3,4,1,1
"461",30,0,26,0,0,0,0
"462",29,0,32,0,0,0,0
"463",33,0,27,0,0,0,0
"464",29,0,25,0,0,0,0
"465",38,0,25,0,0,0,0
"466",0,0,1,0,0,0,0
"467",37,2,27,3,5,2,3
"468",29,0,27,0,0,0,0
"469",35,0,37,0,0,0,0
"470",0,0,1,0,0,0,0
"471",27,0,25,0,0,0,0
"472",30,0,26,0,0,0,0
"473",0,0,1,0,0,0,0
"474",27,0,24,0,0,0,0
"475",36,0,25,0,0,0,0
