"time" "age1_M_healthy.S" "age1_F_healthy.S" "age1_M_vulner.S" "age1_F_vulner.S" "age2_M_healthy.S" "age2_F_healthy.S" "age2_M_vulner.S" "age2_F_vulner.S" "age3_M_healthy.S" "age3_F_healthy.S" "age3_M_vulner.S" "age3_F_vulner.S" "age1_M_healthy.E" "age1_F_healthy.E" "age1_M_vulner.E" "age1_F_vulner.E" "age2_M_healthy.E" "age2_F_healthy.E" "age2_M_vulner.E" "age2_F_vulner.E" "age3_M_healthy.E" "age3_F_healthy.E" "age3_M_vulner.E" "age3_F_vulner.E" "age1_M_healthy.A" "age1_F_healthy.A" "age1_M_vulner.A" "age1_F_vulner.A" "age2_M_healthy.A" "age2_F_healthy.A" "age2_M_vulner.A" "age2_F_vulner.A" "age3_M_healthy.A" "age3_F_healthy.A" "age3_M_vulner.A" "age3_F_vulner.A" "age1_M_healthy.I" "age1_F_healthy.I" "age1_M_vulner.I" "age1_F_vulner.I" "age2_M_healthy.I" "age2_F_healthy.I" "age2_M_vulner.I" "age2_F_vulner.I" "age3_M_healthy.I" "age3_F_healthy.I" "age3_M_vulner.I" "age3_F_vulner.I" "age1_M_healthy.R" "age1_F_healthy.R" "age1_M_vulner.R" "age1_F_vulner.R" "age2_M_healthy.R" "age2_F_healthy.R" "age2_M_vulner.R" "age2_F_vulner.R" "age3_M_healthy.R" "age3_F_healthy.R" "age3_M_vulner.R" "age3_F_vulner.R" "age1_M_healthy.Q" "age1_F_healthy.Q" "age1_M_vulner.Q" "age1_F_vulner.Q" "age2_M_healthy.Q" "age2_F_healthy.Q" "age2_M_vulner.Q" "age2_F_vulner.Q" "age3_M_healthy.Q" "age3_F_healthy.Q" "age3_M_vulner.Q" "age3_F_vulner.Q" "age1_M_healthy.D" "age1_F_healthy.D" "age1_M_vulner.D" "age1_F_vulner.D" "age2_M_healthy.D" "age2_F_healthy.D" "age2_M_vulner.D" "age2_F_vulner.D" "age3_M_healthy.D" "age3_F_healthy.D" "age3_M_vulner.D" "age3_F_vulner.D"
111 23.2021526198716 23.2021526198716 0 0 55.4494135842803 55.5125152650582 3.13229060368266 3.13229060368266 0 0 57.4849472760157 57.4849472760157 0.0227895218007485 0.0227895218007485 0 0 0.0392648327731008 0.0394017490985013 0.00307658544310104 0.00307658544310104 0 0 0.00169643993839539 0.00169643993839539 0.274310431844018 0.274310431844018 0 0 0.435190260519257 0.436637492358599 0.0336653711808567 0.0336653711808567 0 0 0.0118582523714149 0.0118582523714149 0.00900573210710402 0.00900573210710402 0 0 0.0159926913600602 0.0160457130251612 0.00109026614821175 0.00109026614821175 0 0 0.000483039217740507 0.000483039217740507 376.150037617425 376.150037617425 0 0 424.439675869954 423.670000240381 48.7957279675695 48.7957279675695 0 0 2.27782022908274 2.27782022908274 0 0 0 0 0 0 0 0 0 0 0 0 0.34170407695238 0.34170407695238 0 0 6.62046276111392 6.32539954007854 2.03414920597568 2.03414920597568 0 0 0.22319476337397 0.22319476337397
112 23.1936899771983 23.1936899771983 0 0 55.434837691918 55.4978876817567 3.13114814692177 3.13114814692177 0 0 57.4843004489558 57.4843004489558 0.0204522770861229 0.0204522770861229 0 0 0.0352341984795566 0.0353577468994845 0.00276105740662659 0.00276105740662659 0 0 0.00153584851598308 0.00153584851598308 0.246016403339219 0.246016403339219 0 0 0.390963898858353 0.39226686305756 0.030192922227995 0.030192922227995 0 0 0.0108055711951969 0.0108055711951969 0.00816981186559787 0.00816981186559787 0 0 0.0143467059060809 0.0143944255392946 0.000977811974360257 0.000977811974360257 0 0 0.00043755464261863 0.00043755464261863 376.18988164273 376.18988164273 0 0 424.503397004964 423.733933487739 48.8006675544321 48.8006675544321 0 0 2.27963382741796 2.27963382741796 0 0 0 0 0 0 0 0 0 0 0 0 0.341789887781051 0.341789887781051 0 0 6.62122049987473 6.32615979500821 2.03425250703712 2.03425250703712 0 0 0.223286749272457 0.223286749272457
113 23.1860945458427 23.1860945458427 0 0 55.421756913078 55.4847602556018 3.13012276368876 3.13012276368876 0 0 57.4837151548987 57.4837151548987 0.0183552923457209 0.0183552923457209 0 0 0.0316182259658847 0.0317297142441438 0.00247796446667232 0.00247796446667232 0 0 0.00139021967409036 0.00139021967409036 0.220646754928178 0.220646754928178 0 0 0.351215426240344 0.352388622233866 0.0270793744684581 0.0270793744684581 0 0 0.00984276166333001 0.00984276166333001 0.00741048904037315 0.00741048904037315 0 0 0.0128703673355431 0.0129133222128132 0.00087703387987959 0.00087703387987959 0 0 0.000396277462357846 0.000396277462357846 376.225625189427 376.225625189427 0 0 424.560638809818 423.791366268267 48.8050977061744 48.8050977061744 0 0 2.2812855206912 2.2812855206912 0 0 0 0 0 0 0 0 0 0 0 0 0.341867728416159 0.341867728416159 0 0 6.62190025756245 6.32684181743968 2.03434515732183 2.03434515732183 0 0 0.223370065610254 0.223370065610254
114 23.1792773134986 23.1792773134986 0 0 55.4100176245366 55.4729788710437 3.12920243732231 3.12920243732231 0 0 57.4831856229745 57.4831856229745 0.0164737621324587 0.0164737621324587 0 0 0.0283741032647727 0.0284747103595525 0.00222395788788192 0.00222395788788192 0 0 0.00125818931945778 0.00125818931945778 0.197898638305381 0.197898638305381 0 0 0.315494165470126 0.316550620285849 0.0242875601556604 0.0242875601556604 0 0 0.00896259952315179 0.00896259952315179 0.00672086153852154 0.00672086153852154 0 0 0.0115461722849977 0.0115848442058633 0.000786705598305518 0.000786705598305518 0 0 0.00035882801237071 0.00035882801237071 376.257691094734 376.257691094734 0 0 424.612057863466 423.84295728448 48.8090710770836 48.8090710770836 0 0 2.28278924482439 2.28278924482439 0 0 0 0 0 0 0 0 0 0 0 0 0.34193832979138 0.34193832979138 0 0 6.62251007097794 6.32745366962471 2.03442826195227 2.03442826195227 0 0 0.223445515346152 0.223445515346152
115 23.1731584312614 23.1731584312614 0 0 55.3994820302904 55.4624052879987 3.12837638822029 3.12837638822029 0 0 57.4827066133131 57.4827066133131 0.0147854580844908 0.0147854580844908 0 0 0.0254634568619197 0.0255542457799443 0.00199603684140626 0.00199603684140626 0 0 0.00113851366096038 0.00113851366096038 0.177500613076576 0.177500613076576 0 0 0.283394364975053 0.284345784508428 0.021784166150307 0.021784166150307 0 0 0.00815838357438932 0.00815838357438932 0.00609463517785994 0.00609463517785994 0 0 0.0103584236080283 0.0103932447639255 0.00070573226041689 0.00070573226041689 0 0 0.000324859770917319 0.000324859770917319 376.286458505497 376.286458505497 0 0 424.658244576608 423.889298855023 48.8126348664342 48.8126348664342 0 0 2.28415780086538 2.28415780086538 0 0 0 0 0 0 0 0 0 0 0 0 0.342002356902608 0.342002356902608 0 0 6.62305714765718 6.32800258192564 2.03450281009336 2.03450281009336 0 0 0.223513828815229 0.223513828815229
116 23.1676662636236 23.1676662636236 0 0 55.3900265211736 55.4529154966834 3.12763494558919 3.12763494558919 0 0 57.4822733693928 57.4822733693928 0.0132704788623744 0.0132704788623744 0 0 0.0228519204153612 0.0229338498641835 0.00179151464642054 0.00179151464642054 0 0 0.00103005964802863 0.00103005964802863 0.159209364779636 0.159209364779636 0 0 0.254550753411665 0.255407657855451 0.0195393311320462 0.0195393311320462 0 0 0.00742390514491345 0.00742390514491345 0.00552607165567321 0.00552607165567321 0 0 0.00929304231819242 0.00932440051523832 0.000633135367797597 0.000633135367797597 0 0 0.000294056353448265 0.000294056353448265 376.31226740645 376.31226740645 0 0 424.699729811034 423.930923556212 48.8158313858211 48.8158313858211 0 0 2.28540293931038 2.28540293931038 0 0 0 0 0 0 0 0 0 0 0 0 0.342060414629043 0.342060414629043 0 0 6.62354795164777 6.32849503886983 2.03456968744346 2.03456968744346 0 0 0.22357567015039 0.22357567015039
117 23.1627365416841 23.1627365416841 0 0 55.381540212262 55.4443982507373 3.12696943312734 3.12696943312734 0 0 57.481881574682 57.481881574682 0.0119109729650862 0.0119109729650862 0 0 0.0205086681497657 0.0205826028196617 0.00160798135028663 0.00160798135028663 0 0 0.000931795106405678 0.000931795106405678 0.142806830157694 0.142806830157694 0 0 0.228634615530172 0.229406460978772 0.0175262927920805 0.0175262927920805 0 0 0.00675341905466726 0.00675341905466726 0.00500994135383908 0.00500994135383908 0 0 0.00833740410772045 0.00836564743620357 0.00056804077299986 0.00056804077299986 0 0 0.000266129208650592 0.000266129208650592 376.335422660794 376.335422660794 0 0 424.736990819989 423.968310182179 48.8186985648456 48.8186985648456 0 0 2.28653543891104 2.28653543891104 0 0 0 0 0 0 0 0 0 0 0 0 0.342113053045425 0.342113053045425 0 0 6.62398827996228 6.32893685584882 2.03462968711169 2.03462968711169 0 0 0.223631643037181 0.223631643037181
118 23.1583116015875 23.1583116015875 0 0 55.3739236269868 55.4367537474722 3.1263720662143 3.1263720662143 0 0 57.4815273129152 57.4815273129152 0.0106909357725565 0.0106909357725565 0 0 0.0184060609826573 0.0184727808522318 0.00144327632929513 0.00144327632929513 0 0 0.000842780079943059 0.000842780079943059 0.128097562196703 0.128097562196703 0 0 0.205350167773241 0.206045455135226 0.0157210644514136 0.0157210644514136 0 0 0.00614161500183262 0.00614161500183262 0.00454147945409739 0.00454147945409739 0 0 0.00748018837379039 0.00750562936877151 0.000509666999661082 0.000509666999661082 0 0 0.00024081540922403 0.00024081540922403 376.356197648701 376.356197648701 0 0 424.770456624347 424.001889138873 48.8212704065069 48.8212704065069 0 0 2.28756518059746 2.28756518059746 0 0 0 0 0 0 0 0 0 0 0 0 0.342160772288392 0.342160772288392 0 0 6.62438333153759 6.32933324829854 2.03468351949839 2.03468351949839 0 0 0.223682295996331 0.223682295996331
119 23.15433970198 23.15433970198 0 0 55.3670875175945 55.4298924448518 3.1258358597673 3.1258358597673 0 0 57.481207031766 57.481207031766 0.00959603064051577 0.00959603064051577 0 0 0.0165193374228143 0.0165795462007131 0.00129546413646963 0.00129546413646963 0 0 0.000762159400217517 0.000762159400217517 0.114906364892671 0.114906364892671 0 0 0.184431273841215 0.185057646378472 0.0141021447822824 0.0141021447822824 0 0 0.00558358934056454 0.00558358934056454 0.00411634563120998 0.00411634563120998 0 0 0.00671124220055658 0.00673416154959862 0.000457314838596575 0.000457314838596575 0 0 0.000217875194390639 0.000217875194390639 376.374837529852 376.374837529852 0 0 424.80051285981 424.032047307226 48.823577395367 48.823577395367 0 0 2.28850121693334 2.28850121693334 0 0 0 0 0 0 0 0 0 0 0 0 0.342204027003872 0.342204027003872 0 0 6.62473776913195 6.32968889379347 2.03473182110841 2.03473182110841 0 0 0.223728127365497 0.223728127365497
120 23.1507744150981 23.1507744150981 0 0 55.3609518127443 55.4237340059703 3.12535454603824 3.12535454603824 0 0 57.4809175098572 57.4809175098572 0.00861339228633728 0.00861339228633728 0 0 0.0148262801108712 0.0148806127041831 0.00116280795865553 0.00116280795865553 0 0 0.000689154917540025 0.000689154917540025 0.103076219687905 0.103076219687905 0 0 0.165638546705811 0.166202877632038 0.0126502633253337 0.0126502633253337 0 0 0.00507481875958523 0.00507481875958523 0.00373058750836629 0.00373058750836629 0 0 0.00602146210097755 0.00604211196263862 0.000410358976516967 0.000410358976516967 0 0 0.000197090213194729 0.000197090213194729 376.391562155018 376.391562155018 0 0 424.827506123851 424.059132404347 48.8256468614517 48.8256468614517 0 0 2.28935183654942 2.28935183654942 0 0 0 0 0 0 0 0 0 0 0 0 0.342243230401618 0.342243230401618 0 0 6.62505577448715 6.33000798738343 2.03477516224952 2.03477516224952 0 0 0.223769589703047 0.223769589703047
121 23.1475740788082 23.1475740788082 0 0 55.3554446702992 55.4182063490251 3.1249225006391 3.1249225006391 0 0 57.4806558265773 57.4806558265773 0.00773148247833502 0.00773148247833502 0 0 0.0133069636121936 0.0133559928948245 0.00104375013457523 0.00104375013457523 0 0 0.000623058776964799 0.000623058776964799 0.0924663866426331 0.0924663866426331 0 0 0.148756676505385 0.149265147469578 0.0113481474515959 0.0113481474515959 0 0 0.00461113472440368 0.00461113472440368 0.00338060677872032 0.00338060677872032 0 0 0.00540268484467334 0.00542129180892325 0.000368239829657462 0.000368239829657462 0 0 0.000178261784122689 0.000178261784122689 376.406568687328 376.406568687328 0 0 424.851747906663 424.083456927303 48.8275033079079 48.8275033079079 0 0 2.29012462429496 2.29012462429496 0 0 0 0 0 0 0 0 0 0 0 0 0.342278757964402 0.342278757964402 0 0 6.62534109807642 6.33029429149856 2.03481405403719 2.03481405403719 0 0 0.223807093842231 0.223807093842231
122 23.1447013053192 23.1447013053192 0 0 55.3505016280956 55.4132447955456 3.12453467621809 3.12453467621809 0 0 57.4804193345175 57.4804193345175 0.00693996144332905 0.00693996144332905 0 0 0.0119435320815949 0.0119877750374206 0.000936894794849421 0.000936894794849421 0 0 0.00056322769216171 0.00056322769216171 0.0829507021828733 0.0829507021828733 0 0 0.133592014801843 0.134050186209429 0.0101803134497163 0.0101803134497163 0 0 0.00418869865750202 0.00418869865750202 0.00306312816107993 0.00306312816107993 0 0 0.00484758928373533 0.00486435701369363 0.000330456278999344 0.000330456278999344 0 0 0.000161208919183406 0.000161208919183406 376.42003395206 376.42003395206 0 0 424.873518132 424.105301705471 48.8291687046105 48.8291687046105 0 0 2.29082651748523 2.29082651748523 0 0 0 0 0 0 0 0 0 0 0 0 0.342310950833755 0.342310950833755 0 0 6.62559710373749 6.3305511807227 2.03484895464788 2.03484895464788 0 0 0.22384101272839 0.22384101272839
123 23.1421225425968 23.1421225425968 0 0 55.3460648458243 55.4087913099946 3.12418654325057 3.12418654325057 0 0 57.4802056344812 57.4802056344812 0.00622954783585392 0.00622954783585392 0 0 0.0107199604767461 0.0107598836461159 0.000840988957840279 0.000840988957840279 0 0 0.000509076886636216 0.000509076886636216 0.0744160853016636 0.0744160853016636 0 0 0.119970443275068 0.120383317463321 0.00913288319611326 0.00913288319611326 0 0 0.00380397909030402 0.00380397909030402 0.00277517126211318 0.00277517126211318 0 0 0.00434961095310368 0.00436472255213771 0.000296559790632803 0.000296559790632803 0 0 0.000145767001260248 0.000145767001260248 376.43211653411 376.43211653411 0 0 424.893068331021 424.124919084648 48.8306627500094 48.8306627500094 0 0 2.29146385777386 2.29146385777386 0 0 0 0 0 0 0 0 0 0 0 0 0.342340118893961 0.342340118893961 0 0 6.62582680845056 6.33078168169584 2.03488027479541 2.03488027479541 0 0 0.223871684766744 0.223871684766744
124 23.1398076795094 23.1398076795094 0 0 55.3420824224984 55.4047938151751 3.12387403673376 3.12387403673376 0 0 57.4800125526456 57.4800125526456 0.0055919156649103 0.0055919156649103 0 0 0.00962187430059858 0.00965789872072562 0.000754908614762889 0.000754908614762889 0 0 0.000460074916406051 0.000460074916406051 0.0667611705792585 0.0667611705792585 0 0 0.107735411192046 0.108107489058507 0.00819341638927262 0.00819341638927262 0 0 0.00345372969742142 0.00345372969742142 0.00251402455715759 0.00251402455715759 0 0 0.00390286324550056 0.0039164833715648 0.000266148664664764 0.000266148664664764 0 0 0.000131786422965521 0.000131786422965521 376.4429586661 376.4429586661 0 0 424.910624510554 424.142535804576 48.8320031068774 48.8320031068774 0 0 2.29204243939999 2.29204243939999 0 0 0 0 0 0 0 0 0 0 0 0 0.342366543590101 0.342366543590101 0 0 6.62603291821018 6.33098850909814 2.03490838272019 2.03490838272019 0 0 0.223899416917615 0.223899416917615
125 23.1377296917317 23.1377296917317 0 0 55.3385077844484 55.4012055783653 3.12359350838378 3.12359350838378 0 0 57.4798381197322 57.4798381197322 0.00501960155865424 0.00501960155865424 0 0 0.00863638925071199 0.00866889494133907 0.000677646210418322 0.000677646210418322 0 0 0.00041573928657469 0.00041573928657469 0.0598950839603862 0.0598950839603862 0 0 0.0967461647186689 0.0970814964879088 0.00735076030422921 0.00735076030422921 0 0 0.00313496819872012 0.00313496819872012 0.00227722159285622 0.00227722159285622 0 0 0.00350206664226165 0.00351434339715032 0.000238862926077445 0.000238862926077445 0 0 0.000119131019452743 0.000119131019452743 376.452687920659 376.452687920659 0 0 424.926389734743 424.158355588885 48.8332056135297 48.8332056135297 0 0 2.29256755412887 2.29256755412887 0 0 0 0 0 0 0 0 0 0 0 0 0.342390480497659 0.342390480497659 0 0 6.62621786019789 6.33117409792281 2.0349336086458 2.0349336086458 0 0 0.223924487634125 0.223924487634125
