"","age1.P","age2_no_comorbid.P","age2_comorbid.P","age3_no_comorbid.P","age3_comorbid.P"
"615",2,3,1,0,0
"616",18,16,3,2,2
"617",16,15,4,2,2
"618",0,1,0,0,0
"619",18,14,5,2,2
"620",17,16,3,2,2
"621",0,1,0,0,0
"622",20,16,6,2,3
"623",15,13,5,2,2
"624",18,16,4,2,3
"625",0,1,0,0,0
"626",0,1,0,0,0
"627",1,1,0,0,0
"628",1,2,0,0,1
"629",1,1,1,1,0
"630",2,2,0,0,0
"631",0,1,0,0,0
"632",0,1,0,0,0
"633",2,1,1,0,0
"634",22,19,5,2,3
"635",16,14,4,2,3
"636",15,14,4,2,3
"637",1,1,1,0,0
"638",1,1,0,1,0
"639",23,22,5,2,3
"640",15,11,4,1,2
"641",21,23,4,2,3
"642",23,15,4,2,2
"643",16,11,3,2,2
"644",0,1,0,0,0
"645",13,11,4,1,2
"646",1,1,0,0,0
"647",1,1,0,0,0
"648",2,3,1,0,0
"649",1,1,0,0,1
"650",1,1,0,0,1
"651",0,1,0,0,0
"652",0,1,0,0,0
"653",0,1,0,0,0
"654",16,15,5,2,2
"655",1,1,0,0,0
"656",0,1,0,0,0
"657",20,16,3,2,3
"658",19,15,3,3,2
"659",0,1,0,0,0
"660",20,14,4,1,2
"661",2,1,1,0,0
"662",16,18,4,2,3
"663",2,1,0,0,0
"664",17,16,5,1,3
"665",0,1,0,0,0
"666",0,1,0,0,0
"667",14,10,4,1,3
"668",0,1,0,0,0
"669",0,1,0,0,0
"670",1,2,0,0,0
"671",17,18,5,2,2
"672",0,1,0,0,0
"673",2,2,0,0,0
"674",20,14,4,2,3
"675",1,1,0,0,0
"676",1,1,0,0,0
"677",20,14,4,2,4
"678",0,1,0,0,0
"679",0,1,0,0,0
"680",1,1,0,0,0
"681",0,1,0,0,0
"682",12,10,3,2,2
"683",32,20,6,3,3
"684",3,1,0,0,1
"685",16,15,4,2,3
"686",0,1,0,0,0
"687",0,1,1,0,0
"688",1,1,1,0,0
"689",0,1,0,0,0
"690",1,1,0,0,0
"691",21,15,3,1,2
"692",14,12,4,2,3
"693",0,1,0,0,0
"694",2,3,1,1,0
"695",3,2,2,0,0
"696",0,1,0,0,0
"697",0,1,0,0,0
"698",1,1,0,0,0
"699",17,16,3,1,3
"700",0,1,0,0,0
"701",1,2,0,0,0
"702",0,1,0,0,1
"703",0,1,0,0,0
"704",15,15,4,2,2
"705",0,1,0,0,0
"706",0,1,0,0,0
"707",12,10,5,1,2
"708",2,1,0,0,1
"709",0,1,0,0,0
"710",0,1,0,0,0
"711",19,14,4,2,2
"712",18,13,4,2,3
"713",1,1,0,0,0
"714",1,2,0,0,0
"715",15,15,3,3,2
"716",17,16,4,2,3
"717",1,2,0,0,0
"718",2,1,2,0,0
"719",1,1,0,0,0
"720",0,1,0,0,0
"721",2,1,0,0,0
"722",0,1,0,1,0
"723",2,1,0,0,0
"724",19,18,5,2,3
"725",0,1,0,0,0
"726",10,10,3,1,2
"727",16,19,6,3,2
"728",1,2,1,0,0
"729",20,12,4,2,3
"730",17,17,4,2,2
"731",3,1,0,1,0
