"","age1_orange.H","age2_no_comorbid_orange.H","age2_comorbid_green.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"828",20,19,10,2,6
"829",17,19,0,0,0
"830",22,18,10,3,7
"831",25,23,0,0,0
"832",0,0,0,0,0
"833",13,15,7,4,8
"834",19,25,0,0,0
"835",0,0,0,0,0
"836",19,28,7,4,9
"837",0,0,0,0,0
"838",15,18,0,0,0
"839",16,24,0,0,0
"840",17,21,0,0,1
"841",17,21,8,3,12
"842",0,0,0,0,0
"843",17,22,0,0,0
"844",0,0,0,0,0
"845",0,0,0,0,0
"846",23,19,7,4,7
"847",18,15,7,4,7
"848",0,0,0,0,0
"849",19,22,0,0,0
"850",17,19,8,4,5
"851",20,20,3,2,9
"852",15,23,12,2,7
"853",16,31,9,3,9
"854",18,31,4,4,7
"855",21,24,7,3,10
"856",21,22,0,0,0
"857",12,24,6,2,8
"858",17,24,0,0,1
"859",24,22,6,3,8
"860",22,25,7,3,9
"861",22,17,0,0,0
"862",15,12,9,2,8
"863",17,19,0,0,0
"864",18,22,7,2,9
"865",20,24,11,2,10
"866",0,0,0,0,0
"867",21,21,0,0,0
"868",22,18,0,0,0
"869",26,22,8,2,7
"870",0,0,0,0,0
"871",0,0,0,0,0
"872",20,20,8,2,11
"873",14,20,5,2,11
"874",23,24,10,3,5
"875",19,19,0,0,0
"876",14,24,8,3,5
"877",19,28,8,1,9
"878",22,21,0,0,0
"879",15,22,0,0,0
"880",19,20,11,3,9
"881",25,22,11,5,7
"882",0,0,0,0,0
"883",19,24,7,4,6
"884",0,0,0,0,0
"885",18,26,5,2,5
"886",13,26,9,2,7
"887",21,26,9,1,8
"888",17,17,6,2,9
"889",14,24,8,2,7
"890",18,15,9,3,8
"891",28,17,0,0,0
"892",17,25,6,3,6
"893",20,23,9,5,8
"894",0,0,0,0,0
"895",17,21,9,2,6
"896",21,14,0,0,0
"897",19,23,9,2,9
"898",19,19,11,2,10
"899",14,19,0,0,0
"900",22,29,11,1,7
"901",0,0,0,0,0
"902",15,20,7,2,7
"903",13,24,6,1,5
"904",16,14,10,3,5
"905",16,19,0,0,0
"906",26,21,9,2,6
"907",17,23,0,0,0
"908",18,22,7,4,8
"909",16,19,7,3,8
"910",27,18,7,2,5
"911",15,28,0,0,0
"912",18,21,0,0,0
"913",24,16,0,0,0
"914",20,21,0,0,0
"915",24,24,6,2,6
"916",15,19,8,4,5
"917",0,0,0,0,0
"918",23,22,0,0,0
"919",13,22,5,2,12
"920",0,0,0,0,0
"921",15,22,8,2,6
"922",23,25,10,3,7
"923",27,18,10,4,5
"924",15,20,0,0,0
"925",18,19,7,6,5
"926",19,22,0,0,0
"927",15,19,6,6,13
"928",0,0,0,0,0
"929",19,19,6,4,8
"930",19,20,6,6,8
"931",21,20,11,3,10
"932",15,16,8,3,7
"933",0,0,0,0,0
"934",17,17,6,1,7
"935",22,20,0,0,0
"936",15,19,0,0,0
"937",21,25,7,4,11
"938",17,14,8,1,4
