"","age1_orange.R","age2_no_comorbid_orange.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"302",0,1,0,0,0
"303",0,0,0,0,0
"304",0,1,0,0,0
"305",762,828,0,0,0
"306",753,817,88,32,28
"307",766,823,0,0,1
"308",747,834,81,26,30
"309",760,823,83,27,25
"310",746,840,79,22,17
"311",751,824,81,26,24
"312",758,827,77,29,25
"313",763,809,0,0,0
"314",759,815,86,31,36
"315",1,1,0,0,0
"316",753,794,77,25,33
"317",754,814,0,1,0
"318",747,819,84,31,19
"319",756,852,87,27,22
"320",749,826,0,0,0
"321",758,811,84,31,22
"322",742,793,87,27,27
"323",739,831,0,0,0
"324",744,813,89,25,22
"325",737,798,78,26,24
"326",746,812,98,30,29
"327",757,827,85,28,25
"328",759,808,0,0,0
"329",0,1,0,0,0
"330",754,828,77,28,22
"331",741,819,1,0,1
"332",741,815,77,29,30
"333",754,834,85,30,19
"334",751,829,89,31,26
"335",1,1,0,0,0
"336",745,827,88,28,35
"337",748,821,88,27,24
"338",752,823,1,0,0
"339",755,816,77,20,27
"340",749,840,89,33,23
"341",749,838,77,21,25
"342",764,824,74,27,20
"343",746,840,0,0,0
"344",739,840,79,31,24
"345",749,816,0,0,0
"346",756,826,83,26,24
"347",753,824,88,28,25
"348",745,841,0,0,0
"349",757,823,79,29,18
"350",751,826,81,24,27
"351",759,813,0,0,0
"352",743,818,86,21,23
"353",742,817,90,28,19
"354",750,834,80,28,16
"355",746,814,85,28,22
"356",748,827,83,27,34
"357",0,1,0,0,0
"358",743,815,77,30,25
"359",748,804,79,23,17
"360",741,819,83,32,18
"361",760,824,0,0,1
"362",0,1,0,0,0
"363",752,828,85,27,30
"364",751,840,93,24,31
"365",0,2,0,0,0
"366",746,793,82,24,31
"367",753,808,3,0,0
"368",746,816,90,32,22
"369",1,1,0,0,0
"370",761,806,74,21,23
"371",753,831,0,0,0
"372",757,820,87,31,29
"373",748,821,81,25,32
"374",744,829,0,0,1
"375",751,818,86,26,26
"376",0,1,0,0,0
"377",750,828,77,28,26
"378",762,819,75,34,22
"379",756,840,1,0,0
"380",737,828,80,24,26
"381",748,820,0,0,0
"382",0,1,0,0,0
"383",0,1,0,0,0
"384",737,803,78,27,25
"385",753,807,78,30,20
"386",752,827,84,25,25
"387",744,815,0,0,1
"388",1,1,0,0,0
"389",765,836,80,30,19
"390",750,826,86,32,18
"391",740,819,0,0,0
"392",747,813,83,29,26
"393",753,812,98,32,30
"394",0,2,0,0,0
"395",747,824,75,25,18
"396",759,815,0,0,0
"397",739,829,0,0,0
"398",746,827,89,27,23
"399",748,814,85,28,23
"400",740,800,0,0,1
"401",755,816,0,0,0
"402",748,793,79,28,27
"403",747,811,90,25,19
"404",752,819,89,28,25
"405",759,823,87,31,32
"406",749,819,0,0,0
