"","age1_orange.E","age2_no_comorbid_orange.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"308",111,105,0,0,0
"309",2,1,0,0,0
"310",102,91,1,0,0
"311",106,119,12,5,7
"312",111,110,0,0,0
"313",103,104,16,7,8
"314",0,1,0,0,0
"315",124,112,0,0,0
"316",117,102,0,0,0
"317",125,133,0,0,0
"318",107,104,0,0,0
"319",114,112,0,0,0
"320",114,119,16,7,8
"321",119,121,0,0,0
"322",104,95,15,6,8
"323",104,128,0,0,0
"324",114,107,0,0,0
"325",132,102,0,0,0
"326",1,1,0,0,0
"327",104,113,1,0,0
"328",108,107,0,0,0
"329",116,98,16,6,7
"330",126,95,14,4,8
"331",119,118,1,0,1
"332",94,102,0,0,0
"333",0,1,0,0,0
"334",118,119,14,6,5
"335",132,106,12,4,5
"336",92,95,0,0,0
"337",109,109,10,4,8
"338",0,1,0,0,0
"339",101,103,11,5,6
"340",98,92,11,4,10
"341",112,118,8,4,5
"342",99,102,10,6,8
"343",1,1,0,0,0
"344",113,112,0,0,0
"345",0,1,0,0,0
"346",114,98,15,5,9
"347",102,101,0,1,0
"348",99,101,0,0,0
"349",104,114,14,7,8
"350",103,107,10,4,8
"351",117,93,15,6,7
"352",1,1,0,0,0
"353",105,107,0,0,0
"354",113,115,0,0,0
"355",110,106,1,0,1
"356",105,109,11,5,6
"357",106,105,1,0,0
"358",0,1,0,0,0
"359",109,105,16,7,9
"360",112,115,0,0,0
"361",96,106,0,0,0
"362",1,1,0,0,0
"363",97,120,0,0,0
"364",108,112,0,0,0
"365",110,100,12,6,8
"366",118,109,1,1,0
"367",99,109,1,0,0
"368",0,1,0,0,0
"369",101,110,0,0,0
"370",118,121,15,6,8
"371",105,107,0,0,0
"372",0,1,0,0,0
"373",119,115,0,0,0
"374",98,105,0,0,0
"375",116,106,0,0,0
"376",104,107,0,0,0
"377",104,95,12,9,10
"378",121,100,15,5,8
"379",102,114,0,0,0
"380",141,126,1,0,0
"381",100,103,1,0,0
"382",96,88,0,0,0
"383",0,1,0,0,0
"384",0,1,0,0,0
"385",106,103,15,7,8
"386",100,110,13,6,7
"387",0,1,0,0,0
"388",111,111,1,0,0
"389",100,86,0,0,0
"390",110,113,0,0,0
"391",102,106,0,1,0
"392",0,1,0,0,0
"393",0,1,0,0,0
"394",101,99,14,7,8
"395",118,104,16,4,7
"396",105,96,0,0,0
"397",113,98,0,0,0
"398",106,110,11,4,6
"399",118,104,0,0,0
"400",100,111,0,1,0
"401",100,104,0,0,0
"402",116,118,11,5,12
"403",117,96,11,4,7
"404",99,93,11,5,8
"405",114,105,11,6,7
"406",1,1,0,0,0
"407",0,1,0,0,0
"408",98,96,13,4,8
"409",98,99,0,0,0
"410",112,118,0,0,0
"411",105,110,11,5,10
"412",108,110,0,0,0
"413",103,103,1,0,0
"414",117,106,0,0,0
"415",0,1,0,0,0
"416",109,124,0,0,0
"417",113,93,13,5,8
"418",98,101,12,7,10
"419",105,138,14,5,8
"420",105,115,0,0,0
"421",99,104,15,5,8
"422",114,110,15,4,9
"423",0,1,0,0,0
"424",0,1,0,0,0
"425",108,97,0,0,0
"426",0,1,0,0,0
"427",89,118,13,4,10
"428",111,110,0,0,0
"429",106,106,1,0,0
"430",108,111,13,5,7
"431",99,106,11,6,8
"432",122,106,0,1,0
"433",96,113,0,0,0
"434",113,117,0,0,0
"435",99,92,0,0,0
"436",103,109,15,8,9
"437",98,121,0,0,0
"438",105,107,0,0,0
"439",104,111,0,0,0
"440",116,117,0,0,0
"441",115,108,0,0,0
"442",0,1,0,0,0
"443",0,1,0,0,0
"444",126,93,0,0,0
"445",95,96,12,3,8
"446",122,112,0,0,0
"447",110,108,0,0,0
"448",111,121,0,0,0
"449",113,123,0,0,0
"450",0,1,0,0,0
"451",110,97,13,5,10
"452",105,112,0,0,0
"453",0,1,0,0,0
"454",96,102,0,1,0
"455",117,104,15,4,9
"456",131,97,0,0,0
"457",101,119,15,5,8
"458",131,112,0,0,0
"459",106,111,16,5,11
"460",101,105,0,0,0
"461",0,1,0,0,0
"462",104,109,0,0,0
"463",110,107,0,1,1
"464",118,126,0,0,0
"465",129,109,14,10,10
"466",126,121,1,0,0
"467",0,1,0,0,0
"468",123,106,0,0,0
"469",107,105,10,6,9
"470",108,107,1,0,0
"471",115,103,0,0,0
"472",108,113,0,0,1
"473",126,114,0,0,0
"474",117,121,12,7,9
"475",128,103,0,0,1
"476",0,1,0,0,0
"477",0,1,0,0,0
"478",113,98,11,4,7
"479",112,104,10,8,8
"480",105,99,0,0,0
"481",107,106,0,0,0
"482",116,115,16,5,7
"483",109,113,0,0,0
"484",0,1,0,0,0
"485",110,114,12,5,10
"486",116,124,10,9,6
"487",110,114,12,7,9
"488",115,108,0,0,0
"489",109,103,0,0,0
"490",0,1,0,0,0
"491",96,98,1,0,1
"492",112,112,13,4,11
"493",121,120,13,5,9
"494",109,104,0,0,0
"495",102,102,13,5,7
"496",111,101,0,0,0
"497",114,110,14,7,8
"498",0,1,0,0,0
"499",125,111,12,4,6
"500",0,1,0,0,0
