"","age1_orange.E","age2_no_comorbid_orange.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"850",24.1333443522093,29.1378454197564,60.7369483763794,45.3151006923757,61.4518207421267
"851",31.9064806537165,31.9280681822731,65.1290884316624,54.3781502462913,56.4116789249101
"852",53.096776154697,54.5900526632775,97.182495512076,92.1580179573741,92.5770749737783
"853",20.2835927416286,23.4716941280845,64.0262247324758,60.0439588732788,67.0828756712783
"854",31.5645394381016,29.1597690733517,89.45724284999,85.4415448923918,87.4288590056474
"855",29.007095411848,32.1829727792225,48.8975118594453,62.9924460465555,53.22173230763
"856",31.9838407942257,32.7186279674509,0,0,0
"857",39.0906747559678,42.0798940969409,64.4172689539252,58.9992339111599,78.5090480032178
"858",29.1874256067149,31.1566550865935,35.6386080994177,0,34.0772175313785
"859",26.9599922122439,28.3855005510287,63.0725078491177,68.6887368904266,60.6344831297852
"860",31.6846036626648,32.2518685601099,75.3998431782694,86.1467369435287,68.7415195431296
"861",24.4363654830279,27.8730534293388,0,0,0
"862",31.2402700187938,32.0222538977175,55.1281984733282,57.9383098057127,62.3696190218017
"863",27.0527885385419,31.2888641942128,0,0,0
"864",27.0615760630149,27.6645347296788,78.9151299894625,72.8197600984292,78.6700944959472
"865",38.431133789929,40.840331075704,72.2387644781839,74.596510044161,69.2928651286871
"866",0,0,0,0,0
"867",25.688209369004,27.5561155120081,0,36.560076237249,0
"868",37.197614404612,39.4233801103776,0,0,0
"869",30.8712473629733,33.4866511674019,71.4273904081689,71.0003244251425,72.9644559524695
"870",0,0,0,0,0
"871",0,0,0,0,0
"872",23.2644150936908,22.8442595095889,52.6461117129923,64.219657507673,55.4316359191633
"873",36.2556545247755,36.2556545247755,65.4412749072366,67.4282995734789,68.282871893675
"874",32.3143061949559,34.4365091529161,63.3917648166828,72.911469344524,70.4043504843997
"875",35.5913999100373,35.8457393317668,0,0,29.167502330398
"876",38.7609685573204,38.7609685573204,68.4826604002702,80.3040250216981,72.0178236390591
"877",34.0396729252026,35.1339787301474,68.6053565889043,75.4997580837962,72.2272523012494
"878",26.5473328553749,30.7421833855067,0,37.6395459001532,0
"879",34.7676374077778,35.5321785247078,0,0,0
"880",30.7674224208123,31.246912688051,43.5577320597414,46.2915123690759,53.1985587988208
"881",23.0342781042338,23.6708818805646,55.5995172139547,41.0092654843062,48.2401219745104
"882",0,0,0,0,0
"883",22.6124245288992,22.6124245288992,65.4625867807101,75.6856515726375,72.0155279057035
"884",10.8511229388383,0,0,0,0
"885",40.2349941775483,40.3779913074903,75.3877111167046,77.3582542143427,84.4215487971672
"886",37.2413411698937,39.3129547555436,72.7137049124569,73.6811221983644,76.2819725681528
"887",43.8226116931231,43.3418409177861,87.2603908679842,83.2675694876054,76.7942347050135
"888",33.7560648135489,34.2247295720845,58.1970164606193,50.7090156864316,55.0864521609658
"889",31.5935253514502,31.1203891402861,50.5641500348791,46.9312414096726,50.7916883538364
"890",25.8369660122017,25.8369660122017,36.5473588854242,40.6477011820061,42.8949256946393
"891",23.3788979427791,22.705151244339,0,0,0
"892",49.3658719559889,50.6013899235601,81.0065636972736,73.4745631322757,80.6843748447896
"893",26.8731511907007,25.2206829967906,56.3278733978822,74.2247056348868,74.1786115884806
"894",0,0,0,0,0
"895",46.9762923316904,48.9140818377744,76.9015253838447,77.7736016515338,69.8020004170863
"896",28.2658788238685,31.3730452420856,0,0,0
"897",25.2064632980398,26.3609978793745,64.0152174645913,60.2004907383085,57.9147875449966
"898",29.7687297779679,31.3102309989342,100.237305432586,98.1602918859662,102.714987024859
"899",25.4784052253363,30.7231928707271,0,0,0
"900",33.534534440192,33.3134105076495,87.3834350137881,59.9514577510207,85.0937233071469
"901",0,0,0,0,0
"902",25.8257423891339,29.7209346314413,57.5966747225571,60.5483526571879,64.3186366838882
"903",30.0229421619564,29.8731468429308,83.9978039684074,78.4210069721171,80.8692918740702
"904",29.9033086806111,29.9033086806111,56.7284034042936,51.534433525459,65.5958313966499
"905",33.321760297997,35.1932071984648,0,0,0
"906",26.7501420479464,29.0021157602451,62.366761698793,59.6970741264557,64.6204637186868
"907",25.107120541733,25.9602821236906,0,0,0
"908",27.4506947588501,27.4506947588501,92.6827358101702,101.667047198451,83.628197525534
"909",48.7598903661876,47.998468736661,81.1098954717287,72.9566478094216,87.0652512489555
"910",21.1354857551203,24.9666606469191,50.5120165585208,48.8194831578342,53.0648270961781
"911",23.8535166621111,26.3364661781981,0,0,0
"912",32.8430585111903,37.2565737471792,0,0,0
"913",26.8639134889758,31.4494507360183,0,17.7154507023923,0
"914",24.5338279640186,29.9549960840439,0,0,0
"915",50.3484810995184,52.9202339362236,104.050107834336,102.415020609326,101.75821142039
"916",32.1626229958295,34.6442834066996,51.8219835209107,52.9214688514652,52.407280218454
"917",0,0,0,0,0
"918",34.0280135905911,33.4943099668512,0,0,0
"919",48.7129991555183,50.0145527737336,86.843413208721,88.3916900564981,85.7700729248022
"920",0,0,0,0,0
"921",31.7483047767275,33.5371013535354,55.1603744655483,48.2979705345236,58.1707720183878
"922",36.0794261049018,39.2650311069563,59.4539006235138,63.3631584574346,58.6466038491695
"923",23.6475704809006,25.5825953907136,68.4589674183068,73.0737415728575,69.4958446827944
"924",37.8924506090823,38.7309903559635,36.7589778445356,0,0
"925",33.2780397826015,35.1491177838244,51.2672146333286,49.6501330111229,61.989929713598
"926",44.0747860163291,44.383974587194,0,57.1539341906032,0
