"","age1_orange.A","age2_no_comorbid_orange.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"483",47,46,6,3,2
"484",44,37,6,2,4
"485",0,0,0,0,0
"486",44,54,0,1,0
"487",44,51,6,1,6
"488",0,0,0,0,0
"489",38,44,0,0,0
"490",0,0,0,0,0
"491",0,0,0,0,0
"492",61,60,6,1,6
"493",48,52,6,1,3
"494",43,49,7,2,5
"495",52,57,6,2,5
"496",52,49,7,4,4
"497",54,37,11,6,2
"498",45,53,7,3,6
"499",54,46,8,2,5
"500",60,45,0,0,1
"501",57,55,7,3,3
"502",44,43,0,0,0
"503",47,49,5,2,3
"504",56,53,0,0,0
"505",45,64,6,5,4
"506",42,43,0,0,0
"507",53,51,13,2,3
"508",0,0,0,0,0
"509",39,55,0,0,0
"510",51,43,7,2,3
"511",54,55,9,2,4
"512",43,46,5,2,6
"513",0,0,0,0,0
"514",50,39,6,4,5
"515",49,49,7,1,2
"516",56,53,0,0,0
"517",47,46,9,4,2
"518",42,35,0,0,0
"519",45,49,6,2,4
"520",45,54,6,2,7
"521",41,48,0,0,0
"522",44,63,8,2,3
"523",45,43,11,2,8
"524",48,54,4,3,5
"525",48,45,7,3,4
"526",40,43,8,4,4
"527",44,48,6,1,4
"528",61,49,0,0,0
"529",45,46,0,0,0
"530",0,1,0,0,0
"531",50,50,0,0,0
"532",46,44,0,0,0
"533",48,56,4,2,2
"534",42,48,6,4,5
"535",40,44,7,2,3
"536",35,56,0,0,0
"537",44,45,0,0,0
"538",52,55,0,0,0
"539",48,49,8,2,3
"540",46,56,6,3,4
"541",0,0,0,0,0
"542",38,53,6,2,3
"543",51,46,5,3,4
"544",41,36,0,0,1
"545",45,42,7,1,4
"546",49,51,0,0,0
"547",44,48,8,3,4
"548",0,0,0,0,0
"549",39,45,0,0,0
"550",0,0,0,0,0
"551",29,51,5,2,2
"552",47,49,8,2,4
"553",55,48,5,2,3
"554",37,46,8,2,3
"555",40,45,7,5,3
"556",53,56,9,6,3
"557",45,49,0,0,0
"558",51,49,8,3,2
"559",40,49,5,2,2
"560",50,44,0,0,0
"561",55,52,7,3,5
"562",54,41,4,3,5
"563",44,43,6,4,3
"564",48,46,0,0,0
"565",51,57,7,3,6
"566",47,49,8,2,3
"567",48,45,0,0,0
"568",0,0,0,0,0
"569",41,53,0,0,0
"570",51,46,5,3,5
"571",64,43,0,0,0
"572",58,38,7,3,3
"573",45,54,4,1,6
"574",45,50,5,1,4
"575",48,60,9,1,2
"576",45,49,0,0,0
"577",44,49,0,0,0
"578",43,52,7,2,5
"579",0,1,0,0,0
"580",50,48,1,0,1
"581",0,1,0,0,0
"582",56,53,9,1,1
"583",42,38,7,2,3
"584",0,1,0,0,0
"585",44,45,10,2,3
"586",54,49,8,3,6
"587",36,49,4,2,4
"588",41,54,6,2,5
"589",45,49,5,4,5
"590",43,54,6,2,5
"591",39,53,0,0,0
"592",49,43,4,3,7
"593",0,0,0,0,0
"594",0,1,0,0,0
"595",49,42,0,0,0
"596",45,44,9,3,4
"597",48,47,4,3,5
"598",53,61,10,1,4
"599",48,48,4,1,4
"600",52,52,6,2,5
"601",63,53,8,4,5
"602",0,0,0,0,0
"603",48,48,6,3,4
"604",50,44,6,1,5
"605",46,50,4,2,3
"606",0,0,0,0,0
"607",49,42,8,1,3
"608",0,0,0,0,0
"609",54,56,6,3,2
"610",47,44,4,3,6
"611",41,44,0,0,0
"612",45,51,7,4,2
"613",40,57,12,2,6
"614",43,47,0,0,0
"615",40,55,5,2,4
"616",0,0,0,0,0
"617",45,46,5,3,4
"618",45,51,8,4,6
"619",54,45,5,3,4
"620",0,0,0,0,0
"621",0,0,0,0,0
"622",44,46,5,3,5
"623",56,52,8,4,3
"624",44,46,7,1,5
"625",49,52,6,2,2
"626",52,40,4,3,4
"627",54,57,8,4,3
"628",39,52,6,2,3
"629",0,0,0,0,0
"630",40,49,7,1,1
"631",54,46,0,0,0
"632",53,51,8,2,3
"633",45,51,6,2,4
"634",46,64,5,3,2
"635",48,50,0,0,0
"636",43,48,3,3,3
"637",57,51,6,1,3
"638",47,46,7,3,5
"639",0,1,0,0,0
"640",49,49,0,0,0
"641",34,42,5,4,3
"642",0,0,0,0,0
"643",36,59,5,2,3
"644",0,0,0,0,0
"645",0,0,0,0,0
"646",44,45,6,4,3
"647",48,52,5,2,5
"648",59,59,8,1,3
"649",39,54,7,2,3
"650",45,48,8,2,4
"651",52,36,0,0,0
"652",46,54,6,5,5
"653",0,0,0,0,0
"654",45,53,4,2,5
"655",40,53,0,0,0
"656",59,52,4,1,7
"657",43,44,6,2,3
"658",48,50,0,0,0
"659",49,46,9,3,3
"660",45,41,3,2,4
"661",39,43,0,0,0
"662",47,43,0,0,0
"663",51,50,4,3,5
"664",42,50,9,3,3
"665",49,51,0,0,0
"666",51,41,9,1,2
"667",0,0,0,0,0
"668",45,44,4,3,3
"669",55,54,3,1,4
"670",47,52,0,0,0
"671",49,43,8,2,3
"672",46,41,12,4,2
"673",46,55,6,3,5
"674",40,44,6,2,5
"675",40,52,5,3,4
"676",52,52,0,0,0
"677",42,55,0,0,0
"678",47,53,16,4,4
"679",45,43,0,0,0
"680",0,1,0,0,0
"681",50,55,5,3,5
"682",39,62,10,3,6
"683",41,55,6,2,2
"684",52,42,0,0,0
"685",46,63,6,3,6
"686",0,0,0,0,0
"687",42,51,6,1,5
"688",52,53,0,0,1
"689",49,49,5,4,4
"690",47,34,8,1,6
"691",0,0,0,0,0
"692",52,41,7,2,2
"693",54,47,8,2,7
"694",0,0,0,0,0
"695",55,46,6,3,7
"696",52,42,4,2,2
"697",55,49,9,3,3
"698",48,49,8,3,2
"699",0,0,0,0,0
"700",49,56,5,1,2
"701",51,46,6,2,5
"702",50,50,10,2,4
"703",49,45,10,3,4
"704",40,49,6,1,2
"705",47,48,8,2,3
"706",47,44,6,4,4
"707",34,53,5,2,3
"708",53,35,0,0,0
"709",36,50,10,1,5
"710",54,51,8,4,5
"711",49,40,0,0,0
"712",49,41,8,1,4
"713",46,46,0,0,0
"714",42,51,0,0,0
"715",46,50,6,4,4
"716",50,43,0,0,0
"717",45,48,9,3,4
"718",37,46,0,0,0
"719",0,0,0,0,0
"720",46,57,3,3,2
"721",50,52,8,2,4
"722",0,0,0,0,0
"723",49,66,8,4,5
"724",44,46,0,0,0
"725",52,45,5,2,6
"726",43,57,0,0,0
"727",50,42,6,3,4
"728",41,44,5,3,4
"729",44,47,6,2,4
"730",51,44,8,3,4
"731",51,41,7,2,3
"732",47,49,10,1,6
"733",1,0,0,0,0
"734",50,52,0,0,0
"735",46,49,5,6,6
"736",44,48,0,0,0
"737",0,0,0,0,0
"738",53,48,6,1,2
"739",54,50,7,1,4
"740",0,0,0,0,0
"741",0,1,0,0,0
"742",0,0,0,0,0
"743",40,43,10,3,4
"744",55,45,6,1,2
"745",33,44,0,0,0
"746",41,46,8,1,2
"747",0,1,0,0,0
"748",0,1,0,0,0
"749",44,50,5,3,3
"750",43,41,5,3,3
"751",0,0,0,0,0
"752",0,0,0,0,0
"753",64,50,0,0,0
"754",45,53,8,4,2
"755",47,67,9,1,3
"756",51,50,5,3,3
"757",59,53,6,4,7
"758",48,57,7,1,6
"759",43,36,8,1,6
"760",48,40,3,2,3
"761",46,42,5,4,6
"762",0,0,0,0,0
"763",0,0,0,0,0
"764",52,44,5,3,2
"765",49,56,0,0,0
"766",58,56,7,2,3
"767",51,38,6,2,6
"768",49,48,0,0,0
"769",47,41,5,2,4
"770",48,42,0,0,0
"771",49,48,0,0,0
"772",54,48,9,2,2
"773",0,0,0,0,0
"774",0,0,0,0,0
"775",55,51,8,5,6
"776",50,48,0,0,0
"777",54,58,4,2,2
"778",43,65,0,0,0
"779",51,55,1,0,0
"780",45,58,7,3,5
"781",46,48,4,3,7
"782",41,54,7,1,4
"783",40,50,9,1,6
"784",49,43,0,0,0
"785",40,52,0,0,0
"786",43,53,11,2,3
"787",50,34,0,0,0
"788",54,42,4,2,7
"789",43,50,9,3,2
"790",43,43,7,4,8
"791",46,60,0,0,0
"792",47,43,8,3,5
"793",0,0,0,0,0
"794",48,52,7,3,4
"795",54,47,0,0,0
"796",56,57,6,5,2
"797",63,50,0,0,0
"798",47,40,0,0,0
"799",0,0,0,0,0
"800",0,0,0,0,0
"801",41,42,6,2,4
"802",41,43,7,3,3
"803",48,47,12,3,5
"804",0,0,0,0,0
"805",61,43,0,0,0
"806",49,44,0,0,0
"807",44,50,12,3,1
"808",46,53,9,3,6
"809",49,50,4,2,3
"810",49,54,7,3,5
"811",37,51,4,3,2
"812",38,48,0,0,0
"813",48,50,7,1,3
"814",46,44,0,0,0
"815",48,46,0,0,0
"816",57,53,5,5,5
"817",54,56,0,0,0
