"","age1_orange.D","age2_no_comorbid_orange.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"381",48,68,0,0,0
"382",51,63,0,0,0
"383",0,0,0,0,0
"384",0,0,0,0,0
"385",65,76,44,12,37
"386",62,84,38,8,37
"387",0,0,0,0,0
"388",45,82,0,0,0
"389",47,84,0,0,0
"390",45,77,0,0,0
"391",43,75,0,0,0
"392",0,1,0,0,0
"393",0,0,0,0,0
"394",56,76,32,9,40
"395",66,79,32,6,38
"396",42,72,0,0,0
"397",51,84,0,0,0
"398",55,79,23,7,37
"399",63,72,0,0,0
"400",56,80,0,0,0
"401",58,64,0,0,0
"402",54,72,32,13,43
"403",55,67,27,6,34
"404",72,72,45,4,41
"405",64,59,35,8,32
"406",0,0,0,0,0
"407",0,0,0,0,0
"408",61,64,35,6,37
"409",60,58,0,0,0
"410",70,79,0,0,0
"411",66,76,31,9,44
"412",78,74,0,0,0
"413",54,79,1,0,0
"414",50,71,0,0,0
"415",0,0,0,0,0
"416",48,73,0,0,0
"417",56,73,37,9,27
"418",55,91,24,9,35
"419",48,66,32,6,32
"420",51,81,0,0,0
"421",61,89,42,11,42
"422",58,67,33,9,41
"423",0,1,0,0,0
"424",0,0,0,0,0
"425",55,83,0,0,0
"426",0,0,0,0,0
"427",62,52,31,7,44
"428",49,93,0,0,0
"429",56,71,0,0,0
"430",48,67,38,8,39
"431",68,82,31,8,38
"432",64,81,0,0,0
"433",51,72,0,0,0
"434",53,65,0,0,0
"435",55,68,0,0,0
"436",53,66,30,9,40
"437",53,77,0,0,0
"438",54,89,0,0,0
"439",62,62,0,0,0
"440",58,78,0,0,0
"441",50,70,0,0,0
"442",0,0,0,0,0
"443",0,0,0,0,0
"444",62,77,0,0,0
"445",47,75,29,4,32
"446",63,74,0,0,0
"447",61,83,0,0,0
"448",59,65,0,0,0
"449",36,94,0,0,0
"450",0,0,0,0,0
"451",40,80,38,4,33
"452",53,68,0,0,0
"453",0,0,0,0,0
"454",63,85,0,0,0
"455",64,83,34,8,41
"456",51,72,0,0,0
"457",68,61,34,4,37
"458",48,75,0,0,0
"459",49,84,27,7,37
"460",59,61,0,0,0
"461",0,0,0,0,0
"462",60,84,0,0,0
"463",60,65,0,1,0
"464",68,62,0,0,0
"465",57,76,38,11,47
"466",62,76,0,0,0
"467",0,0,0,0,0
"468",58,62,0,0,0
"469",58,75,30,11,48
"470",68,64,0,0,0
"471",60,73,0,0,0
"472",69,69,0,0,1
"473",58,75,0,0,0
"474",65,86,19,8,33
"475",57,72,0,0,1
"476",0,0,0,0,0
"477",0,0,0,0,0
"478",53,85,34,9,35
"479",49,66,27,13,35
"480",65,75,0,0,0
"481",60,84,0,0,0
"482",53,88,30,12,31
"483",62,58,0,0,0
"484",0,0,0,0,0
"485",57,93,38,15,31
"486",59,85,39,8,38
"487",66,82,31,8,38
"488",54,87,0,0,0
"489",54,80,0,0,0
"490",0,0,0,0,0
"491",64,77,1,0,1
"492",49,68,27,10,41
"493",42,73,33,5,38
"494",50,81,0,0,0
"495",51,87,26,7,34
"496",61,78,0,0,0
"497",53,61,35,14,38
"498",0,0,0,0,0
"499",58,76,33,8,37
"500",0,0,0,0,0
