"","age1_orange.P","age2_no_comorbid_orange.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1299",42.5433836671608,47.400692705109,71.3416545668465,72.5516280046508,70.3791403364034
"1300",30.906121892484,31.1247573885975,73.5959717604908,64.1500885560204,71.5491496061782
"1301",8.89695939467325,2.71627817149672,0,0,0
"1302",28.0699950780491,28.0699950780491,48.8726649542411,51.2223831661187,50.2678333100072
"1303",35.7133593783486,40.9001348098489,99.3613543194187,96.9930743518472,103.955044635292
"1304",24.664291702382,24.9773532058072,0,0,0
"1305",4.69577322503583,1.6881605579183,0,0,0
"1306",28.8140127260631,31.2837593798727,52.000620026311,47.6614767517137,59.5842223595457
"1307",41.1137959494339,39.5520190109075,53.9065412756242,61.2261856929159,58.6153198041425
"1308",33.1234236917897,34.8067942770815,0,0,0
"1309",26.8819770381819,27.7181922703332,75.0402788606016,74.4768434760192,72.5719500931516
"1310",27.1525729498061,28.2193822857274,0,0,0
"1311",31.952245691935,31.952245691935,0,0,0
"1312",36.2282529498455,36.0482901747454,48.0140785294609,51.1067227850462,44.26426654796
"1313",39.1875030213158,43.9028880662853,96.1102488116576,87.9398088554554,95.098345319489
"1314",0,1.04083933240992,0,0,0
"1315",29.8273433539024,29.8273433539024,53.4599741628867,51.4153569741412,58.0585903703676
"1316",32.7499383861281,34.680512898188,67.2807059028767,65.4727636571862,74.9370335919918
"1317",41.8744503725345,45.1063018928947,80.2479196471208,76.6823436636341,83.3689520555122
"1318",44.0159391112674,50.9152371345271,70.9974463330749,66.4439546790584,75.8988839637149
"1319",22.0019366577641,21.9111757521379,0,0,0
"1320",0,0.176003849235261,0,0,0
"1321",0,1.16723998016287,0,0,0
"1322",37.2726132814899,37.0283235542561,75.9970643975076,66.5976566358655,83.0611874534541
"1323",0,1.17442883557768,0,0,0
"1324",49.5861971098694,49.8741971622578,72.4158658027333,74.7838980361689,77.868282977949
"1325",32.4834979717409,32.7593938744927,55.2877695953544,54.8176874860363,57.4373893113521
"1326",30.6035029259836,35.7226835358889,0,0,0
"1327",30.4311790454632,35.0139720918692,60.6780774904677,61.4571984758248,71.8262858662572
"1328",25.0410580891836,25.010090385557,50.6191529690253,41.9631378211239,44.1313346272147
"1329",29.1269709729745,31.9044235447328,61.3849632126288,68.7527147004111,64.131457923516
"1330",29.8766354762274,32.0575377785111,48.1296301234032,63.1339096785213,63.2686791524448
"1331",35.2211198121973,35.8528361359476,72.9010651269504,76.6102783790945,66.3568459278231
"1332",24.0921782125178,28.0086194209003,48.7090182167333,44.4397995507379,46.5523228311669
"1333",31.894774009078,33.548004057305,60.8008886850448,53.7744966619003,56.6217740623706
"1334",58.8037443717673,62.5938508286842,73.4819461947664,80.3868857889884,70.9650715696776
"1335",43.8711281717402,49.7125103864779,80.6356120661844,81.4329587152858,79.492176421211
"1336",32.0017277803805,32.3186746555679,32.8960204307838,0,0
