"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"247",63,0,64,0,0,0,0
"248",60,0,69,0,0,0,0
"249",72,6,71,9,35,11,36
"250",45,7,59,9,31,3,36
"251",0,0,0,0,0,0,0
"252",0,0,0,0,0,0,0
"253",0,0,0,0,0,0,0
"254",0,0,0,0,0,0,0
"255",60,2,86,12,29,11,44
"256",48,5,76,6,33,14,31
"257",59,0,55,0,0,0,0
"258",65,4,83,6,27,12,43
"259",59,0,62,0,0,0,0
"260",0,0,0,0,0,0,0
"261",61,2,75,5,31,12,32
"262",54,3,67,9,27,9,32
"263",57,0,64,0,0,0,0
"264",51,6,62,10,32,9,40
"265",60,6,87,11,34,7,40
"266",61,3,73,4,34,11,40
"267",52,0,64,0,0,0,0
"268",63,7,67,2,36,10,35
"269",47,3,51,9,34,9,28
"270",55,1,88,13,37,10,35
"271",49,0,82,0,0,0,0
"272",60,6,80,4,28,7,45
"273",59,5,71,7,37,8,42
"274",50,7,70,6,32,7,39
"275",48,0,75,0,0,0,0
"276",51,0,87,10,32,8,32
"277",62,9,71,7,30,11,29
"278",60,0,69,0,0,0,0
"279",51,0,70,0,0,0,0
"280",56,5,64,8,25,15,39
"281",0,0,0,0,0,0,0
"282",66,3,61,7,28,6,41
"283",52,0,80,0,0,0,0
"284",64,0,68,0,0,0,0
"285",46,0,70,0,0,0,0
"286",55,0,74,0,0,0,0
"287",0,0,1,0,0,0,0
"288",49,5,75,14,34,8,37
"289",66,0,82,0,0,0,0
"290",64,0,50,0,0,0,0
"291",46,0,67,0,0,0,0
"292",48,4,67,6,28,10,37
"293",55,0,81,0,0,0,0
"294",0,0,0,0,0,0,0
"295",53,0,93,0,0,0,0
"296",53,0,70,0,0,0,1
"297",51,4,82,7,34,7,38
"298",49,4,74,8,39,8,34
"299",0,0,0,0,0,0,0
"300",43,7,71,8,29,13,32
"301",57,3,75,4,33,8,44
"302",51,0,60,0,0,0,0
"303",53,0,64,0,0,0,0
"304",52,5,67,5,38,11,40
"305",47,0,77,0,0,0,0
"306",64,4,66,9,38,9,41
"307",58,5,72,5,39,5,39
"308",56,0,86,0,0,0,0
"309",0,0,0,0,0,0,0
"310",55,0,79,0,0,0,0
"311",49,8,63,5,34,13,35
"312",50,0,68,0,0,0,0
"313",0,0,0,0,0,0,0
"314",55,4,71,7,40,10,34
"315",54,5,76,11,34,10,41
"316",59,0,76,0,0,0,0
"317",58,11,74,6,42,7,39
"318",56,0,81,0,0,0,0
"319",63,0,71,0,0,0,0
"320",46,6,72,4,28,9,36
"321",53,5,74,6,28,15,38
"322",62,1,68,13,29,10,35
"323",0,0,0,0,0,0,0
"324",0,0,0,0,0,0,0
"325",53,2,89,10,30,8,38
"326",66,0,75,0,0,0,0
"327",0,0,0,0,0,0,0
"328",52,7,71,8,36,10,33
"329",47,2,79,3,36,11,40
"330",64,1,76,10,30,6,37
"331",0,0,0,0,0,0,0
"332",49,3,61,7,37,8,30
"333",62,0,63,0,0,0,0
"334",65,0,56,0,0,0,0
"335",58,4,78,12,37,8,25
"336",42,4,77,8,26,11,37
"337",45,7,59,4,34,13,36
"338",49,0,71,0,0,0,0
"339",56,4,83,10,31,9,40
"340",57,5,79,2,32,8,38
"341",0,0,0,0,0,0,0
"342",58,7,64,13,33,7,45
"343",41,1,66,11,33,9,46
"344",43,1,76,9,25,6,44
"345",65,0,74,0,0,0,0
"346",0,0,0,0,0,0,0
"347",57,0,65,0,0,0,0
"348",37,0,68,0,0,0,0
"349",0,0,0,0,0,0,0
"350",58,0,75,0,0,0,0
"351",47,0,71,0,0,0,0
"352",60,11,71,11,36,10,34
"353",59,0,72,0,0,0,0
"354",55,0,85,0,0,0,0
"355",54,2,71,7,32,15,33
"356",49,5,69,6,26,13,39
"357",60,2,54,8,33,9,36
"358",43,3,71,7,34,10,37
"359",50,0,59,0,0,0,0
"360",0,0,1,0,0,0,0
"361",49,6,82,8,36,13,36
"362",59,3,73,7,35,10,42
"363",68,4,64,4,34,8,33
"364",50,5,65,10,35,9,32
"365",57,0,77,0,0,0,0
"366",52,3,84,11,34,7,37
"367",53,6,65,10,27,6,39
"368",57,0,71,0,0,0,0
"369",0,0,0,0,0,0,0
"370",55,5,73,4,35,10,41
"371",58,4,80,11,34,5,36
"372",45,0,71,0,0,0,0
"373",69,3,65,6,32,11,40
"374",44,5,80,5,44,12,38
"375",61,2,62,3,41,6,34
"376",46,0,59,0,0,0,0
"377",67,4,69,11,37,11,41
"378",50,0,58,0,0,0,0
"379",1,0,0,0,0,0,0
"380",56,5,74,13,29,12,37
"381",48,4,79,9,33,8,41
"382",52,4,70,8,40,13,44
"383",49,0,78,0,0,0,0
"384",60,8,81,8,43,9,36
"385",55,4,80,7,28,10,37
"386",52,4,75,12,36,10,46
"387",67,0,85,9,32,7,41
"388",59,3,79,5,37,13,38
"389",40,0,65,1,0,0,0
"390",55,0,79,0,0,0,0
"391",55,0,88,0,0,0,0
"392",60,6,73,10,36,11,30
"393",55,0,66,0,0,0,0
"394",0,0,0,0,0,0,0
"395",0,0,0,0,0,0,0
"396",69,2,93,9,37,11,33
"397",47,4,73,9,35,13,39
"398",0,0,1,0,0,0,0
"399",61,3,77,8,29,10,40
"400",59,0,90,0,0,0,0
"401",0,0,0,0,0,0,0
"402",46,0,76,0,0,0,0
"403",54,7,83,9,37,11,43
"404",54,4,63,8,37,10,36
"405",57,0,84,0,0,0,0
"406",55,6,64,9,38,11,42
"407",0,0,0,0,0,0,0
"408",0,0,0,0,0,0,0
"409",61,0,76,0,0,0,0
"410",55,0,72,0,0,0,0
"411",41,4,67,9,35,11,36
"412",46,0,71,0,0,0,0
"413",56,6,67,12,38,6,41
"414",66,4,67,9,31,11,40
"415",51,2,49,8,39,11,33
"416",0,0,0,0,0,0,0
"417",71,5,71,11,35,7,33
"418",0,0,0,0,0,0,0
"419",45,0,81,0,0,0,0
"420",60,7,79,10,37,9,39
"421",58,0,72,0,0,0,0
"422",52,3,94,11,41,9,36
"423",52,0,74,0,0,0,0
"424",45,0,90,0,0,0,0
"425",59,5,71,6,35,11,42
"426",47,5,67,3,28,11,37
"427",63,6,67,10,37,11,37
"428",66,6,57,11,33,6,37
"429",0,0,1,0,0,0,0
"430",0,0,0,0,0,0,0
"431",46,6,62,10,40,8,33
"432",50,5,66,13,39,10,38
"433",62,4,69,6,30,9,33
"434",40,0,63,0,0,0,0
"435",42,0,91,0,0,0,0
"436",55,1,69,6,38,9,48
"437",0,0,0,0,0,0,0
"438",50,0,72,0,0,0,0
"439",59,4,81,8,35,4,30
"440",51,4,60,7,35,7,33
"441",57,7,76,6,34,11,40
"442",65,3,91,5,39,8,36
"443",79,0,71,0,0,0,0
"444",48,0,88,0,0,0,0
"445",57,0,72,0,0,0,0
"446",56,1,65,4,40,14,43
"447",51,3,59,10,21,11,47
"448",49,3,59,12,31,10,41
"449",57,0,71,0,0,0,0
"450",52,3,73,11,44,10,35
"451",50,0,75,0,0,0,0
"452",51,0,85,0,0,0,0
"453",63,4,71,10,27,14,27
"454",0,0,0,0,0,0,0
"455",40,4,81,6,30,6,44
"456",54,5,65,2,36,18,36
"457",0,0,0,0,0,0,0
"458",0,0,0,0,0,0,0
"459",65,3,59,11,41,14,44
"460",64,5,68,7,34,10,35
"461",0,0,0,0,0,0,0
"462",0,0,0,0,0,0,0
"463",44,3,84,8,28,9,35
"464",56,1,85,8,21,11,36
"465",41,0,73,0,0,0,0
"466",0,0,0,0,0,0,0
"467",0,0,0,0,0,0,0
"468",64,4,72,4,37,15,50
"469",53,4,57,9,36,6,32
"470",51,4,82,7,39,6,33
"471",0,0,0,0,0,0,0
"472",62,5,81,5,29,5,42
"473",48,0,72,0,0,0,0
"474",0,0,0,0,0,0,0
"475",50,4,71,10,32,11,42
"476",42,3,74,8,38,1,37
"477",66,3,61,9,35,6,42
"478",60,7,66,7,31,9,32
"479",53,4,58,13,29,8,42
"480",47,7,71,9,36,7,34
"481",44,0,66,0,0,0,0
"482",62,5,80,8,33,9,35
"483",66,6,73,13,23,9,34
"484",55,4,70,10,31,6,41
"485",57,3,70,8,34,12,37
"486",52,0,78,0,0,0,0
"487",64,5,72,7,32,6,33
"488",60,3,95,6,29,11,37
"489",0,0,0,0,0,0,0
"490",52,0,79,0,0,0,0
"491",55,2,63,10,39,10,29
"492",0,0,0,0,0,0,0
"493",45,7,64,8,35,5,37
"494",50,3,84,9,35,10,43
"495",52,3,68,16,24,5,34
"496",54,3,72,6,21,13,36
"497",63,2,62,6,32,12,32
"498",53,0,73,0,0,0,0
"499",49,0,69,0,0,0,0
"500",51,4,70,8,27,8,43
