"time" "age1.S" "age2_no_comorbid.S" "age2_comorbid.S" "age3_no_comorbid.S" "age3_comorbid.S" "age1.E" "age2_no_comorbid.E" "age2_comorbid.E" "age3_no_comorbid.E" "age3_comorbid.E" "age1.P" "age2_no_comorbid.P" "age2_comorbid.P" "age3_no_comorbid.P" "age3_comorbid.P" "age1.A" "age2_no_comorbid.A" "age2_comorbid.A" "age3_no_comorbid.A" "age3_comorbid.A" "age1.I" "age2_no_comorbid.I" "age2_comorbid.I" "age3_no_comorbid.I" "age3_comorbid.I" "age1.R" "age2_no_comorbid.R" "age2_comorbid.R" "age3_no_comorbid.R" "age3_comorbid.R" "age1.H" "age2_no_comorbid.H" "age2_comorbid.H" "age3_no_comorbid.H" "age3_comorbid.H" "age1.V" "age2_no_comorbid.V" "age2_comorbid.V" "age3_no_comorbid.V" "age3_comorbid.V" "age1.D" "age2_no_comorbid.D" "age2_comorbid.D" "age3_no_comorbid.D" "age3_comorbid.D"
17.7910307443533 798 937 124 43 74 8 0 1 0 0 5 1 0 0 0 0 1 0 0 0 2 1 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17.8921936419864 798 936 124 43 74 8 1 1 0 0 5 1 0 0 0 0 1 0 0 0 2 1 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17.9106200668659 798 935 124 43 74 8 2 1 0 0 5 1 0 0 0 0 1 0 0 0 2 1 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.0080638271192 798 935 124 43 74 8 2 1 0 0 4 1 0 0 0 0 1 0 0 0 3 1 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.1300575000976 798 935 124 43 74 8 2 1 0 0 4 1 0 0 0 0 1 0 0 0 2 1 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.1840074441238 798 935 124 43 74 7 2 1 0 0 5 1 0 0 0 0 1 0 0 0 2 1 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.2317730703364 798 935 124 43 74 7 1 1 0 0 5 2 0 0 0 0 1 0 0 0 2 1 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.2610268293478 798 935 124 43 74 7 1 1 0 0 5 1 0 0 0 0 1 0 0 0 2 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.3937320041297 798 935 124 43 74 6 1 1 0 0 6 1 0 0 0 0 1 0 0 0 2 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.4059360181132 798 935 124 43 74 5 1 1 0 0 7 1 0 0 0 0 1 0 0 0 2 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.444047314292 798 935 124 43 74 5 1 0 0 0 7 1 1 0 0 0 1 0 0 0 2 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.5384290677048 798 934 124 43 74 5 2 0 0 0 7 1 1 0 0 0 1 0 0 0 2 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.5401016246642 798 934 124 43 74 5 2 0 0 0 6 1 1 0 0 0 1 0 0 0 3 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.6038969474559 798 934 124 43 74 5 2 0 0 0 5 1 1 0 0 0 1 0 0 0 4 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.6247959366015 797 934 124 43 74 6 2 0 0 0 5 1 1 0 0 0 1 0 0 0 4 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.6577435283353 797 934 124 43 74 5 2 0 0 0 6 1 1 0 0 0 1 0 0 0 4 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.7640900095085 796 934 124 43 74 6 2 0 0 0 6 1 1 0 0 0 1 0 0 0 4 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.8110529190246 796 933 124 43 74 6 3 0 0 0 6 1 1 0 0 0 1 0 0 0 4 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.8275736052554 795 933 124 43 74 7 3 0 0 0 6 1 1 0 0 0 1 0 0 0 4 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.8727351409742 795 933 124 43 74 7 3 0 0 0 5 1 1 0 0 0 1 0 0 0 5 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18.9086490801628 795 933 124 43 74 7 3 0 0 0 4 1 1 0 0 0 1 0 0 0 6 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19.0683187053987 794 933 124 43 74 8 3 0 0 0 4 1 1 0 0 0 1 0 0 0 6 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19.1518819100054 793 933 124 43 74 9 3 0 0 0 4 1 1 0 0 0 1 0 0 0 6 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19.3713509764454 793 933 124 43 74 8 3 0 0 0 5 1 1 0 0 0 1 0 0 0 6 2 0 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19.4074663993399 793 933 124 43 74 8 3 0 0 0 5 1 1 0 0 0 1 0 0 0 5 2 0 1 1 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19.5814388438455 793 933 124 43 74 8 3 0 0 0 5 1 1 0 0 0 1 0 0 0 5 1 0 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19.6153632827095 793 933 124 43 74 7 3 0 0 0 6 1 1 0 0 0 1 0 0 0 5 1 0 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19.7490560416468 793 932 124 43 74 7 4 0 0 0 6 1 1 0 0 0 1 0 0 0 5 1 0 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19.9055537136508 793 932 124 43 74 7 4 0 0 0 5 1 1 0 0 0 1 0 0 0 6 1 0 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19.9112646377995 793 931 124 43 74 7 5 0 0 0 5 1 1 0 0 0 1 0 0 0 6 1 0 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19.9586673154051 792 931 124 43 74 8 5 0 0 0 5 1 1 0 0 0 1 0 0 0 6 1 0 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20.2144243120142 792 931 124 43 74 8 5 0 0 0 4 1 1 0 0 0 1 0 0 0 7 1 0 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20.32340035909 792 930 124 43 74 8 6 0 0 0 4 1 1 0 0 0 1 0 0 0 7 1 0 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20.4000084217582 792 930 124 43 74 7 6 0 0 0 5 1 1 0 0 0 1 0 0 0 7 1 0 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20.5372884528706 791 930 124 43 74 8 6 0 0 0 5 1 1 0 0 0 1 0 0 0 7 1 0 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20.6126273169749 790 930 124 43 74 9 6 0 0 0 5 1 1 0 0 0 1 0 0 0 7 1 0 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20.6408215415399 790 929 124 43 74 9 7 0 0 0 5 1 1 0 0 0 1 0 0 0 7 1 0 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20.7060318648096 790 929 124 43 74 8 7 0 0 0 6 1 1 0 0 0 1 0 0 0 7 1 0 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20.7446942355695 790 929 124 43 74 8 7 0 0 0 6 1 1 0 0 0 1 0 0 0 6 1 0 1 1 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20.7585503051145 789 929 124 43 74 9 7 0 0 0 6 1 1 0 0 0 1 0 0 0 6 1 0 1 1 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20.7604491372615 789 929 124 43 74 9 7 0 0 0 5 1 1 0 0 0 1 0 0 0 7 1 0 1 1 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20.8639287326984 788 929 124 43 74 10 7 0 0 0 5 1 1 0 0 0 1 0 0 0 7 1 0 1 1 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20.9280821339989 788 928 124 43 74 10 8 0 0 0 5 1 1 0 0 0 1 0 0 0 7 1 0 1 1 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
