"","age1.P","age2_no_comorbid.P","age2_comorbid.P","age3_no_comorbid.P","age3_comorbid.P"
"409",0,1,0,0,0
"410",91,80,12,8,7
"411",74,73,12,6,10
"412",70,77,14,8,7
"413",84,84,15,6,8
"414",82,79,12,4,9
"415",89,85,20,9,9
"416",72,81,14,7,11
"417",74,79,15,5,8
"418",79,89,16,5,11
"419",1,1,0,0,0
"420",71,76,14,7,6
"421",0,1,0,0,0
"422",81,73,11,6,7
"423",0,1,0,0,0
"424",83,84,13,6,8
"425",80,71,13,5,6
"426",69,82,9,5,10
"427",62,80,13,4,9
"428",0,1,0,0,0
"429",94,78,14,7,8
"430",75,76,15,5,8
"431",71,74,14,7,9
"432",0,1,0,0,0
"433",70,78,11,6,8
"434",77,81,12,6,8
"435",80,74,13,6,8
"436",87,71,14,6,10
"437",86,83,13,6,8
"438",69,78,14,5,9
"439",70,65,13,5,8
"440",74,69,17,5,8
"441",64,67,12,6,8
"442",84,75,16,6,9
"443",75,80,13,6,9
"444",87,82,16,5,8
"445",79,80,14,6,7
"446",80,77,19,7,12
"447",83,79,12,6,9
"448",80,83,14,5,8
"449",79,78,11,5,8
"450",77,73,16,4,6
"451",68,78,12,5,8
"452",1,1,0,0,0
"453",68,74,15,5,7
"454",79,90,16,5,8
"455",72,73,20,7,7
"456",101,80,15,5,7
"457",82,80,12,5,6
"458",0,1,0,0,0
"459",68,69,11,5,7
"460",81,84,16,6,8
"461",71,79,14,5,9
"462",83,82,16,7,8
"463",67,70,15,6,6
"464",77,81,17,6,9
"465",74,81,13,5,7
"466",82,83,13,5,7
"467",98,90,17,8,8
"468",0,1,0,0,0
"469",89,75,12,8,8
"470",71,72,16,4,15
"471",0,1,0,0,0
"472",86,80,11,6,8
"473",82,64,12,5,9
"474",76,89,11,5,7
"475",0,1,0,0,0
"476",72,76,15,6,10
"477",81,78,14,6,10
"478",72,83,15,6,7
"479",74,65,15,4,8
"480",68,76,15,5,9
"481",1,1,0,1,0
"482",80,92,16,6,7
"483",0,1,0,0,0
"484",71,91,16,6,8
"485",81,75,15,5,6
"486",72,80,16,6,8
"487",68,80,17,5,9
"488",0,1,0,0,0
"489",74,77,15,4,9
"490",72,73,17,5,8
"491",80,78,11,6,8
"492",0,1,0,0,0
"493",1,2,0,0,0
"494",95,83,15,5,7
"495",80,77,15,4,8
"496",1,1,0,0,0
"497",77,81,14,4,6
"498",0,1,0,0,0
"499",88,79,16,5,6
"500",81,74,13,6,8
