"","age1.S","age2_no_comorbid.S","age2_comorbid.S","age3_no_comorbid.S","age3_comorbid.S"
"454",814,941,125,44,75
"455",813,941,125,44,75
"456",312,549,75,34,53
"457",812,939,125,44,75
"458",814,940,125,44,74
"459",813,940,125,44,75
"460",312,509,68,35,57
"461",814,941,125,44,75
"462",814,941,125,44,75
"463",814,940,125,44,75
"464",309,489,65,28,53
"465",813,941,125,44,75
"466",814,941,125,44,75
"467",348,562,73,31,52
"468",797,933,119,42,75
"469",813,939,125,44,75
"470",814,941,125,44,75
"471",813,941,125,44,75
"472",814,941,125,44,75
"473",814,941,125,44,75
"474",805,933,124,44,75
"475",306,540,76,29,56
"476",814,941,125,44,74
"477",302,555,72,28,55
"478",812,938,125,44,75
"479",814,941,125,44,75
"480",358,572,78,34,55
"481",324,518,70,26,51
"482",262,480,59,29,43
"483",378,588,74,30,54
"484",312,529,70,31,53
"485",814,941,125,44,75
"486",252,459,68,33,51
"487",326,591,82,33,53
"488",302,477,64,26,52
"489",809,939,125,44,75
"490",809,935,123,44,74
"491",813,941,124,44,75
"492",814,941,125,44,75
"493",334,542,67,27,41
"494",814,941,125,44,75
"495",810,938,125,44,75
"496",356,563,80,35,54
"497",302,493,64,34,51
"498",814,941,125,44,75
"499",814,941,125,44,75
"500",814,940,125,44,75
"501",807,941,125,44,75
"502",814,941,125,44,75
"503",814,941,125,44,75
"504",814,939,124,44,74
"505",814,941,125,44,75
"506",360,561,75,32,55
"507",380,563,79,32,47
"508",350,565,75,34,56
"509",814,941,125,43,75
"510",814,941,125,44,75
"511",519,716,88,36,62
"512",259,480,61,28,39
"513",814,941,125,44,75
"514",340,562,79,32,51
"515",814,941,125,44,75
"516",795,928,124,44,75
"517",262,465,64,27,49
"518",813,940,125,44,75
"519",383,623,82,34,55
"520",813,940,125,44,75
"521",814,941,125,44,75
"522",314,511,66,28,52
"523",342,551,80,31,54
"524",811,941,125,44,75
"525",812,941,124,44,75
"526",510,722,102,33,60
"527",329,545,78,31,52
"528",514,735,97,32,62
"529",264,484,62,31,54
"530",787,924,122,44,75
"531",311,510,63,26,51
"532",812,941,125,44,75
"533",813,941,125,44,75
"534",814,941,125,44,75
"535",813,939,125,44,75
"536",814,941,125,44,75
"537",813,940,124,44,75
"538",814,941,125,44,75
"539",291,513,64,27,46
"540",814,941,125,44,75
"541",335,537,80,30,56
"542",377,621,80,31,50
"543",273,516,69,25,48
"544",422,644,79,39,55
"545",269,502,74,28,45
"546",814,940,125,44,74
"547",814,941,125,44,75
"548",810,939,125,44,75
"549",355,592,71,31,59
"550",412,620,83,37,56
"551",322,538,66,31,56
"552",814,941,125,44,75
"553",814,941,125,44,75
"554",814,941,125,44,75
"555",814,941,125,44,75
"556",814,941,125,44,75
"557",321,518,75,33,47
"558",814,941,125,44,75
"559",814,939,125,44,74
"560",814,941,125,44,75
"561",336,558,73,36,54
"562",380,605,76,23,54
"563",814,939,124,44,75
"564",814,940,125,44,75
"565",376,566,77,31,56
"566",316,522,73,31,52
"567",814,941,125,43,75
"568",814,941,125,44,75
"569",471,683,86,40,61
"570",276,505,69,30,46
"571",446,664,83,30,62
"572",814,941,125,44,75
"573",814,941,125,44,75
"574",813,941,125,44,75
"575",799,935,122,44,75
"576",391,616,98,32,55
"577",814,939,125,44,75
"578",805,936,122,44,74
"579",267,476,62,24,49
"580",814,941,125,44,75
"581",367,594,82,29,59
"582",294,492,69,29,55
