"","age1.O","age2_no_comorbid.O","age2_comorbid.O","age3_no_comorbid.O","age3_comorbid.O"
"563",0,3,1,0,0
"564",0,2,0,0,0
"565",27,31,5,3,2
"566",45,36,7,3,2
"567",0,1,0,1,0
"568",0,1,0,0,0
"569",14,12,3,1,2
"570",36,29,6,2,4
"571",24,22,4,3,2
"572",0,0,0,0,0
"573",0,0,0,0,0
"574",1,1,0,0,0
"575",3,2,1,0,0
"576",25,15,3,2,3
"577",0,1,0,0,0
"578",2,2,1,0,1
"579",45,35,7,3,2
"580",0,1,0,0,0
"581",40,26,5,3,2
"582",47,37,5,2,2
"583",0,1,0,0,0
"584",34,21,4,2,3
"585",0,1,0,0,0
"586",0,1,0,0,0
"587",4,2,1,0,1
"588",2,1,0,0,0
"589",48,37,5,3,3
"590",37,38,6,3,2
"591",0,0,0,0,0
"592",0,1,0,0,0
"593",52,42,4,2,4
"594",0,1,0,0,0
"595",0,0,0,0,0
"596",0,1,1,0,0
"597",4,2,0,0,1
"598",1,1,0,0,0
"599",0,1,0,0,0
"600",5,1,1,1,0
"601",49,38,6,2,3
"602",0,1,0,0,0
"603",0,1,0,0,0
"604",0,1,1,0,0
"605",34,25,5,4,2
"606",32,28,5,3,2
"607",40,31,8,4,4
"608",1,1,0,0,0
"609",0,1,0,0,0
"610",0,1,0,0,0
"611",0,1,0,0,0
"612",28,21,4,2,2
"613",47,33,5,1,3
"614",1,1,1,0,0
"615",0,0,0,0,0
"616",1,1,1,0,0
"617",0,1,0,0,0
"618",2,2,2,0,1
"619",24,17,3,3,3
"620",0,0,0,0,0
"621",0,1,0,0,0
"622",25,25,5,3,3
"623",0,0,0,0,0
"624",49,41,5,4,4
"625",0,1,0,0,0
"626",0,2,0,0,0
"627",0,1,0,0,0
"628",0,1,0,0,0
"629",0,1,0,0,0
"630",2,2,0,0,0
"631",0,1,0,0,0
"632",6,5,3,0,1
"633",0,1,0,0,0
"634",0,0,0,0,0
"635",0,2,0,0,0
"636",0,1,0,0,0
"637",46,29,4,2,3
"638",43,36,7,3,4
"639",0,1,0,0,0
"640",7,3,1,1,1
"641",0,1,0,0,0
"642",0,1,0,0,0
"643",0,1,0,0,0
"644",2,3,0,0,0
"645",1,1,0,0,0
"646",41,33,5,2,4
"647",24,19,4,2,3
"648",40,36,4,2,3
"649",0,1,0,0,0
"650",54,36,7,4,3
"651",36,32,5,3,4
"652",11,10,2,1,1
"653",0,1,0,0,0
"654",1,3,0,0,0
"655",0,1,0,0,0
"656",0,1,0,0,0
"657",0,1,0,0,0
"658",0,0,0,0,0
"659",0,1,0,0,0
"660",21,17,3,1,2
"661",3,2,1,0,0
"662",0,0,0,0,0
"663",40,44,6,2,3
"664",2,4,0,0,0
"665",33,31,7,2,3
"666",5,5,2,0,1
"667",33,27,6,3,4
"668",33,30,5,2,3
"669",0,1,0,0,0
"670",1,1,0,1,0
"671",28,26,3,2,3
"672",2,2,0,1,0
"673",1,2,0,0,0
"674",1,1,0,0,0
"675",41,31,4,2,2
"676",0,1,0,0,0
"677",1,1,1,0,0
"678",4,1,0,0,0
"679",0,1,0,0,0
"680",26,23,3,2,2
"681",0,1,0,0,0
"682",36,31,6,3,4
"683",1,4,1,0,0
"684",0,1,0,0,0
"685",1,1,0,0,0
"686",0,1,0,0,0
"687",0,2,0,0,0
"688",1,0,0,0,0
"689",28,30,5,2,3
"690",0,2,0,0,0
"691",0,1,0,0,0
"692",31,22,4,2,2
"693",42,30,6,2,3
"694",0,1,0,0,0
"695",0,0,0,0,0
"696",0,1,0,0,0
"697",0,1,0,0,0
"698",0,1,0,0,0
"699",19,14,3,2,1
"700",30,28,5,3,3
"701",0,1,0,0,0
"702",0,1,0,0,0
"703",0,1,0,0,0
"704",0,1,0,0,0
"705",29,27,7,2,2
"706",34,30,5,3,2
"707",41,32,6,3,2
"708",42,32,4,3,3
"709",1,2,0,0,0
"710",37,33,6,2,3
"711",0,2,0,0,0
"712",47,35,8,2,2
"713",0,1,0,0,0
"714",34,30,5,2,2
"715",31,27,3,3,2
"716",28,22,5,2,2
"717",0,1,0,0,0
"718",3,3,1,0,0
"719",18,16,4,1,1
"720",32,23,6,2,2
"721",46,44,6,2,2
"722",45,37,8,2,2
"723",0,0,0,0,0
"724",3,4,1,1,0
"725",0,1,0,0,0
"726",0,2,0,0,0
"727",0,1,0,0,0
"728",0,1,0,0,0
"729",19,9,3,2,3
"730",1,2,1,0,0
"731",0,0,0,0,0
"732",1,1,0,0,0
"733",0,2,0,0,0
"734",20,16,4,2,1
"735",0,1,0,0,0
"736",1,1,0,0,0
"737",35,30,5,1,3
"738",0,1,0,0,0
"739",0,1,0,0,0
"740",12,10,3,2,2
"741",0,1,0,0,1
"742",40,29,7,1,1
"743",33,28,6,3,3
"744",42,39,5,4,3
"745",43,31,5,4,2
"746",1,1,1,0,0
"747",0,1,0,0,0
"748",0,0,0,0,0
"749",0,1,0,0,0
"750",40,29,5,2,3
"751",0,1,0,0,0
"752",0,1,0,0,0
"753",1,1,0,0,0
"754",1,1,0,0,0
"755",1,2,0,0,0
"756",1,0,0,0,0
"757",0,1,0,0,0
"758",0,1,0,0,0
"759",3,2,1,0,1
"760",0,1,0,0,0
