"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"341",58,4,63,11,37,10,44
"342",61,3,64,10,24,8,33
"343",43,5,69,10,33,8,39
"344",60,4,79,5,36,15,46
"345",51,5,79,6,39,9,42
"346",66,3,75,8,41,10,39
"347",49,6,73,13,35,12,40
"348",52,0,59,0,0,0,0
"349",49,3,66,5,34,12,36
"350",0,0,0,0,0,0,0
"351",46,5,75,4,41,7,36
"352",64,5,70,9,33,12,30
"353",47,1,70,12,28,6,42
"354",58,7,67,6,34,8,40
"355",47,5,71,7,36,7,42
"356",41,4,74,5,32,6,43
"357",69,0,78,0,0,0,0
"358",56,1,65,6,34,11,37
"359",51,2,69,6,41,7,39
"360",54,3,73,7,36,10,34
"361",52,3,66,5,36,8,42
"362",66,4,85,8,36,4,40
"363",46,3,77,12,27,6,38
"364",63,8,74,9,21,10,46
"365",56,6,67,6,35,8,33
"366",61,3,67,6,29,12,41
"367",49,2,77,11,35,12,36
"368",45,2,73,7,31,7,38
"369",62,6,74,8,29,8,34
"370",40,3,72,12,31,10,37
"371",64,1,69,9,27,7,39
"372",66,4,79,13,23,8,39
"373",49,7,64,11,33,4,37
"374",49,5,79,4,36,7,28
"375",53,1,85,9,38,7,43
"376",0,0,0,0,0,0,0
"377",57,6,78,8,36,5,40
"378",62,2,78,11,34,13,37
"379",0,0,0,0,0,0,0
"380",0,0,0,0,0,0,0
"381",56,5,82,5,33,6,42
"382",0,0,0,0,0,0,0
"383",56,6,67,6,43,12,37
"384",57,4,81,6,33,8,34
"385",0,0,0,0,0,0,0
"386",54,6,71,8,31,13,41
"387",55,5,59,7,30,11,40
"388",56,5,74,10,36,8,37
"389",47,3,74,7,35,5,47
"390",69,3,63,7,39,5,37
"391",0,0,0,0,0,0,0
"392",0,0,0,0,0,0,0
"393",68,5,66,6,27,9,31
"394",64,3,86,5,32,10,39
"395",0,0,0,0,0,0,0
"396",54,3,74,3,40,9,43
"397",49,3,61,7,34,9,44
"398",62,8,75,10,28,10,44
"399",49,4,77,7,41,8,43
"400",50,5,74,10,28,7,29
"401",58,3,91,5,31,9,39
"402",50,7,77,4,27,13,36
"403",66,4,83,9,26,8,42
"404",48,5,64,5,34,8,35
"405",56,4,61,10,40,10,38
"406",76,4,69,4,41,13,40
"407",50,0,60,0,0,0,0
"408",56,4,70,5,29,10,36
"409",51,3,72,11,32,11,44
"410",67,4,80,7,23,9,38
"411",65,4,74,7,35,11,41
"412",53,1,73,8,26,7,36
"413",51,6,62,8,37,10,28
"414",0,0,0,0,0,0,0
"415",51,6,60,2,35,7,42
"416",40,4,67,6,25,10,39
"417",0,0,0,0,0,0,0
"418",62,5,96,9,39,10,39
"419",41,6,68,11,33,7,36
"420",59,3,80,9,36,7,38
"421",57,8,72,7,35,5,37
"422",84,3,70,6,35,5,37
"423",60,5,80,12,44,9,40
"424",55,6,74,8,43,12,37
"425",60,5,81,11,32,8,40
"426",53,5,79,8,33,10,34
"427",0,0,0,0,0,0,0
"428",47,0,68,0,0,0,1
"429",60,5,65,8,38,3,40
"430",67,5,77,12,40,8,36
"431",55,4,80,6,31,10,44
"432",46,0,68,0,0,0,0
"433",0,0,0,0,0,0,0
"434",64,3,65,7,40,9,37
"435",66,7,72,11,37,8,42
"436",0,0,0,0,0,0,0
"437",47,0,77,0,0,0,0
"438",0,0,0,0,0,0,0
"439",69,5,84,7,27,12,39
"440",0,0,0,0,0,0,0
"441",0,0,0,0,0,0,0
"442",0,0,0,0,0,0,0
"443",50,6,63,8,30,10,36
"444",0,0,0,0,0,0,0
"445",0,0,1,0,0,0,0
"446",50,8,64,6,22,9,38
