"","age1.D","age2_no_comorbid.D","age2_comorbid.D","age3_no_comorbid.D","age3_comorbid.D"
"398",35,62,32,4,39
"399",32,51,32,10,38
"400",27,42,40,8,37
"401",0,0,0,0,0
"402",31,40,19,8,38
"403",27,57,19,7,41
"404",31,51,32,9,33
"405",32,49,35,7,33
"406",0,0,0,0,0
"407",0,0,0,0,0
"408",28,61,27,6,34
"409",43,39,31,3,38
"410",24,49,27,6,33
"411",27,51,31,9,39
"412",30,51,26,6,39
"413",34,51,30,6,49
"414",28,41,33,6,42
"415",0,0,0,0,0
"416",28,38,28,5,38
"417",28,41,29,7,39
"418",20,40,30,11,41
"419",24,51,37,11,37
"420",24,40,24,6,31
"421",30,53,33,5,33
"422",0,0,0,0,0
"423",31,49,43,9,43
"424",23,48,33,9,40
"425",32,50,31,8,40
"426",25,54,38,5,39
"427",42,56,25,10,46
"428",28,56,27,10,40
"429",0,0,0,0,0
"430",31,45,26,14,34
"431",19,45,26,6,37
"432",0,0,0,0,0
"433",33,51,29,6,31
"434",29,61,27,3,38
"435",0,0,0,0,0
"436",24,42,23,13,31
"437",21,55,27,4,33
"438",35,44,37,3,42
"439",29,57,33,9,38
"440",28,41,31,5,30
"441",29,51,21,11,37
"442",39,48,29,6,31
"443",42,41,29,11,39
"444",28,46,32,7,37
"445",33,46,21,4,32
"446",0,0,0,0,0
"447",28,45,30,11,33
"448",40,38,44,14,41
"449",33,46,22,7,42
"450",24,32,32,6,36
"451",33,53,28,6,36
"452",26,47,29,7,43
"453",36,41,28,12,36
"454",26,38,25,9,43
"455",38,52,29,10,49
"456",37,58,25,10,35
"457",0,0,0,0,0
"458",28,56,34,6,34
"459",35,55,27,6,30
"460",29,45,28,7,41
"461",26,48,36,3,38
"462",34,38,24,7,29
"463",0,0,0,0,0
"464",37,39,31,5,36
"465",28,43,24,5,44
"466",33,58,26,5,33
"467",30,56,28,7,36
"468",39,30,30,7,32
"469",25,51,30,7,40
"470",32,41,27,5,38
"471",0,0,0,0,0
"472",33,47,29,6,31
"473",39,45,30,7,30
"474",26,34,32,7,36
"475",30,64,33,5,36
"476",36,51,33,12,37
"477",32,40,33,7,36
"478",30,35,32,6,32
"479",0,0,0,0,0
"480",24,45,31,7,35
"481",21,46,26,6,35
"482",21,37,22,5,43
"483",34,58,27,5,32
"484",29,48,27,7,34
"485",28,55,34,7,32
"486",30,46,30,10,38
"487",33,63,24,6,34
"488",0,0,0,0,0
"489",42,40,26,9,40
"490",27,46,16,12,41
"491",31,57,20,4,37
"492",22,49,27,8,37
"493",20,51,29,7,32
"494",36,40,40,4,46
"495",0,0,0,0,1
"496",26,60,39,7,31
"497",29,44,32,7,33
"498",27,45,21,11,38
"499",33,51,32,7,41
"500",0,0,0,0,0
"501",25,49,33,8,32
"502",0,0,0,0,0
"503",27,56,27,9,30
"504",38,36,31,7,38
"505",41,58,21,6,42
"506",0,0,0,0,0
"507",28,46,24,6,33
"508",27,44,39,3,41
"509",23,45,24,9,33
"510",22,39,25,5,43
"511",24,65,30,4,44
"512",0,0,0,0,0
"513",26,36,24,7,40
"514",17,47,34,7,46
"515",34,48,32,6,33
"516",0,1,0,0,0
"517",28,47,32,10,36
"518",33,45,26,8,37
"519",26,45,27,6,41
"520",32,53,25,12,37
"521",54,47,36,3,40
"522",34,49,22,7,42
"523",28,38,28,4,33
"524",37,46,32,9,40
"525",22,36,27,8,38
"526",27,47,29,9,40
"527",25,44,29,7,34
"528",0,0,0,0,0
"529",37,32,36,6,38
"530",29,56,29,11,38
"531",0,0,0,0,0
"532",0,0,0,0,0
"533",32,35,34,5,36
"534",0,0,0,0,0
"535",41,42,33,7,40
"536",38,42,32,6,34
"537",43,53,27,6,37
"538",27,49,28,5,41
"539",33,40,30,8,34
"540",26,41,23,7,33
"541",25,41,23,1,43
"542",0,0,0,0,0
"543",29,55,32,10,43
"544",23,45,36,9,41
"545",39,42,33,8,38
"546",26,46,31,8,35
"547",36,56,29,4,41
"548",28,52,37,11,38
"549",24,51,30,6,42
"550",29,51,42,4,38
"551",0,0,0,0,0
"552",31,49,26,12,36
"553",30,41,27,9,36
"554",23,53,37,15,30
"555",37,50,23,7,33
"556",33,37,28,7,39
"557",38,43,31,4,38
"558",27,39,25,2,31
"559",28,39,39,10,35
"560",0,0,0,0,0
"561",29,44,26,11,39
"562",33,61,28,5,36
"563",30,42,22,6,38
"564",28,49,27,11,35
"565",0,0,0,0,0
"566",38,40,35,8,33
"567",23,45,33,9,34
"568",28,40,37,10,39
"569",33,50,33,9,33
"570",33,40,31,3,41
"571",30,46,23,10,33
"572",26,48,27,7,32
"573",36,39,24,6,29
