"","age1.D","age2_no_comorbid.D","age2_comorbid.D","age3_no_comorbid.D","age3_comorbid.D"
"1799",6.01965601965602,7.00636942675159,20.7667731629393,11.3636363636364,45.5764075067024
"1800",0,0,0,0,0
"1801",0,0.106157112526539,0,0,0
"1802",6.51105651105651,7.64331210191083,17.5718849840256,18.1818181818182,41.5549597855228
"1803",0,0,0,0,0
"1804",4.91400491400491,7.64331210191083,29.5527156549521,15.9090909090909,46.916890080429
"1805",7.37100737100737,7.85562632696391,19.9680511182109,15.9090909090909,40.2144772117963
"1806",6.63390663390663,7.85562632696391,19.1693290734824,20.4545454545455,41.5549597855228
"1807",8.5995085995086,6.36942675159236,27.1565495207668,20.4545454545455,36.1930294906166
"1808",6.51105651105651,7.96178343949045,21.5654952076677,13.6363636363636,36.1930294906166
"1809",8.10810810810811,7.96178343949045,24.7603833865815,11.3636363636364,45.5764075067024
"1810",7.24815724815725,7.21868365180467,22.3642172523962,20.4545454545455,29.4906166219839
"1811",0,0,0,0,0
"1812",6.75675675675676,6.05095541401274,33.5463258785942,11.3636363636364,36.1930294906166
"1813",5.8968058968059,7.21868365180467,20.7667731629393,15.9090909090909,41.5549597855228
"1814",8.72235872235872,7.21868365180467,28.7539936102236,11.3636363636364,40.2144772117963
"1815",6.01965601965602,8.28025477707006,19.1693290734824,20.4545454545455,44.2359249329759
"1816",6.75675675675676,7.11252653927813,27.9552715654952,11.3636363636364,36.1930294906166
"1817",6.87960687960688,8.06794055201699,14.3769968051118,15.9090909090909,45.5764075067024
"1818",7.61670761670762,7.32484076433121,24.7603833865815,18.1818181818182,37.5335120643432
"1819",6.26535626535627,5.9447983014862,19.9680511182109,15.9090909090909,38.8739946380697
"1820",0,0,0,0,0
"1821",7.73955773955774,6.90021231422505,24.7603833865815,13.6363636363636,40.2144772117963
"1822",0,0,0,0,0
"1823",6.14250614250614,6.90021231422505,19.1693290734824,18.1818181818182,45.5764075067024
"1824",6.26535626535627,5.4140127388535,27.9552715654952,20.4545454545455,33.5120643431635
"1825",7.86240786240786,6.58174097664544,23.961661341853,18.1818181818182,50.9383378016086
"1826",0,0,0,0,0
"1827",0,0,0,0,0
"1828",5.52825552825553,7.85562632696391,20.7667731629393,11.3636363636364,38.8739946380697
"1829",0,0,0,0,0
"1830",6.75675675675676,8.59872611464968,17.5718849840256,20.4545454545455,40.2144772117963
"1831",5.52825552825553,7.74946921443737,23.1629392971246,9.09090909090909,33.5120643431635
"1832",5.8968058968059,5.73248407643312,18.370607028754,15.9090909090909,38.8739946380697
"1833",8.47665847665848,7.11252653927813,26.3578274760383,18.1818181818182,48.2573726541555
"1834",7.37100737100737,7.64331210191083,24.7603833865815,13.6363636363636,45.5764075067024
"1835",0,0,0,0,0
"1836",0,0,0,0,0
"1837",5.77395577395577,7.43099787685775,21.5654952076677,11.3636363636364,42.8954423592493
"1838",7.49385749385749,6.58174097664544,23.961661341853,20.4545454545455,42.8954423592493
"1839",5.40540540540541,5.9447983014862,25.5591054313099,20.4545454545455,34.8525469168901
"1840",7.37100737100737,7.96178343949045,20.7667731629393,11.3636363636364,40.2144772117963
"1841",0,0,0,0,0
"1842",0.122850122850123,0.106157112526539,0,0,0
"1843",0,0,0,0,0
"1844",6.26535626535627,7.43099787685775,17.5718849840256,15.9090909090909,28.1501340482574
"1845",6.01965601965602,7.21868365180467,27.1565495207668,22.7272727272727,36.1930294906166
"1846",0,0,0,0,0
"1847",6.01965601965602,7.32484076433121,19.9680511182109,9.09090909090909,40.2144772117963
"1848",0,0,0,0,0
"1849",7.73955773955774,8.70488322717622,15.1757188498403,15.9090909090909,30.8310991957105
"1850",5.65110565110565,7.53715498938429,27.9552715654952,13.6363636363636,45.5764075067024
"1851",6.87960687960688,7.53715498938429,20.7667731629393,13.6363636363636,38.8739946380697
"1852",0,0,0,0,0
"1853",7.12530712530713,7.21868365180467,23.1629392971246,13.6363636363636,34.8525469168901
"1854",0,0,0,0,0
"1855",5.40540540540541,7.74946921443737,24.7603833865815,13.6363636363636,44.2359249329759
"1856",5.65110565110565,7.11252653927813,22.3642172523962,18.1818181818182,34.8525469168901
"1857",0,0,0,0,0
"1858",0,0,0,0,0
"1859",7.86240786240786,7.00636942675159,22.3642172523962,15.9090909090909,37.5335120643432
"1860",0,0,0,0,0
"1861",7.002457002457,8.3864118895966,19.1693290734824,15.9090909090909,38.8739946380697
"1862",0,0,0,0,0
"1863",0,0,0,0,0
"1864",6.75675675675676,6.4755838641189,27.1565495207668,18.1818181818182,41.5549597855228
"1865",7.37100737100737,8.49256900212314,17.5718849840256,11.3636363636364,40.2144772117963
"1866",6.14250614250614,6.68789808917197,22.3642172523962,15.9090909090909,38.8739946380697
"1867",7.98525798525798,6.68789808917197,19.1693290734824,18.1818181818182,36.1930294906166
"1868",8.47665847665848,8.49256900212314,27.1565495207668,13.6363636363636,33.5120643431635
"1869",0,0,0,0,0
"1870",5.65110565110565,7.74946921443737,21.5654952076677,18.1818181818182,33.5120643431635
"1871",6.14250614250614,5.9447983014862,25.5591054313099,13.6363636363636,36.1930294906166
"1872",6.75675675675676,7.74946921443737,23.961661341853,13.6363636363636,32.171581769437
