"","age1.I","age2_no_comorbid.I","age2_comorbid.I","age3_no_comorbid.I","age3_comorbid.I"
"716",22,15,3,2,4
"717",0,1,0,0,0
"718",1,0,1,0,0
"719",2,2,1,0,0
"720",0,1,0,0,0
"721",0,1,0,0,0
"722",0,1,0,0,0
"723",1,2,0,0,0
"724",17,12,3,1,1
"725",0,1,0,0,0
"726",2,3,1,0,0
"727",1,0,0,0,0
"728",13,9,3,2,1
"729",1,1,1,0,0
"730",0,1,0,0,0
"731",26,20,4,3,2
"732",28,18,5,2,2
"733",20,14,4,2,1
"734",0,1,0,0,0
"735",36,29,5,1,3
"736",25,16,5,2,1
"737",12,13,3,2,1
"738",0,1,0,0,0
"739",28,21,4,3,3
"740",1,2,0,0,0
"741",19,21,4,1,3
"742",10,5,2,1,0
"743",17,18,4,2,2
"744",0,2,0,0,0
"745",45,38,7,2,3
"746",1,0,0,0,0
"747",1,1,0,1,0
"748",24,22,5,2,4
"749",2,2,1,0,0
"750",0,0,0,0,0
"751",5,3,1,0,0
"752",1,2,0,1,0
"753",30,20,4,2,2
"754",3,4,0,0,1
"755",0,1,0,0,0
"756",0,0,0,0,0
"757",0,1,0,0,0
"758",1,1,1,1,0
"759",12,10,4,1,2
"760",21,23,3,2,4
"761",0,1,0,0,0
"762",1,1,0,1,0
"763",0,1,0,0,0
"764",1,1,0,0,0
"765",1,1,0,0,0
"766",0,1,0,0,0
"767",0,1,0,0,0
"768",1,1,0,0,0
"769",19,17,5,1,3
"770",0,1,0,0,0
"771",30,23,4,1,2
"772",3,3,0,1,0
"773",0,1,0,0,0
"774",17,13,2,1,3
"775",0,1,0,0,0
"776",1,1,0,0,0
"777",2,1,0,0,0
"778",29,22,6,3,3
"779",1,2,0,0,0
"780",0,1,0,0,0
"781",0,1,0,0,0
"782",0,1,0,0,0
"783",0,1,0,0,0
"784",0,1,0,0,0
"785",0,2,0,0,0
"786",1,1,0,0,0
"787",0,1,0,0,0
"788",0,0,0,0,0
"789",0,1,0,0,0
"790",30,19,4,2,3
"791",0,0,0,0,0
"792",0,1,0,0,0
"793",0,1,0,0,0
"794",0,1,0,0,0
"795",22,13,3,1,2
"796",1,0,0,0,0
"797",0,1,0,0,0
"798",0,0,0,0,0
"799",1,0,0,0,0
"800",0,1,0,0,0
"801",4,4,1,0,1
"802",1,1,0,0,0
"803",4,3,1,0,0
"804",7,6,3,1,0
"805",3,1,0,0,0
"806",2,2,0,0,0
"807",0,2,0,0,0
"808",2,2,0,0,0
"809",0,1,0,0,0
"810",22,15,4,1,2
"811",21,17,2,2,2
"812",0,1,0,0,0
"813",0,1,0,0,0
"814",0,1,1,0,0
"815",0,1,0,0,0
"816",31,20,3,1,2
"817",0,2,0,0,1
"818",0,1,0,0,0
"819",24,25,5,2,2
"820",0,1,0,0,0
"821",2,2,0,0,0
"822",22,11,3,2,2
"823",0,1,0,0,0
"824",0,0,0,0,0
"825",0,1,0,0,0
"826",0,0,0,0,0
"827",1,1,0,0,0
"828",1,1,0,0,0
"829",1,0,0,0,0
"830",3,3,0,1,0
"831",18,14,3,2,2
"832",33,27,7,2,2
"833",26,25,4,2,3
"834",0,0,0,0,0
"835",0,1,0,0,0
"836",0,1,0,0,1
"837",0,1,0,0,0
"838",27,19,4,2,3
"839",0,1,0,0,0
"840",0,1,0,0,0
"841",1,2,0,0,0
