"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"343",21,14,9,5,10
"344",0,0,0,0,0
"345",24,17,7,3,6
"346",0,0,0,0,0
"347",21,15,9,3,10
"348",25,15,6,6,10
"349",0,0,0,0,0
"350",16,17,11,2,10
"351",22,17,9,7,10
"352",0,0,0,0,0
"353",24,17,7,4,11
"354",20,21,9,3,10
"355",15,14,9,2,12
"356",16,17,11,1,11
"357",0,0,0,0,0
"358",0,0,0,0,0
"359",14,18,10,2,9
"360",0,0,0,0,0
"361",14,17,10,2,8
"362",20,17,8,2,11
"363",16,16,11,1,8
"364",16,15,8,1,6
"365",21,16,7,3,8
"366",12,23,13,4,10
"367",21,20,4,3,8
"368",12,17,9,3,7
"369",25,18,9,2,9
"370",15,20,9,4,10
"371",0,0,0,0,0
"372",0,0,0,0,0
"373",0,0,0,0,0
"374",25,20,6,4,10
"375",16,18,12,3,9
"376",19,20,9,2,7
"377",18,19,8,1,9
"378",17,15,4,6,10
"379",14,16,5,6,8
"380",14,16,10,2,7
"381",18,18,7,2,8
"382",23,22,8,3,14
"383",0,0,0,0,0
"384",20,19,6,3,8
"385",13,20,8,2,8
"386",16,16,13,4,6
"387",18,21,8,2,8
"388",0,1,1,0,0
"389",16,17,12,2,9
"390",13,22,7,2,7
"391",0,0,0,0,0
"392",0,0,0,0,0
"393",21,21,10,4,7
"394",0,0,0,0,0
"395",18,17,7,3,8
"396",12,25,11,3,9
"397",15,10,8,3,10
"398",0,0,0,0,0
"399",11,16,9,2,11
"400",16,20,9,3,7
"401",20,19,7,1,7
"402",14,19,8,4,14
"403",20,17,13,3,4
"404",18,21,10,3,6
"405",17,16,10,4,6
"406",18,16,7,1,7
"407",17,26,7,2,5
"408",14,25,6,2,5
"409",0,0,0,0,0
"410",20,21,5,4,8
"411",14,17,11,1,6
"412",15,18,7,2,12
"413",0,0,0,0,0
"414",16,14,8,2,7
"415",18,13,9,4,6
"416",18,17,8,4,10
"417",0,0,0,0,0
"418",17,17,9,4,7
"419",21,19,7,3,6
"420",0,0,0,0,0
"421",0,0,0,0,0
"422",12,22,8,3,8
"423",14,19,7,5,7
"424",14,17,10,3,7
"425",25,16,7,4,8
"426",0,0,0,0,0
"427",19,18,11,2,7
"428",21,18,7,4,11
"429",24,19,4,5,8
"430",16,21,10,3,9
"431",23,22,7,4,7
"432",19,16,8,3,10
"433",16,15,4,2,6
"434",17,21,10,3,7
"435",24,22,6,2,11
"436",16,19,12,5,7
"437",11,14,6,2,11
"438",14,16,5,5,8
"439",20,27,9,4,8
"440",16,20,8,2,8
"441",25,16,8,2,11
"442",15,20,9,2,12
"443",20,20,7,3,10
"444",14,15,5,2,7
"445",18,21,8,2,6
"446",15,22,7,2,9
"447",21,18,11,2,9
"448",19,16,9,4,13
"449",0,0,0,0,0
"450",0,0,0,0,0
"451",17,16,5,2,6
"452",16,15,9,2,6
"453",17,20,11,1,9
"454",25,18,10,2,9
"455",19,20,8,2,7
"456",22,22,7,2,7
"457",17,16,7,2,10
"458",22,14,7,3,8
"459",19,16,6,2,8
"460",20,12,5,3,10
"461",18,21,10,2,7
"462",0,0,0,0,0
"463",16,19,7,3,9
"464",0,0,0,0,0
"465",14,24,10,1,5
"466",0,0,0,0,0
"467",16,13,11,3,8
"468",16,22,4,4,7
"469",22,16,7,2,11
"470",26,17,5,4,9
"471",13,16,8,3,8
"472",15,26,4,4,7
"473",16,17,11,4,5
"474",0,0,0,0,0
"475",17,21,9,3,8
"476",22,27,8,7,9
"477",24,23,7,3,8
"478",18,23,8,3,6
"479",21,16,8,3,8
"480",14,16,6,4,9
"481",0,0,0,0,0
"482",19,18,10,5,5
"483",0,0,0,0,0
"484",23,15,8,3,5
"485",20,17,5,2,5
"486",12,19,12,4,10
"487",19,13,10,2,8
"488",14,18,9,1,7
"489",18,14,10,3,9
"490",14,14,5,3,8
"491",13,20,8,2,7
"492",17,20,6,3,8
"493",16,23,9,3,8
"494",13,17,11,4,7
"495",18,19,9,1,6
"496",26,21,6,2,8
"497",19,20,7,2,7
"498",15,22,8,5,8
"499",23,14,7,3,7
"500",0,0,0,0,0
"501",0,0,0,0,0
"502",17,16,6,3,9
"503",19,23,9,3,9
"504",14,16,5,3,14
"505",14,19,11,3,8
"506",22,19,6,2,9
"507",15,16,8,2,10
"508",14,13,8,4,9
"509",14,21,10,2,7
"510",13,19,8,2,9
"511",13,17,8,3,7
"512",0,0,0,0,0
"513",18,19,6,5,6
"514",12,19,8,2,6
"515",14,23,11,4,6
"516",18,19,12,5,8
"517",13,17,6,3,10
"518",16,17,10,4,8
"519",21,17,10,2,8
"520",12,20,3,2,11
"521",18,18,7,1,9
"522",17,14,8,2,8
"523",23,13,8,3,11
"524",19,24,8,2,9
"525",13,15,9,3,8
"526",17,19,8,1,8
"527",0,0,0,0,0
"528",20,20,7,3,10
"529",17,15,11,4,10
"530",15,20,6,3,8
"531",16,20,5,3,8
"532",0,0,0,0,0
"533",21,16,8,3,10
"534",18,13,7,5,5
"535",0,0,0,0,0
"536",0,0,0,0,0
"537",12,22,16,3,8
"538",13,21,13,2,10
"539",17,17,6,3,8
"540",23,20,6,3,10
"541",14,13,6,2,9
"542",19,14,9,3,11
"543",14,19,7,3,10
"544",14,21,9,1,9
"545",15,16,7,2,7
"546",20,15,3,2,6
"547",13,23,7,2,6
"548",13,16,6,2,7
"549",15,16,7,4,8
"550",0,0,0,0,0
"551",14,18,9,4,8
"552",15,18,5,4,6
"553",21,21,6,4,10
"554",17,15,11,1,6
"555",20,15,11,4,8
"556",18,19,10,2,7
"557",0,0,0,0,0
"558",13,22,8,6,11
"559",12,22,6,3,7
"560",0,0,0,0,0
"561",0,0,0,0,0
"562",0,0,0,0,0
"563",18,20,6,4,9
"564",14,17,8,5,9
"565",20,16,11,3,10
"566",24,22,9,2,7
"567",17,18,5,1,6
"568",19,25,7,2,8
"569",18,19,6,3,7
"570",20,18,8,2,11
"571",14,14,9,2,8
"572",19,20,15,3,8
"573",19,16,11,5,6
"574",14,18,7,6,9
"575",14,16,10,4,10
"576",15,15,6,5,6
"577",14,14,6,2,11
"578",21,17,7,2,7
"579",0,0,0,0,0
"580",18,14,10,3,8
"581",0,0,0,0,0
"582",15,16,7,2,10
"583",19,21,11,2,5
"584",22,20,14,2,9
"585",0,0,0,0,0
"586",20,22,5,4,8
"587",16,18,6,2,9
"588",15,17,8,1,6
"589",0,0,0,0,0
"590",22,17,7,2,7
"591",18,17,6,2,8
"592",15,17,9,4,13
"593",11,28,7,6,10
"594",0,0,0,0,0
"595",12,16,7,4,8
"596",17,21,8,3,5
"597",24,17,9,2,7
"598",20,14,4,2,11
"599",0,0,0,0,0
"600",27,19,10,2,7
"601",0,0,0,0,0
"602",0,0,0,0,0
"603",16,23,7,1,10
"604",18,14,7,2,8
"605",16,25,11,2,8
"606",24,16,5,2,9
"607",16,16,10,1,9
"608",20,21,15,4,10
"609",17,17,6,3,10
"610",0,0,0,0,0
"611",10,19,8,2,7
"612",18,15,10,2,12
"613",19,18,9,1,6
"614",0,0,0,0,0
"615",1,0,0,0,0
"616",14,19,4,5,7
"617",0,0,0,0,0
"618",18,18,7,3,6
"619",0,0,0,0,0
"620",0,0,0,0,0
"621",0,0,0,0,0
"622",21,12,8,4,9
"623",12,16,5,1,7
"624",18,17,7,3,10
"625",17,18,5,5,6
"626",15,16,5,3,6
"627",22,20,9,3,8
"628",21,16,11,2,9
"629",16,21,7,2,11
"630",0,0,0,0,0
"631",19,13,7,2,9
"632",13,16,7,2,6
"633",11,11,8,3,8
"634",13,18,11,3,8
"635",14,17,4,5,10
"636",15,12,5,2,7
"637",0,0,0,0,0
"638",15,17,6,1,9
"639",19,18,7,4,6
"640",19,17,9,2,8
"641",17,21,5,2,8
"642",23,14,12,2,8
"643",17,22,12,3,11
"644",14,20,7,2,8
"645",16,15,10,4,9
"646",17,17,9,3,11
"647",12,20,7,5,8
"648",11,16,9,4,6
"649",23,14,12,2,7
"650",16,18,9,8,9
"651",17,23,10,2,10
"652",0,0,0,0,0
"653",14,24,7,4,6
"654",21,20,9,2,6
"655",14,18,5,2,6
"656",0,0,0,0,0
"657",13,23,7,4,6
"658",17,18,8,2,5
"659",17,16,8,3,6
"660",14,20,5,3,7
"661",23,19,7,2,9
"662",0,0,0,0,0
"663",21,16,9,3,9
"664",13,19,9,6,10
"665",0,0,0,0,0
"666",20,15,10,5,7
"667",0,0,0,0,0
"668",23,18,6,3,10
"669",21,15,6,4,5
"670",19,10,6,3,7
"671",0,0,0,0,0
"672",28,17,11,3,8
"673",0,0,0,0,0
"674",17,19,7,2,10
"675",14,16,5,5,6
"676",19,16,7,2,9
"677",23,17,5,3,8
"678",15,14,10,4,9
"679",0,0,0,0,0
"680",10,16,7,7,10
"681",22,21,5,3,6
"682",13,16,10,3,12
"683",23,14,8,1,15
"684",15,22,7,5,9
"685",19,23,7,4,5
"686",12,18,6,4,9
"687",12,16,8,1,10
"688",20,20,8,6,6
"689",23,14,11,2,7
"690",16,23,5,3,7
"691",20,22,10,3,9
"692",0,0,0,0,0
"693",13,20,5,3,6
"694",19,16,10,2,12
"695",12,18,7,3,11
"696",17,22,10,2,9
"697",17,16,7,3,8
"698",13,14,9,2,9
"699",15,17,8,3,7
"700",23,15,10,2,7
"701",19,17,8,3,6
"702",0,0,0,0,0
"703",17,16,8,5,10
"704",16,14,6,4,5
"705",19,20,9,3,12
"706",0,0,0,0,0
"707",15,17,8,2,6
"708",19,21,4,3,10
"709",14,14,10,3,8
"710",0,0,0,0,0
"711",16,19,7,3,14
"712",17,16,7,4,7
"713",0,0,0,0,0
"714",11,18,7,4,7
"715",17,25,9,2,8
"716",16,23,12,3,6
"717",0,0,0,0,0
"718",0,0,0,0,0
"719",19,21,8,3,11
"720",12,11,8,2,11
"721",15,18,8,3,8
"722",14,14,5,4,7
"723",17,14,7,3,7
"724",0,0,0,0,0
"725",30,22,9,4,8
"726",23,14,6,2,6
"727",13,23,11,2,12
"728",15,16,3,2,9
"729",18,15,8,3,7
"730",14,20,7,3,7
"731",17,17,8,2,5
"732",16,22,10,3,8
"733",19,14,7,4,7
"734",14,23,8,2,8
"735",17,22,7,3,6
"736",0,0,0,0,0
"737",15,14,10,6,5
"738",14,20,11,6,5
"739",18,16,10,1,9
"740",12,16,11,4,11
"741",20,17,9,3,6
"742",17,19,7,4,8
"743",20,20,9,5,6
"744",13,18,8,1,9
"745",22,19,10,3,7
"746",16,12,7,3,12
"747",16,16,8,2,10
"748",21,20,7,6,8
"749",19,18,10,2,11
"750",23,17,4,2,8
"751",0,0,0,0,0
"752",20,21,7,2,6
"753",12,13,9,4,10
"754",19,14,7,4,7
"755",17,17,7,4,11
"756",18,20,9,3,9
"757",12,23,4,3,8
"758",17,20,7,4,13
"759",22,20,6,3,10
"760",14,28,9,4,6
"761",16,15,7,2,10
"762",21,19,9,1,11
"763",0,0,0,0,0
"764",19,14,12,2,11
"765",16,15,8,3,8
"766",0,0,0,0,0
"767",20,23,10,2,8
"768",0,0,0,0,0
"769",15,24,10,4,8
"770",0,0,0,0,0
"771",0,0,0,0,0
"772",17,18,7,4,11
"773",22,19,7,4,7
"774",19,15,10,3,9
"775",13,19,10,2,8
"776",14,19,7,3,6
"777",17,19,4,2,9
"778",17,15,6,5,6
"779",18,23,12,2,15
"780",0,0,0,0,0
"781",0,0,0,0,0
"782",0,0,0,0,0
"783",17,12,6,3,11
"784",18,14,5,2,7
"785",21,27,8,3,7
"786",16,22,5,4,6
"787",18,27,6,3,6
"788",0,0,0,0,0
"789",23,19,4,3,8
"790",19,16,8,2,8
"791",16,18,9,2,10
"792",25,28,7,3,7
"793",1,0,0,0,0
"794",21,21,9,1,7
"795",0,0,0,0,0
"796",15,15,7,2,10
"797",19,16,7,2,11
"798",17,20,6,2,7
"799",0,0,0,0,0
"800",17,20,10,3,13
"801",16,16,9,3,10
"802",19,18,9,3,10
"803",23,18,11,2,7
"804",0,0,0,0,0
"805",14,18,8,3,8
"806",10,18,8,4,9
"807",17,20,8,2,6
"808",20,18,9,3,9
"809",14,14,9,3,11
"810",10,19,11,2,12
"811",18,16,7,4,6
"812",12,14,10,4,10
"813",16,21,7,5,7
"814",13,21,4,7,5
"815",15,17,7,1,6
"816",16,20,5,3,7
"817",23,16,7,3,6
"818",0,0,0,0,0
"819",11,12,4,2,8
"820",15,15,10,3,7
"821",24,23,10,2,11
"822",12,20,10,1,6
"823",0,0,0,0,0
"824",18,13,6,2,6
"825",23,17,8,3,14
"826",18,15,6,2,9
"827",21,20,4,3,11
"828",17,26,10,4,8
"829",11,21,9,3,7
