contacts,Isolate,Limit,Onset,Fate,Tcheck,PopSize,lock,self,mod,NumFinalDeaths.mean,NumFinalDeaths.stderr,NumFinalDeaths.mean.E,NumFinalDeaths.stderr.E,NumFinalDeaths.mean.S,NumFinalDeaths.stderr.S,P.outbrk,P.outbrk.E,P.outbrk.S,P.cases.lt.thr,P.cases.lt.thr.E,P.cases.lt.thr.S,NumFinalRecovered.mean,NumFinalRecovered.stderr,NumFinalRecovered.mean.E,NumFinalRecovered.stderr.E,NumFinalRecovered.mean.S,NumFinalRecovered.stderr.S,CFR,CFR.E,CFR.S,TimePeakSymptomatic.mean,TimePeakSymptomatic.stderr,TimePeakSymptomatic.mean.E,TimePeakSymptomatic.stderr.E,TimePeakSymptomatic.mean.S,TimePeakSymptomatic.stderr.S
null_model_mixed,IsolateYES,Limit0,Onset0,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.1103,0.0003458,NA,NA,NA,NA,0.788,NA,NA,0.212,NA,NA,0.8512,0.0004314,NA,NA,NA,NA,0.1147,NA,NA,40.6,0.3524,NA,NA,NA,NA
null_model_mixed,IsolateYES,Limit50,Onset24,FateD,TcheckNO,PopSize2000,lockNO,self0.2,modSV,0.0723,0.0002857,NA,NA,NA,NA,0.804,NA,NA,0.196,NA,NA,0.8366,0.000596,NA,NA,NA,NA,0.07955,NA,NA,50.6,0.3894,NA,NA,NA,NA
null_model_mixed,IsolateYES,Limit50,Onset24,FateD,TcheckNO,PopSize2000,lockNO,self0.5,modSV,0.05015,0.0002687,NA,NA,NA,NA,0.638,NA,NA,0.362,NA,NA,0.6116,0.001445,NA,NA,NA,NA,0.07579,NA,NA,74.67,0.7352,NA,NA,NA,NA
shield_cont10_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.1091,0.0003442,0.07926,0.0003323,0.2285,0.001016,0.82,0.82,0.82,0.18,0.18,0.18,0.8485,0.0004153,0.891,0.0004076,0.6784,0.001189,0.1139,0.08168,0.2296,48.9,0.3991,38.46,0.3713,53.08,0.4279
shield_cont10_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.1084,0.0003441,0.07883,0.0003524,0.2268,0.0009916,0.846,0.846,0.846,0.154,0.154,0.154,0.8477,0.0004052,0.8908,0.0004194,0.6755,0.001089,0.1134,0.0813,0.229,50.11,0.3802,38.19,0.3441,54.88,0.4161
shield_cont10_age3_age2_20,IsolateNO,Limit0,Onset0,FateR,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.02468,0.0001731,0.01385,0.0001357,0.06949,0.0006073,0.596,0.596,0.232,0.14,0.19,0.144,0.9316,0.0003479,0.9559,0.0003096,0.833,0.00115,0.02581,0.01428,0.07822,50.62,0.3842,38.42,0.3517,55.56,0.4299
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.1093,0.0004631,0.07977,0.0003527,0.232,0.0009519,0.854,0.854,0.838,0.146,0.146,0.162,0.8494,0.0009755,0.8928,0.0004198,0.6886,0.00102,0.114,0.08202,0.2302,55.89,0.4781,38.15,0.3671,63.33,0.5586
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize1000,lockNO,selfNO,modSV,0.09304,0.00113,0.07831,0.0004663,0.2329,0.001777,0.85,0.85,0.52,0.15,0.15,0.446,0.8032,0.003226,0.8918,0.0005771,0.6879,0.001715,0.1038,0.08072,0.2327,47.3,0.5954,35.29,0.3487,60.53,0.7457
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lock0.5,selfNO,modSV,0.09406,0.001133,0.07917,0.0003596,0.2321,0.001185,0.828,0.828,0.548,0.172,0.172,0.452,0.8064,0.003211,0.894,0.0004224,0.6886,0.001378,0.1045,0.08135,0.2309,51.55,0.6766,37.32,0.3055,67.64,0.7581
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lock0.9,selfNO,modSV,0.07146,0.0008945,0.07911,0.0003559,0.2292,0.002329,0.842,0.842,0.15,0.158,0.158,0.85,0.7399,0.002599,0.8942,0.0004319,0.688,0.002402,0.08807,0.08128,0.2281,41.71,0.6372,37.49,0.3591,72.53,1.844
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lock0.99,selfNO,modSV,0.06472,0.0004224,0.07978,0.0003445,0.2419,0.00961,0.87,0.87,0.016,0.13,0.13,0.984,0.7172,0.0009471,0.8933,0.0004235,0.6856,0.01343,0.08277,0.08199,0.2407,38.45,0.395,37.94,0.3357,75.58,9.7
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,self0.1,modSV,0.09862,0.0009393,0.07828,0.0003513,0.224,0.001143,0.802,0.802,0.644,0.198,0.198,0.356,0.8139,0.002696,0.8827,0.0004577,0.6708,0.001299,0.1081,0.08146,0.2277,58.11,0.6447,40.62,0.3769,70.76,0.711
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,self0.2,modSV,0.09303,0.0009844,0.07612,0.0003639,0.2117,0.001239,0.754,0.754,0.572,0.246,0.246,0.428,0.7907,0.002888,0.8663,0.000566,0.6426,0.001728,0.1053,0.08076,0.2236,63.21,0.8149,44.59,0.3919,79.04,0.9577
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,self0.3,modSV,0.08519,0.001003,0.07367,0.0003461,0.1958,0.00137,0.738,0.738,0.494,0.262,0.262,0.506,0.7499,0.002987,0.8364,0.00065,0.6015,0.001946,0.102,0.08094,0.2184,70.93,1.081,50.86,0.5004,93.65,1.273
