contacts,Isolate,Limit,Onset,Fate,Tcheck,PopSize,lock,self,mod,NumFinalDeaths.mean,NumFinalDeaths.stderr,NumFinalDeaths.mean.E,NumFinalDeaths.stderr.E,NumFinalDeaths.mean.S,NumFinalDeaths.stderr.S,P.outbrk,P.outbrk.E,P.outbrk.S,P.cases.lt.thr,P.cases.lt.thr.E,P.cases.lt.thr.S,N.nodeath,N.nodeath.E,N.nodeath.S,N.death,N.death.E,N.death.S,NumFinalRecovered.mean,NumFinalRecovered.stderr,NumFinalRecovered.mean.E,NumFinalRecovered.stderr.E,NumFinalRecovered.mean.S,NumFinalRecovered.stderr.S,CFR,CFR.E,CFR.S,TimePeakSymptomatic.mean,TimePeakSymptomatic.stderr,TimePeakSymptomatic.mean.E,TimePeakSymptomatic.stderr.E,TimePeakSymptomatic.mean.S,TimePeakSymptomatic.stderr.S
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.5,selfNO,modSV,0.05956,0.0004432,0.04406,0.0001561,0.1838,0.001104,0.8152,0.8152,0.5304,0.184,0.184,0.4604,460,460,1151,2040,2040,1349,0.8136,0.002434,0.9096,0.002204,0.6499,0.003531,0.06821,0.0462,0.2225,56.03,0.3346,42.43,0.1753,71.62,0.4116
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.9,self0.2,modSV,0.03802,0.0003035,0.042,0.0001828,0.1481,0.002916,0.7592,0.7592,0.1108,0.2364,0.2364,0.886,591,591,2215,1909,1909,285,0.7057,0.00258,0.8618,0.002934,0.5449,0.01016,0.05112,0.04647,0.2077,53.85,0.3334,50.05,0.2249,85.89,1.3
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.9,self0.5,modSV,0.02436,0.0002189,0.02991,0.0002594,0.03255,0.004105,0.554,0.554,0.028,0.4368,0.4368,0.9632,1092,1092,2408,1408,1408,92,0.4815,0.003846,0.5997,0.004777,0.1271,0.01603,0.04815,0.04751,0.1319,75.41,0.6425,74.24,0.604,100.6,4.564
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lockNO,self0.2,modSV,0.05646,0.0004097,0.04166,0.0001969,0.1532,0.001171,0.7488,0.7488,0.548,0.2468,0.2468,0.4316,617,617,1079,1883,1883,1421,0.7712,0.003188,0.8577,0.003274,0.5624,0.003963,0.06822,0.04632,0.2102,68.17,0.4387,49.82,0.2483,84.68,0.5115
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lockNO,self0.5,modSV,0.02669,0.0002637,0.02999,0.0002459,0.03985,0.001788,0.5676,0.5676,0.1584,0.4244,0.4244,0.8056,1061,1061,2014,1439,1439,486,0.4948,0.003708,0.6053,0.004477,0.153,0.006766,0.05118,0.04721,0.1459,82.4,0.7597,75.69,0.6161,106.8,1.654
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.06855,0.0003362,0.04407,0.0001536,0.1884,0.0007235,0.826,0.826,0.726,0.1732,0.1732,0.2692,433,433,673,2067,2067,1827,0.8461,0.002208,0.9103,0.002131,0.6666,0.002069,0.07495,0.04618,0.2235,59.27,0.2816,42.3,0.1652,69.47,0.3123
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateR,TcheckYES,PopSize2000,lockNO,self0.5,modSV,0.008312,8.832e-05,0.009154,7.791e-05,0.01733,0.0007156,0.5504,0.5504,0.126,0.4472,0.4472,0.8424,1118,1118,2106,1382,1382,394,0.5346,0.002833,0.6522,0.003343,0.2167,0.008706,0.01531,0.01384,0.06842,85.31,0.6859,78.32,0.533,112,1.829
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset48,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.07705,0.0003566,0.05041,0.0001478,0.2076,0.0007388,0.8348,0.8348,0.734,0.1648,0.1648,0.2612,412,412,653,2088,2088,1847,0.8483,0.001721,0.9116,0.001526,0.6725,0.001976,0.08327,0.0524,0.2375,59.05,0.2647,42.11,0.1612,69,0.3038
shield_cont2_age3_age2_20,IsolateNO,Limit500,Onset24,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.06699,0.0003475,0.04371,0.0001465,0.1836,0.0008792,0.8116,0.8116,0.6988,0.1876,0.1876,0.2916,469,469,729,2031,2031,1771,0.838,0.002097,0.9055,0.001962,0.6508,0.002769,0.07403,0.04605,0.2224,59.4,0.2904,42.8,0.1741,69.65,0.3341
shield_cont2_age3_age2_20,IsolateYES,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.1016,0.0004568,0.07764,0.0002628,0.2235,0.0009374,0.8576,0.8576,0.7472,0.1412,0.1412,0.2424,353,353,606,2147,2147,1894,0.8192,0.002537,0.8772,0.002513,0.6656,0.002515,0.1103,0.08132,0.229,54.73,0.2813,37.66,0.1754,65.24,0.2874
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.5,self0.2,modSV,0.04805,0.0004065,0.04207,0.0001875,0.1395,0.001683,0.7672,0.7672,0.3776,0.2312,0.2312,0.6036,578,578,1509,1922,1922,991,0.7394,0.002932,0.8583,0.003044,0.5111,0.005953,0.06101,0.04673,0.2054,62.29,0.4245,50.31,0.2281,83.78,0.6564
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.5,self0.5,modSV,0.02479,0.0002427,0.02944,0.0002593,0.03184,0.002079,0.5568,0.5568,0.0864,0.4332,0.4332,0.89,1083,1083,2225,1417,1417,275,0.4753,0.003874,0.5879,0.004765,0.1238,0.008062,0.04957,0.04769,0.1318,77.52,0.7063,74.17,0.6217,103.3,2.196
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.5,selfNO,modSV,0.0574,0.0004384,0.04379,0.0001612,0.1763,0.001209,0.8328,0.8328,0.516,0.166,0.166,0.4708,415,415,1177,2085,2085,1323,0.8045,0.002583,0.906,0.002444,0.6278,0.004005,0.0666,0.04611,0.2195,55.31,0.3254,42.42,0.1756,71.51,0.3883
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.9,self0.2,modSV,0.03693,0.0002864,0.0414,0.0001875,0.1314,0.003691,0.7524,0.7524,0.1012,0.2456,0.2456,0.8904,614,614,2226,1886,1886,274,0.7001,0.002676,0.8576,0.0031,0.4816,0.01335,0.05011,0.04605,0.203,52.99,0.3214,49.87,0.2346,80.87,1.339
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.9,self0.5,modSV,0.02357,0.0002105,0.02906,0.0002506,0.02866,0.003306,0.5548,0.5548,0.0252,0.4356,0.436,0.9672,1089,1090,2418,1411,1410,82,0.4734,0.003792,0.5905,0.004704,0.1113,0.01321,0.04742,0.04691,0.1259,75.97,0.6533,75.35,0.6317,92.41,4.383
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lockNO,self0.2,modSV,0.05557,0.000397,0.04168,0.0001925,0.147,0.001118,0.7616,0.7616,0.5596,0.2368,0.2368,0.4232,592,592,1058,1908,1908,1442,0.766,0.003144,0.8552,0.003255,0.541,0.003846,0.06763,0.04647,0.2078,67.63,0.4301,49.84,0.2423,83.7,0.4964
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lockNO,self0.5,modSV,0.02528,0.0002596,0.02897,0.0002598,0.02934,0.001464,0.5412,0.5412,0.1544,0.4464,0.4464,0.802,1116,1116,2005,1384,1384,495,0.4791,0.004005,0.5884,0.004872,0.1148,0.005902,0.05011,0.04693,0.1272,81.22,0.7593,75.65,0.6302,101.9,1.585
