"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"382",1,1,1,1,1,1,1
"383",4,1,13,1,1,1,1
"384",1,1,1,1,1,1,1
"385",1,1,1,1,1,1,1
"386",1,1,4,1,1,1,1
"387",3,1,1,1,1,1,1
"388",14,1,21,1,1,1,1
"389",7,1,12,1,1,1,1
"390",3,1,1,1,1,1,1
"391",1,1,1,1,1,1,1
"392",1,1,1,1,1,1,1
"393",3,1,1,1,1,1,1
"394",9,1,1,1,1,1,1
"395",2265,1,2284,1,1044,1,1
"396",1,1,3,1,1,1,1
"397",858,839,843,725,1,407,1
"398",1,1,1,1,1,1,1
"399",1,1,1,1,1,1,1
"400",1,1,1,1,1,1,1
"401",1,1,1,1,1,1,1
"402",1,1,1,1,1,1,1
"403",1,1,1,1,1,1,1
"404",1,1,12,1,1,1,1
"405",1,1,1,1,1,1,1
"406",3,1,1,1,1,1,1
"407",75,1,78,1,1,1,1
"408",1,1,3,1,1,1,1
"409",17,1,16,1,1,6,1
"410",1,1,1,1,1,1,1
"411",1,1,1,1,1,1,1
"412",1,1,1,1,1,1,1
"413",24,1,31,1,1,1,1
"414",7,1,1,1,1,1,1
"415",1,1,1,1,1,1,1
"416",1,1,1,1,1,1,1
"417",1,1,1,1,1,1,1
"418",1,1,1,1,1,1,1
"419",1,1,1,1,1,1,1
"420",1,1,1,1,1,1,1
"421",5725,1,5844,42,4743,3403,327
"422",17,1,6,1,1,1,1
"423",1,1,1,1,1,1,1
"424",5815,5750,5905,5995,5971,5622,6005
"425",3,1,1,1,1,1,1
"426",6355,6441,6306,6459,6394,6294,6421
"427",3,1,1,1,1,1,1
"428",1,1,1,1,1,1,1
"429",6114,5959,6042,6067,6080,6029,6047
"430",1,1,1,1,1,1,1
"431",1,1,1,1,1,1,1
"432",1,1,1,1,1,1,1
"433",1,1,1,1,1,1,1
"434",7,1,1,1,1,1,1
"435",1,1,3,1,1,1,1
"436",1,1,1,1,1,1,1
"437",1,1,1,1,1,1,1
"438",6133,6293,6313,6337,6294,6285,6311
"439",1,1,1,1,1,1,1
"440",1,1,1,1,1,1,1
"441",1,1,1,1,1,1,1
"442",36,1,50,1,1,1,1
"443",1,1,1,1,1,1,1
"444",6040,6401,6164,6381,6378,6356,6371
"445",7,1,1,1,1,1,1
"446",1,1,3,1,1,1,1
"447",1,1,1,1,1,1,1
"448",5944,6346,6106,6316,6347,6373,6374
"449",1,1,1,1,1,1,1
"450",634,1,605,1,1,1,1
"451",1,1,1,1,1,1,1
"452",1,1,1,1,1,1,1
"453",1,1,1,1,1,1,1
"454",1,1,1,1,1,1,1
"455",1,1,1,1,1,1,1
"456",56,1,49,1,1,1,1
"457",1,1,3,1,1,1,1
"458",1,1,1,1,1,1,1
"459",5250,5786,5138,5780,5769,5657,5762
"460",1,1,1,1,1,1,1
"461",4,1,3,1,1,1,1
"462",1,1,1,1,1,1,1
"463",1,1,1,1,1,1,1
"464",3,1,1,1,1,1,1
"465",3,1,1,1,1,1,1
"466",3,1,1,1,1,1,1
"467",27,1,37,1,1,1,1
"468",54,1,36,1,1,1,1
"469",1,1,1,1,1,1,1
"470",3,1,1,1,1,1,1
"471",1,1,1,1,1,1,1
"472",13,1,6,1,1,1,1
"473",32,1,34,1,1,1,1
"474",1,1,1,1,1,1,1
"475",1,1,1,1,1,1,1
"476",1,1,1,1,1,1,1
"477",18,1,25,1,1,1,1
"478",1,1,4,1,1,1,1
"479",1,1,3,1,1,1,1
"480",1,1,5,1,1,1,1
"481",1,1,1,1,1,1,1
"482",4,1,1,1,1,1,1
"483",1,1,1,1,1,1,1
"484",1,1,1,1,1,1,1
"485",3,1,1,1,1,1,1
"486",6206,6245,6158,6293,6361,6311,6328
"487",22,1,44,1,1,1,1
"488",1,1,1,1,1,1,1
"489",3,1,7,1,1,1,1
"490",1,1,1,1,1,1,1
"491",6,1,1,1,1,1,1
"492",1,1,1,1,1,1,1
"493",1,1,1,1,1,1,1
"494",1,1,1,1,1,1,1
"495",15,1,8,1,1,1,1
"496",1,1,1,1,1,1,1
"497",1,1,1,1,1,1,1
"498",1,1,1,1,1,1,1
"499",1,1,1,1,1,1,1
"500",1,1,1,1,1,1,1
