name,time_to_1st_exposed_in_GreenZone
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-200.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-250.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-300.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-350.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-400.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-450.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-50.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-500.dat,81
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-100.dat,65
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-150.dat,80
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-2.dat,61
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-200.dat,56
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-250.dat,56
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-3.dat,63
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-300.dat,50
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-350.dat,110
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-400.dat,94
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-450.dat,108
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-50.dat,91
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-500.dat,44
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-100.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-150.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-200.dat,110
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-250.dat,113
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-300.dat,90
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-350.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-400.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-450.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-50.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-500.dat,63
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-100.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-150.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-200.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-250.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-300.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-350.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-400.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-450.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-50.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-500.dat,84
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-100.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-150.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-200.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-250.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-300.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-350.dat,NA
