"","age1_orange.P","age2_no_comorbid_orange.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"395",51,54,108,111,111
"396",41,44,86,89,89
"397",54,57,119,123,123
"398",50,53,103,107,107
"399",78,82,185,189,189
"400",67,71,167,170,170
"401",51,54,110,114,114
"402",94,99,221,226,226
"403",67,71,131,135,135
"404",57,61,131,134,134
"405",29,31,58,60,60
"406",66,70,143,147,147
"407",54,57,115,118,118
"408",48,51,103,106,106
"409",50,53,99,102,102
"410",63,66,132,136,136
"411",47,50,96,99,99
"412",55,58,111,115,115
"413",52,55,115,119,119
"414",48,51,104,107,107
"415",83,87,203,207,207
"416",44,47,87,90,90
"417",73,77,161,165,165
"418",35,37,68,71,71
"419",43,46,83,86,86
"420",38,41,79,81,81
"421",53,56,108,112,112
"422",46,49,90,93,93
"423",68,72,140,144,144
"424",45,47,89,92,92
"425",41,43,81,83,83
"426",68,72,144,149,149
"427",31,33,62,64,64
"428",45,48,87,90,90
"429",44,46,85,88,88
"430",45,48,94,97,97
"431",53,56,122,125,125
"432",52,55,105,108,108
"433",96,101,233,239,239
"434",60,64,124,128,128
"435",42,45,88,90,90
"436",71,75,152,156,156
"437",34,36,67,70,70
"438",49,51,102,105,105
"439",39,41,74,77,77
"440",83,88,177,182,182
"441",35,37,70,72,72
"442",60,63,121,125,125
"443",37,39,70,73,73
"444",53,56,119,122,122
"445",42,45,86,89,89
"446",38,41,77,80,80
"447",32,34,62,65,65
"448",66,69,144,148,148
"449",56,60,118,122,122
"450",79,83,181,186,186
"451",49,52,99,103,103
"452",46,49,93,96,96
"453",47,50,96,100,100
"454",50,53,104,107,107
"455",41,44,80,83,83
"456",66,70,142,146,146
"457",36,38,70,73,73
"458",43,46,88,91,91
"459",37,39,74,77,77
"460",32,34,62,64,64
"461",50,53,100,103,103
"462",47,50,100,103,103
"463",49,52,106,109,109
"464",65,68,151,155,155
"465",61,65,145,149,149
"466",61,64,131,135,135
"467",39,42,75,78,78
"468",39,42,78,81,81
"469",47,50,95,98,98
"470",30,32,60,62,62
"471",38,41,79,81,81
"472",52,55,112,115,115
"473",37,39,72,74,74
"474",62,66,131,135,135
"475",52,56,107,110,110
"476",47,49,91,94,94
"477",38,41,76,78,78
"478",39,41,77,80,80
"479",42,44,85,88,88
"480",45,48,94,97,97
"481",49,52,96,99,99
"482",47,50,93,96,96
"483",57,60,129,133,133
"484",34,36,69,72,72
"485",41,43,82,85,85
"486",47,49,102,105,105
"487",53,56,106,110,110
"488",36,38,70,72,72
"489",39,42,80,82,82
"490",48,51,96,99,99
"491",35,37,68,70,70
"492",45,48,91,94,94
"493",38,41,77,80,80
"494",42,45,87,89,89
"495",44,47,90,92,92
"496",46,49,94,97,97
"497",34,36,66,69,69
"498",57,61,122,126,126
"499",57,60,127,130,130
"500",41,44,79,82,82
