"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"238",48,51,88,91,90
"239",57,60,112,115,116
"240",53,56,109,112,113
"241",54,57,107,111,110
"242",58,62,114,118,117
"243",57,60,106,110,110
"244",48,51,91,94,94
"245",42,44,80,83,83
"246",62,66,131,135,135
"247",48,50,91,94,93
"248",73,78,146,151,151
"249",49,52,96,99,99
"250",54,57,102,105,106
"251",62,65,126,130,129
"252",50,53,100,103,103
"253",46,49,91,94,93
"254",62,66,121,125,126
"255",46,49,88,91,91
"256",54,57,104,108,108
"257",42,45,83,85,85
"258",49,52,96,99,99
"259",59,62,124,127,127
"260",54,57,103,106,106
"261",49,52,96,99,100
"262",64,68,127,131,131
"263",52,55,101,104,105
"264",74,79,148,153,153
"265",41,44,81,84,84
"266",65,69,141,145,143
"267",51,55,99,102,102
"268",56,59,117,121,120
"269",36,38,67,70,70
"270",71,76,149,153,152
"271",64,68,135,139,138
"272",69,73,147,151,151
"273",47,50,91,94,94
"274",42,45,78,81,80
"275",39,42,75,77,77
"276",40,42,77,79,79
"277",81,86,178,183,182
"278",73,77,151,155,157
"279",55,59,105,108,107
"280",51,54,97,100,100
"281",56,59,119,122,123
"282",69,73,178,181,180
"283",56,60,107,111,112
"284",49,52,93,96,96
"285",45,47,86,89,89
"286",58,62,120,123,124
"287",51,54,105,108,108
"288",47,50,89,92,91
"289",63,67,126,129,130
"290",60,63,119,123,123
"291",57,60,111,115,115
"292",50,53,91,94,94
"293",49,52,91,94,94
"294",61,64,134,137,137
"295",48,51,93,96,95
"296",79,84,168,172,173
"297",52,55,101,105,103
"298",77,81,168,172,171
"299",47,50,93,96,95
"300",50,53,94,98,98
"301",46,49,87,90,90
"302",45,47,87,90,90
"303",48,51,91,94,94
"304",56,60,109,112,112
"305",65,69,131,135,134
"306",47,50,94,97,98
"307",104,109,249,255,254
"308",62,65,131,134,134
"309",48,51,97,100,99
"310",45,48,91,95,94
"311",64,68,128,132,131
"312",55,58,116,120,119
"313",59,62,117,120,120
"314",58,61,116,119,119
"315",67,71,130,134,133
"316",63,67,129,133,134
"317",56,60,107,111,112
"318",49,52,95,98,98
"319",52,55,105,109,108
"320",50,52,100,103,103
"321",41,43,80,83,83
"322",48,51,93,96,96
"323",61,65,120,124,124
"324",49,52,96,99,99
"325",63,66,130,134,133
"326",36,38,69,72,71
"327",48,51,92,95,94
"328",85,90,199,204,203
"329",73,77,154,158,160
"330",62,66,127,131,132
"331",67,70,136,140,139
"332",52,55,103,107,106
"333",60,64,118,122,122
"334",81,85,168,172,173
"335",63,66,133,136,137
