"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"459",16,13,9,4,11
"460",20,17,10,3,10
"461",16,21,5,2,6
"462",0,0,0,0,0
"463",0,0,0,0,0
"464",0,0,0,0,0
"465",17,18,8,4,11
"466",0,0,0,0,0
"467",0,0,0,0,0
"468",23,15,7,3,9
"469",0,1,0,0,0
"470",15,29,9,3,8
"471",0,0,0,0,0
"472",24,14,10,1,9
"473",0,0,0,0,0
"474",0,0,0,0,0
"475",19,16,12,3,9
"476",20,16,7,2,9
"477",21,26,8,2,14
"478",18,16,7,4,9
"479",20,24,10,1,8
"480",0,0,0,0,0
"481",18,23,9,5,9
"482",0,0,0,0,0
"483",0,0,0,0,0
"484",19,20,9,2,8
"485",17,16,6,2,9
"486",19,16,7,3,6
"487",17,18,4,3,7
"488",18,22,9,4,6
"489",15,18,7,4,6
"490",26,21,7,2,8
"491",0,0,0,0,0
"492",0,0,0,0,0
"493",24,23,9,3,8
"494",14,20,10,3,7
"495",16,16,8,6,12
"496",17,18,7,2,7
"497",19,20,6,5,9
"498",19,24,8,6,6
"499",0,0,0,0,0
"500",16,21,10,5,7
"501",15,26,13,2,9
"502",0,0,0,0,0
"503",18,20,9,4,12
"504",0,0,0,0,0
"505",21,23,9,3,9
"506",0,0,0,0,0
"507",21,16,10,2,12
"508",19,15,10,2,9
"509",0,0,0,0,0
"510",12,14,7,3,6
"511",14,17,11,3,10
"512",0,0,0,0,0
"513",15,15,6,2,7
"514",0,0,0,0,0
"515",0,0,0,0,0
"516",0,0,0,0,0
"517",0,0,0,0,0
"518",0,0,0,0,0
"519",0,0,0,0,0
"520",0,0,0,0,0
"521",17,17,11,4,9
"522",15,15,10,3,7
"523",22,17,6,2,7
"524",0,0,0,0,0
"525",0,0,0,0,0
"526",0,0,0,0,0
"527",14,19,8,4,11
"528",15,27,8,2,9
"529",0,0,0,0,0
"530",0,0,0,0,0
"531",0,0,0,0,0
"532",0,0,0,0,0
"533",0,0,0,0,0
"534",20,19,8,4,8
"535",11,22,11,3,8
"536",0,0,0,0,0
"537",0,0,0,0,0
"538",0,0,0,0,0
"539",16,17,10,4,7
"540",0,0,0,0,0
"541",24,18,6,4,9
"542",15,20,7,4,14
"543",16,16,7,1,11
"544",19,19,11,2,6
"545",0,0,0,0,0
"546",0,1,0,0,0
"547",26,24,15,3,11
"548",0,0,0,0,0
"549",24,24,7,3,6
"550",21,16,7,3,12
"551",0,0,0,0,0
"552",22,16,8,4,6
"553",20,19,9,2,10
"554",22,25,10,4,6
"555",19,20,6,3,10
"556",0,0,0,0,0
"557",20,19,7,3,7
"558",0,0,0,1,0
"559",20,16,7,2,9
"560",22,15,8,3,10
"561",0,0,0,0,0
"562",26,20,6,4,11
"563",0,0,0,0,0
"564",0,0,0,0,0
"565",17,20,7,3,9
"566",0,0,0,0,0
"567",17,25,11,3,8
"568",27,22,6,3,9
"569",16,26,11,5,12
"570",0,0,0,0,0
"571",19,23,10,4,9
"572",14,19,9,1,8
"573",0,0,0,0,0
"574",21,21,9,4,11
"575",19,22,12,2,9
"576",19,25,11,6,10
"577",20,26,10,6,7
"578",17,18,7,3,11
"579",0,0,0,0,0
"580",16,16,13,6,9
"581",0,1,0,0,0
"582",18,14,9,2,13
"583",24,16,7,3,7
"584",0,0,0,0,0
"585",21,19,7,6,10
"586",18,17,7,5,9
"587",0,0,0,0,0
"588",18,25,7,3,9
"589",0,0,0,0,0
"590",0,0,0,0,0
"591",15,22,8,1,8
"592",17,21,10,4,14
"593",20,14,8,3,8
"594",14,16,11,3,6
"595",16,23,9,4,10
"596",21,23,9,6,10
