"","age1_orange.O","age1_green.O","age2_no_comorbid_orange.O","age2_no_comorbid_green.O","age2_comorbid_green.O","age3_no_comorbid_green.O","age3_comorbid_green.O"
"1154",178,0,177,0,0,0,0
"1155",164,17,153,20,16,7,6
"1156",181,18,162,22,16,9,7
"1157",163,16,158,20,21,6,5
"1158",159,20,169,16,18,6,7
"1159",166,0,165,0,0,0,0
"1160",164,16,169,20,22,9,8
"1161",178,15,138,21,19,8,7
"1162",158,1,159,0,0,0,0
"1163",177,0,147,0,0,0,0
"1164",0,0,0,0,0,0,0
"1165",0,0,1,0,0,0,0
"1166",152,13,153,17,21,6,6
"1167",166,0,187,0,0,0,0
"1168",205,16,184,17,23,7,6
"1169",0,0,0,0,0,0,0
"1170",170,23,159,18,20,7,6
"1171",178,0,181,0,0,0,0
"1172",162,0,172,0,0,0,0
"1173",166,0,167,0,0,0,0
"1174",0,0,1,0,0,0,0
"1175",0,0,1,0,0,0,0
"1176",176,0,171,0,0,0,0
"1177",171,0,167,0,0,0,0
"1178",178,14,171,13,11,7,6
"1179",170,11,174,15,14,5,5
"1180",164,11,155,16,15,8,7
"1181",193,14,176,17,24,7,7
"1182",185,0,148,0,0,0,0
"1183",186,14,167,14,16,5,8
"1184",159,0,152,0,0,0,0
"1185",196,0,184,0,0,0,0
"1186",180,0,157,0,0,0,0
"1187",192,13,173,15,14,7,7
"1188",163,17,175,19,15,4,7
"1189",169,0,171,0,0,0,0
"1190",167,0,163,0,0,0,0
"1191",176,0,165,0,1,0,0
"1192",0,0,1,0,0,0,0
"1193",152,13,176,17,16,5,7
"1194",161,0,135,0,0,0,0
"1195",184,17,138,20,21,8,6
"1196",170,15,168,13,20,10,10
"1197",162,0,161,0,0,0,0
"1198",186,0,188,0,0,0,0
"1199",0,0,1,0,0,0,0
"1200",180,14,163,16,11,4,7
"1201",0,0,1,0,0,0,0
"1202",173,16,157,20,18,8,7
"1203",0,0,1,0,0,0,0
"1204",168,18,171,21,21,9,7
"1205",164,13,159,15,19,9,5
"1206",159,16,193,19,13,7,6
"1207",169,0,144,0,0,0,0
"1208",177,12,160,19,22,6,6
