"","age1_orange.E","age1_green.E","age2_no_comorbid_orange.E","age2_no_comorbid_green.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"252",128,11,133,11,13,6,12
"253",143,13,132,15,15,6,10
"254",150,10,146,11,13,7,11
"255",150,0,125,1,0,0,0
"256",151,6,136,7,11,5,11
"257",136,12,145,11,18,7,12
"258",134,13,156,20,20,6,10
"259",147,10,139,12,16,4,8
"260",160,10,149,14,14,7,7
"261",140,12,149,14,14,6,10
"262",139,11,126,16,18,5,10
"263",155,11,132,12,16,10,8
"264",1,0,1,0,0,0,0
"265",162,9,154,12,20,7,11
"266",158,11,144,15,16,5,12
"267",125,13,149,12,15,6,11
"268",0,0,1,0,0,0,0
"269",0,0,1,0,0,0,0
"270",157,12,139,12,16,7,8
"271",146,10,152,12,15,5,10
"272",161,15,127,10,15,8,8
"273",138,13,127,14,17,7,8
"274",147,11,126,11,14,7,10
"275",143,13,141,12,17,5,9
"276",153,11,149,13,16,4,7
"277",156,15,148,11,18,7,11
"278",138,0,137,0,0,0,0
"279",147,11,151,16,18,8,9
"280",172,12,141,15,19,7,13
"281",0,0,1,0,0,0,0
"282",121,10,127,13,19,4,10
"283",0,0,1,0,0,0,0
"284",127,10,139,12,17,6,11
"285",157,15,149,11,14,5,8
"286",138,12,126,7,15,8,7
"287",150,0,120,0,1,1,0
"288",166,11,139,13,16,8,9
"289",144,10,123,13,13,6,11
"290",171,10,138,17,20,6,8
"291",134,16,152,17,27,7,11
"292",147,13,152,14,15,5,7
"293",138,13,136,12,13,7,10
"294",163,12,145,13,16,7,12
"295",144,10,158,13,16,5,10
"296",131,14,120,16,13,5,8
"297",152,12,144,11,19,7,9
"298",148,11,139,11,15,8,9
"299",160,10,159,9,16,5,9
"300",145,10,122,12,15,6,10
"301",148,13,155,13,20,8,9
"302",157,13,153,13,12,6,7
"303",141,12,132,16,17,7,11
"304",136,11,127,10,23,5,9
"305",140,12,128,13,17,8,7
"306",131,0,120,0,1,0,0
"307",134,15,116,14,25,7,12
"308",0,0,1,0,0,0,0
"309",167,15,143,18,15,5,10
"310",132,17,125,16,18,8,11
"311",152,12,166,13,19,6,13
"312",154,0,150,0,1,0,0
"313",162,12,131,14,18,6,10
"314",1,0,1,0,0,0,0
"315",159,12,130,16,22,9,11
"316",154,0,147,0,0,0,0
"317",154,12,155,11,21,5,10
"318",137,11,123,11,14,5,11
"319",130,11,141,17,22,6,11
"320",136,1,132,1,1,0,1
"321",146,9,154,17,16,6,10
"322",144,9,140,12,12,8,9
"323",158,11,158,12,17,5,9
"324",150,9,134,10,19,6,13
"325",131,0,137,0,1,1,0
"326",133,1,164,1,1,1,1
"327",150,10,137,16,19,7,9
"328",142,10,133,14,23,5,8
"329",152,12,142,13,15,9,9
"330",0,0,1,0,0,0,0
"331",140,11,140,14,17,6,10
"332",0,0,1,0,0,0,0
"333",138,9,117,14,18,7,7
"334",166,9,138,13,19,5,11
"335",154,9,138,11,14,5,12
"336",150,13,151,16,16,11,10
"337",156,9,145,14,17,7,10
"338",129,8,135,15,14,5,8
"339",148,10,145,11,15,4,8
"340",168,13,145,14,19,6,8
"341",136,0,127,0,0,0,0
"342",163,9,147,15,17,9,8
"343",144,0,124,0,0,0,0
"344",151,12,122,11,15,6,8
"345",143,11,136,10,18,5,10
"346",144,11,148,12,17,6,9
"347",128,0,125,0,1,0,0
"348",159,12,146,11,15,7,9
"349",158,8,153,9,12,5,7
"350",132,8,116,12,15,4,12
"351",137,10,117,12,13,7,10
"352",142,13,135,15,18,9,8
"353",136,13,135,17,24,8,10
"354",0,0,1,0,0,0,0
"355",138,12,143,13,15,5,10
"356",151,12,134,15,20,6,9
"357",144,10,154,13,13,5,10
"358",0,0,1,0,0,0,0
"359",151,12,133,18,21,6,9
"360",0,0,1,0,0,0,0
"361",132,0,141,0,0,1,0
"362",147,9,162,19,15,6,13
"363",126,9,148,12,23,6,12
"364",0,0,1,0,0,0,0
"365",0,0,1,0,0,0,0
"366",143,11,150,13,17,8,11
"367",140,12,130,10,13,5,7
"368",130,12,128,20,20,5,8
"369",140,13,164,12,14,6,8
"370",159,9,133,16,18,5,7
"371",119,11,114,12,13,5,7
"372",138,9,128,15,23,7,9
"373",135,13,120,18,16,7,8
"374",130,12,139,14,15,8,9
"375",143,8,131,8,12,5,8
"376",0,0,1,0,0,0,0
"377",145,9,142,13,11,7,8
"378",154,12,140,14,20,8,8
"379",146,12,171,12,16,7,10
"380",141,13,146,13,19,6,12
"381",137,11,146,14,14,8,11
"382",147,7,127,11,13,7,9
"383",136,1,165,0,0,0,0
"384",139,1,140,1,1,0,1
"385",132,12,121,14,15,5,12
"386",152,9,143,16,21,5,10
"387",142,14,134,14,14,6,9
"388",152,9,161,15,17,6,7
"389",163,0,138,0,1,0,0
"390",0,0,1,0,0,0,0
"391",159,13,154,10,19,5,11
"392",145,12,146,13,20,7,13
"393",131,12,141,13,20,7,11
"394",154,9,155,9,13,6,7
"395",141,11,117,14,17,6,11
"396",121,0,122,0,0,0,1
"397",144,13,146,18,17,5,7
"398",137,9,122,14,15,4,7
"399",143,9,137,13,17,5,8
"400",150,14,138,17,20,7,9
"401",141,11,145,14,18,6,8
"402",1,0,1,0,0,0,0
"403",140,0,151,0,0,0,0
"404",143,13,143,20,23,5,9
"405",132,9,141,12,14,5,9
"406",134,8,128,19,16,7,8
"407",135,9,149,15,18,5,11
"408",143,12,131,14,22,7,9
"409",127,11,117,9,17,5,9
"410",0,0,1,0,0,0,0
"411",0,0,1,0,0,0,0
"412",152,0,141,0,0,0,0
"413",0,0,1,0,0,0,0
"414",161,14,147,13,14,9,10
"415",131,15,127,13,14,11,10
"416",154,11,141,16,24,6,12
"417",0,0,1,0,0,0,0
"418",146,11,135,12,20,7,10
"419",152,11,139,16,16,5,9
"420",136,11,132,16,15,5,8
"421",133,14,136,14,18,7,9
"422",140,11,131,16,13,5,7
"423",0,0,1,0,0,0,0
"424",141,13,132,21,24,6,10
"425",155,1,155,1,1,1,0
"426",136,13,133,13,21,7,9
"427",162,9,137,11,15,7,11
"428",163,11,130,14,16,7,9
"429",145,14,131,18,16,11,11
"430",157,0,138,0,0,0,0
"431",0,0,1,0,0,0,0
"432",153,14,173,18,20,6,9
"433",149,0,127,0,0,0,0
"434",139,8,147,15,16,5,8
"435",139,0,120,0,0,0,0
"436",148,10,154,15,16,6,11
"437",155,9,141,9,21,5,8
"438",139,10,136,14,15,6,9
"439",151,12,146,12,16,9,8
"440",136,10,138,12,20,5,10
"441",132,9,135,12,16,6,9
"442",0,0,1,0,0,0,0
"443",131,0,148,0,0,0,0
"444",162,8,151,13,21,5,7
"445",145,10,149,15,16,9,14
"446",146,0,127,0,1,0,0
"447",137,8,134,11,17,7,8
"448",154,14,149,11,14,9,6
"449",140,13,128,17,21,7,12
"450",133,13,138,14,15,7,8
"451",168,13,151,14,15,4,9
"452",152,10,163,12,19,4,7
"453",157,13,142,13,18,8,8
"454",165,11,152,13,16,7,9
"455",0,0,1,0,0,0,0
"456",158,9,155,15,18,5,9
"457",139,11,134,14,16,5,9
"458",157,10,149,8,16,4,9
"459",144,0,139,0,0,0,1
"460",159,12,149,16,14,13,9
"461",137,9,137,17,17,5,9
"462",133,13,128,12,21,5,12
"463",134,11,131,17,24,7,15
"464",126,11,122,13,18,7,13
"465",137,11,127,15,13,5,10
"466",138,12,148,12,20,9,12
"467",167,17,153,11,20,8,7
"468",0,0,1,0,0,0,0
"469",137,9,131,10,14,5,7
"470",153,12,140,10,16,5,8
"471",136,9,162,11,17,6,8
"472",149,9,137,13,14,5,10
"473",131,14,139,13,20,9,12
"474",143,10,129,11,19,5,10
"475",139,10,141,16,19,5,10
"476",162,10,155,13,16,7,8
"477",149,13,146,15,15,7,13
"478",122,0,129,0,1,0,0
"479",147,9,138,13,20,6,10
"480",146,13,148,17,20,7,11
"481",141,15,155,11,14,6,7
"482",145,13,152,11,16,6,11
"483",0,0,1,0,0,0,0
"484",0,0,1,0,0,0,0
"485",140,11,155,17,16,6,9
"486",143,12,141,16,18,6,8
"487",142,8,147,13,21,7,8
"488",137,9,130,14,13,6,9
"489",140,10,156,13,19,7,8
"490",156,12,133,15,19,5,13
"491",156,14,143,15,17,7,12
"492",129,11,140,11,14,6,9
"493",135,0,126,0,0,0,1
"494",122,9,118,12,16,5,7
"495",142,11,122,9,14,5,7
"496",151,13,137,14,18,5,7
"497",144,15,156,18,20,7,10
"498",0,0,1,0,0,0,0
"499",0,0,1,0,0,0,0
"500",1,0,1,0,0,0,0
"501",152,1,144,1,0,0,1
"502",153,0,141,0,0,0,0
"503",0,0,1,0,0,0,0
"504",136,9,155,12,15,7,9
"505",139,13,121,12,17,5,8
"506",154,10,129,15,18,7,7
"507",142,10,152,11,17,9,12
"508",123,11,110,15,13,6,8
"509",0,0,1,0,0,0,0
"510",143,12,132,14,11,6,8
"511",154,13,133,9,17,7,9
"512",0,0,1,0,0,0,0
"513",150,9,141,16,15,9,6
"514",0,0,1,0,0,0,0
"515",128,11,116,10,17,4,10
"516",144,9,151,13,15,5,8
"517",162,9,137,16,14,10,11
"518",129,8,129,14,17,6,8
"519",130,15,149,14,20,5,11
"520",146,12,134,13,15,6,8
"521",141,13,151,17,16,4,9
"522",140,10,127,12,20,7,11
"523",146,0,130,0,1,0,0
"524",127,8,137,8,13,6,7
"525",161,14,135,13,19,6,9
"526",169,11,161,10,17,5,11
"527",148,13,148,18,21,6,12
"528",132,11,165,15,16,7,10
"529",136,0,135,0,0,0,0
"530",0,0,1,0,0,0,0
"531",157,13,160,14,21,5,8
"532",137,9,125,12,17,6,10
"533",133,16,140,13,14,9,7
"534",133,0,141,0,0,0,0
"535",156,11,151,14,15,10,11
"536",143,11,142,11,16,5,10
"537",152,13,142,12,15,8,11
"538",0,0,1,0,0,0,0
"539",146,0,133,0,0,0,0
"540",151,8,149,12,16,9,10
"541",152,10,138,15,14,7,11
"542",159,9,120,11,14,10,9
"543",0,0,1,0,0,0,0
"544",174,12,147,17,19,6,10
"545",145,9,146,11,18,5,9
"546",149,0,142,0,1,0,0
"547",137,11,118,14,21,6,8
"548",159,11,148,12,17,6,13
"549",148,14,122,13,19,8,7
"550",146,10,152,14,17,8,9
"551",150,13,142,12,13,8,12
"552",150,9,130,13,18,6,7
"553",137,10,128,13,15,7,9
"554",153,10,148,16,17,5,8
"555",0,0,1,0,0,0,0
"556",0,0,1,0,0,0,0
"557",161,0,143,0,0,0,0
"558",141,12,128,14,19,8,9
"559",131,11,140,15,19,6,9
"560",146,11,150,15,18,5,11
"561",149,0,133,0,0,0,0
"562",147,10,143,15,16,4,9
"563",134,13,134,21,22,9,8
"564",0,0,1,0,0,0,0
"565",134,13,132,16,19,7,8
"566",134,12,120,10,15,4,8
"567",147,8,146,14,20,5,8
"568",145,9,139,11,15,6,8
"569",148,0,133,0,1,0,1
"570",0,0,1,0,0,0,0
"571",149,15,137,14,15,5,10
"572",0,0,1,0,0,0,0
"573",151,0,145,0,1,0,1
"574",134,12,135,12,16,6,8
"575",152,11,145,15,18,8,10
"576",0,0,1,0,0,0,0
"577",0,0,1,0,0,0,0
"578",116,11,127,13,14,6,10
"579",129,12,130,16,17,5,10
"580",137,11,140,14,17,4,9
"581",131,9,128,11,14,5,6
"582",150,0,133,0,0,0,1
"583",0,0,1,0,0,0,0
"584",0,0,1,0,0,0,0
"585",154,13,135,16,19,7,9
"586",0,0,1,0,0,0,0
"587",1,0,1,0,0,0,0
"588",166,12,136,12,17,8,9
"589",167,12,168,11,13,7,10
"590",142,6,125,10,16,4,8
"591",145,12,124,13,17,5,13
"592",0,0,1,0,0,0,0
"593",145,9,141,14,15,8,10
"594",160,13,139,15,15,4,7
"595",144,0,142,0,0,1,0
"596",140,11,142,13,13,6,11
"597",134,11,138,10,17,7,6
"598",147,9,140,12,17,6,9
"599",125,10,125,14,17,6,8
"600",167,8,134,14,19,8,9
"601",147,13,143,12,19,6,13
"602",164,9,152,16,15,5,10
"603",140,10,150,12,17,5,11
"604",130,15,149,13,18,8,9
"605",138,11,139,15,14,4,9
"606",147,10,149,16,17,7,10
"607",135,10,137,14,20,7,8
"608",152,12,134,10,15,6,8
"609",150,9,157,15,22,7,9
"610",154,9,123,10,14,6,11
"611",134,9,125,14,17,7,9
"612",158,10,166,12,20,7,12
"613",149,14,148,15,19,7,9
"614",150,12,120,14,17,6,11
"615",152,8,142,11,15,6,10
"616",141,8,133,15,16,7,8
"617",128,10,122,10,13,6,7
"618",160,13,132,14,22,7,11
"619",162,12,138,13,17,8,10
"620",134,9,116,10,14,4,8
"621",161,0,186,0,0,0,0
"622",173,9,176,17,16,4,11
"623",149,14,135,12,19,6,8
"624",162,0,125,0,0,0,1
"625",180,10,126,9,11,4,5
"626",166,12,146,12,16,4,9
"627",158,10,130,14,13,6,7
"628",135,10,142,14,19,6,14
"629",0,0,1,0,0,0,0
"630",162,0,126,0,0,0,0
"631",152,11,141,12,11,7,6
"632",138,15,141,13,15,7,9
"633",136,11,126,12,14,5,10
"634",148,11,133,14,12,5,8
"635",149,9,143,14,18,9,8
"636",157,9,162,11,15,6,7
"637",0,0,1,0,0,0,0
"638",0,0,1,0,0,0,0
"639",139,10,144,11,18,6,10
"640",160,11,161,16,16,10,10
"641",124,11,133,10,12,6,7
"642",150,15,150,12,19,7,10
"643",145,9,139,12,19,4,7
"644",164,8,127,9,14,4,9
"645",150,12,132,12,17,5,8
"646",125,0,131,0,0,0,0
"647",172,11,159,15,18,9,5
"648",119,10,105,10,17,5,9
"649",134,13,127,9,11,6,11
"650",131,11,133,10,17,6,9
"651",128,14,131,22,19,5,12
"652",159,11,136,17,18,7,9
"653",151,13,153,9,14,7,6
"654",132,12,118,14,15,7,11
"655",148,12,150,13,16,3,9
"656",0,0,1,0,0,0,0
"657",145,13,151,16,16,8,11
"658",133,13,132,14,13,6,7
"659",141,11,154,13,15,5,10
"660",165,8,162,9,20,4,7
"661",0,0,1,0,0,0,0
"662",161,0,153,0,0,0,0
"663",0,0,1,0,0,0,0
"664",139,8,148,14,14,5,6
"665",158,10,144,13,18,5,8
"666",151,11,131,11,14,7,10
"667",122,10,140,10,13,7,10
"668",153,12,158,14,20,8,9
"669",1,0,1,0,0,0,0
"670",143,12,134,8,13,5,6
"671",120,15,131,13,13,5,12
"672",0,0,1,0,0,0,0
"673",134,8,138,8,12,4,5
"674",129,11,138,13,18,5,7
"675",147,0,125,0,0,0,0
"676",139,12,132,16,21,5,9
"677",142,10,138,11,19,6,8
"678",138,8,148,11,11,3,8
"679",145,9,137,12,14,7,7
"680",144,8,133,12,18,7,10
"681",140,11,163,11,18,6,9
"682",141,13,120,11,17,10,13
"683",138,9,120,14,14,4,10
"684",158,13,150,14,14,6,9
"685",160,11,132,13,16,6,9
"686",130,0,140,0,0,0,0
"687",142,11,117,13,22,7,10
"688",130,14,150,15,21,10,11
"689",145,10,149,11,15,4,8
"690",0,0,1,0,0,0,0
"691",143,16,139,11,21,4,9
"692",176,9,136,10,17,6,9
"693",139,11,133,17,16,7,9
"694",141,14,144,14,17,6,10
"695",159,12,147,12,20,8,8
"696",0,0,1,0,0,0,0
"697",127,10,127,13,15,5,12
"698",0,0,1,0,0,0,0
"699",184,12,154,10,19,7,11
"700",142,8,152,11,14,5,10
"701",139,13,146,20,17,7,10
"702",0,0,1,0,0,0,0
"703",162,10,153,14,18,7,8
"704",148,9,142,13,13,5,8
"705",157,10,153,15,22,7,11
"706",132,0,141,0,0,0,0
"707",143,9,132,13,22,5,8
"708",142,10,149,18,19,6,7
"709",138,11,149,18,16,7,14
"710",146,9,122,15,15,9,9
"711",133,10,159,13,12,7,9
"712",129,10,157,10,13,9,10
"713",148,12,169,17,15,6,9
"714",140,14,128,13,21,7,8
"715",153,10,161,12,17,6,7
"716",136,10,140,12,17,8,8
"717",161,13,144,14,18,9,10
"718",143,8,155,11,12,6,7
"719",144,8,153,7,14,5,9
"720",142,11,150,15,17,6,8
"721",150,12,126,13,14,4,11
"722",143,9,130,11,17,4,8
"723",152,13,149,14,22,5,9
"724",143,10,128,14,16,5,9
"725",0,0,1,0,0,0,0
"726",140,0,135,0,1,0,0
"727",126,11,139,13,14,6,13
"728",136,13,133,17,16,8,11
"729",154,9,139,14,17,6,11
"730",0,0,1,0,0,0,0
"731",159,0,151,0,0,1,1
"732",140,0,132,1,0,0,1
"733",158,13,153,13,20,6,8
"734",153,11,151,14,15,7,8
"735",146,12,144,13,17,9,12
"736",154,10,167,11,16,6,11
"737",0,0,1,0,0,0,0
"738",141,0,140,0,0,0,0
"739",144,12,145,11,19,6,10
"740",141,0,134,0,1,0,0
"741",151,13,141,11,19,8,10
"742",153,16,133,15,24,8,8
"743",156,11,161,14,15,5,9
"744",133,11,135,13,16,9,8
"745",0,0,1,0,0,0,0
"746",134,0,129,0,0,0,0
"747",156,11,161,13,18,5,10
"748",150,10,129,12,13,7,10
"749",140,0,125,0,1,0,0
"750",147,13,149,15,16,6,12
"751",151,11,136,15,19,7,8
"752",146,0,142,0,0,0,0
"753",136,9,124,13,15,5,6
"754",156,12,142,14,18,8,6
"755",136,11,142,12,21,4,9
"756",2,0,1,0,0,0,0
"757",0,0,1,0,0,0,0
"758",157,12,149,12,15,8,11
"759",151,1,134,0,0,1,1
"760",147,12,119,12,15,6,11
"761",163,13,152,15,18,5,10
"762",0,0,1,0,0,0,0
