"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"372",2,5,4,2,4
"373",5,5,3,2,4
"374",0,1,0,0,0
"375",0,0,0,0,0
"376",0,0,0,0,0
"377",5,4,2,1,2
"378",0,0,0,0,0
"379",0,0,0,0,0
"380",5,5,4,1,3
"381",0,1,0,0,0
"382",0,0,0,0,0
"383",4,9,4,1,5
"384",3,7,3,1,1
"385",8,4,3,2,4
"386",0,0,0,0,0
"387",5,3,5,1,2
"388",4,5,2,3,2
"389",0,0,0,0,0
"390",0,0,0,0,0
"391",4,4,2,2,3
"392",5,4,4,1,4
"393",0,0,0,0,0
"394",0,0,0,0,0
"395",0,0,0,0,0
"396",5,4,3,1,4
"397",0,0,0,0,0
"398",5,4,3,1,3
"399",3,3,4,1,6
"400",6,8,4,1,2
"401",9,5,3,1,5
"402",3,3,3,2,4
"403",6,4,2,1,3
"404",7,6,2,1,5
"405",0,0,0,0,0
"406",0,0,0,0,0
"407",5,4,3,1,6
"408",0,0,0,0,0
"409",6,6,3,2,5
"410",5,3,3,3,3
"411",0,0,0,0,0
"412",4,4,3,1,4
"413",0,0,0,0,0
"414",0,0,0,0,0
"415",5,4,2,2,2
"416",4,4,5,1,4
"417",6,4,2,1,5
"418",0,1,0,0,0
"419",0,0,0,0,0
"420",1,0,1,0,0
"421",4,4,1,1,3
"422",0,0,0,0,0
"423",5,3,3,2,4
"424",5,4,5,2,5
"425",0,0,0,0,0
"426",0,1,0,0,0
"427",5,5,4,2,4
"428",0,1,0,0,0
"429",0,0,0,0,0
"430",6,2,5,1,2
"431",7,6,6,1,5
"432",0,0,0,0,0
"433",6,3,4,1,6
"434",0,0,0,0,0
"435",0,0,0,0,0
"436",5,4,4,1,4
"437",5,3,3,1,4
"438",0,0,0,0,0
"439",0,0,0,0,0
"440",4,5,2,1,2
"441",5,6,2,2,4
"442",6,4,5,1,4
"443",0,0,0,0,0
"444",5,4,4,1,4
"445",4,3,3,2,3
"446",0,0,0,0,0
"447",0,0,0,0,0
"448",0,0,0,0,0
"449",0,0,0,0,0
"450",0,0,0,0,0
"451",6,4,3,3,4
"452",3,4,6,1,4
"453",0,1,0,0,0
"454",5,5,4,2,4
"455",3,4,5,1,5
"456",0,0,0,0,0
"457",0,0,0,0,0
"458",0,0,0,0,0
"459",0,0,0,0,0
"460",0,0,0,0,0
"461",5,5,4,3,3
"462",8,4,4,1,4
"463",0,0,0,0,0
"464",0,0,0,0,0
"465",5,6,2,1,3
"466",7,3,4,1,2
"467",0,0,0,0,0
"468",6,4,3,1,4
"469",0,0,0,0,0
"470",0,0,0,0,0
"471",0,0,0,0,0
"472",0,0,0,0,0
"473",4,3,2,1,4
"474",0,0,0,0,0
"475",8,9,5,1,5
"476",0,0,0,0,0
"477",0,0,0,0,0
"478",0,0,0,0,0
"479",0,0,0,0,0
"480",0,1,0,0,0
"481",4,6,3,2,4
"482",0,0,0,0,0
"483",6,6,3,1,5
"484",0,0,0,0,0
"485",1,0,0,0,0
"486",4,4,3,1,2
"487",5,6,3,2,2
"488",0,0,0,0,0
"489",6,5,5,1,3
"490",3,5,4,2,3
"491",5,5,4,2,3
"492",0,0,0,0,0
"493",4,5,4,1,3
"494",0,0,0,0,0
"495",5,5,4,2,5
"496",0,0,0,0,0
"497",1,0,0,0,0
"498",3,5,5,2,4
"499",5,4,2,1,2
"500",0,0,0,0,0
"501",0,0,0,0,0
"502",0,0,0,0,0
"503",0,0,0,0,0
"504",3,6,3,1,6
"505",0,0,0,0,0
"506",5,4,3,0,2
"507",0,0,0,0,0
"508",3,4,4,2,4
"509",6,6,4,2,3
"510",0,0,0,0,0
"511",4,10,2,1,4
"512",6,6,3,2,5
"513",0,0,0,0,0
"514",3,4,1,1,4
"515",5,6,3,2,4
"516",0,0,0,0,0
"517",5,4,3,1,3
"518",4,5,3,1,3
"519",0,0,0,0,0
"520",3,4,3,1,4
"521",7,5,7,1,3
"522",4,5,3,1,5
"523",0,0,0,0,0
"524",0,0,0,0,0
"525",3,6,4,1,3
"526",4,8,5,1,4
"527",4,6,2,1,3
"528",0,0,0,0,0
"529",0,0,0,0,0
"530",4,5,3,1,4
"531",0,0,0,0,0
"532",0,0,0,0,0
"533",0,0,0,0,0
"534",0,0,0,0,0
"535",5,8,5,1,4
"536",10,5,3,2,4
"537",1,0,0,0,0
"538",6,3,2,1,3
"539",6,6,4,2,4
"540",0,0,0,0,0
"541",0,0,0,0,0
"542",0,0,0,0,0
"543",0,0,0,0,0
"544",0,0,0,0,0
"545",0,0,0,0,0
"546",0,0,0,0,0
"547",0,0,0,0,0
"548",4,7,3,1,5
"549",3,4,6,2,2
"550",4,5,3,2,5
"551",5,7,2,1,4
"552",5,2,4,1,5
"553",5,3,5,2,6
"554",5,5,3,3,4
"555",0,0,0,0,0
"556",4,3,4,2,3
"557",0,0,0,0,0
"558",0,0,0,0,0
"559",4,4,3,2,5
"560",4,6,2,2,5
"561",3,2,3,2,2
"562",0,0,0,0,0
"563",10,5,4,1,5
"564",0,0,0,0,0
"565",0,0,0,0,0
"566",3,3,2,1,3
"567",0,0,0,0,0
"568",4,4,3,3,3
"569",0,0,0,0,0
"570",0,0,0,0,0
"571",4,6,4,2,4
"572",4,3,4,1,4
"573",6,6,2,1,2
"574",7,4,6,0,3
"575",4,3,6,2,6
"576",6,4,3,3,3
"577",0,0,0,0,0
"578",6,3,3,1,3
"579",0,0,1,0,0
"580",7,3,4,1,6
"581",7,8,4,1,3
"582",0,0,0,0,0
"583",0,0,0,0,0
"584",1,1,1,0,0
"585",0,0,0,0,0
"586",0,0,0,0,0
"587",0,0,0,0,0
"588",0,0,0,0,0
"589",4,5,3,1,3
"590",0,0,0,0,0
"591",0,0,0,0,0
"592",5,6,4,1,4
"593",3,6,3,1,5
"594",0,0,0,0,0
"595",6,6,5,1,4
"596",0,0,0,0,0
"597",4,2,4,1,3
"598",6,5,3,1,4
"599",1,0,0,0,0
"600",0,0,0,0,0
"601",0,0,0,0,0
"602",0,0,0,0,0
"603",4,4,5,2,4
"604",0,0,0,0,0
"605",0,0,0,0,0
"606",4,6,3,1,5
"607",0,0,0,0,0
"608",0,0,0,0,0
"609",0,0,0,0,0
"610",0,0,0,0,0
"611",6,5,3,1,3
"612",5,5,2,1,5
"613",3,5,4,1,4
"614",0,0,0,0,0
"615",3,5,5,1,7
"616",0,0,0,0,0
"617",0,0,0,0,0
"618",6,4,4,1,2
"619",0,0,0,0,0
"620",0,0,0,0,0
"621",0,0,0,0,0
"622",8,4,4,1,3
"623",0,0,0,0,0
"624",0,0,0,0,0
"625",0,0,0,0,0
"626",4,4,4,3,3
"627",0,0,0,0,0
"628",6,7,4,1,6
"629",0,0,0,0,0
"630",5,3,3,1,6
"631",4,3,4,2,4
"632",5,6,2,1,4
