"","age1.E","age2_no_comorbid.E","age2_comorbid.E","age3_no_comorbid.E","age3_comorbid.E"
"437",42,31,9,3,4
"438",0,1,0,0,0
"439",0,1,0,0,0
"440",34,34,6,3,3
"441",36,35,9,3,4
"442",42,39,8,3,5
"443",0,1,0,0,0
"444",47,30,7,3,3
"445",41,32,7,3,4
"446",2,2,0,0,0
"447",0,1,0,0,0
"448",0,1,0,0,0
"449",1,1,0,0,0
"450",3,2,2,0,0
"451",47,38,6,4,2
"452",44,36,10,3,4
"453",0,1,0,0,0
"454",50,33,9,3,4
"455",32,38,7,3,4
"456",0,1,1,0,0
"457",0,1,0,0,0
"458",0,1,0,0,0
"459",0,1,0,0,0
"460",1,1,0,0,0
"461",46,44,9,4,4
"462",47,40,9,3,4
"463",0,1,0,0,0
"464",0,1,0,0,0
"465",42,41,6,2,4
"466",25,22,7,3,3
"467",0,1,0,0,0
"468",40,33,8,2,3
"469",0,1,0,0,0
"470",0,1,0,0,0
"471",0,1,0,0,0
"472",0,1,0,0,0
"473",35,27,7,2,4
"474",0,1,0,0,0
"475",49,38,9,3,7
"476",1,1,0,0,0
"477",0,1,0,0,0
"478",0,1,0,0,0
"479",1,1,0,0,0
"480",5,3,1,0,0
"481",43,47,6,4,7
"482",0,1,0,0,0
"483",39,36,8,2,4
"484",0,1,0,0,0
"485",3,3,1,0,0
"486",50,35,9,2,4
"487",35,34,5,4,3
"488",0,1,0,0,0
"489",46,41,9,2,4
"490",31,23,6,3,4
"491",36,36,6,4,4
"492",0,1,0,0,0
"493",39,33,8,3,4
"494",0,1,0,0,0
"495",48,50,8,4,6
"496",0,1,0,0,0
"497",2,2,0,0,0
"498",36,35,8,3,3
"499",28,26,5,2,2
"500",0,1,0,0,0
"501",0,1,0,0,0
"502",0,1,0,0,0
"503",1,2,0,0,0
"504",45,40,8,3,7
"505",1,1,0,0,0
"506",36,37,6,3,4
"507",0,1,0,0,0
"508",30,24,5,3,4
"509",46,34,9,4,5
"510",0,1,0,0,0
"511",50,33,7,2,5
"512",35,32,8,3,3
"513",0,1,0,0,0
"514",37,28,4,2,3
"515",45,41,11,3,7
"516",0,1,0,0,0
"517",44,46,6,2,5
"518",45,35,10,3,5
"519",1,1,0,0,0
"520",41,38,6,4,4
"521",43,39,10,2,3
"522",37,45,8,3,5
"523",1,1,0,0,0
"524",0,1,0,0,0
"525",32,29,6,5,4
"526",40,43,7,3,5
"527",35,30,7,3,4
"528",0,1,0,0,0
"529",1,1,1,0,0
"530",38,26,7,4,4
"531",0,1,0,0,0
"532",0,1,0,0,0
"533",0,1,0,0,0
"534",1,1,0,0,0
"535",49,38,6,3,6
"536",40,31,7,5,4
"537",1,1,0,0,0
"538",41,30,7,4,6
"539",44,34,8,3,4
"540",0,1,0,0,0
"541",0,1,0,0,0
"542",0,1,0,0,0
"543",1,1,1,0,1
"544",2,1,0,0,0
"545",0,1,0,0,0
"546",0,1,0,0,0
"547",0,1,0,0,0
"548",44,46,8,6,6
"549",41,34,8,3,5
"550",39,36,6,2,3
"551",36,31,6,3,5
"552",32,30,6,2,6
"553",39,38,6,3,5
"554",34,26,5,4,5
"555",0,1,0,0,0
"556",25,22,5,3,3
"557",0,1,0,0,0
"558",0,1,0,0,0
"559",33,35,5,3,3
"560",37,32,8,4,4
"561",61,43,13,4,3
"562",0,1,0,0,0
"563",39,28,9,3,4
"564",0,1,0,0,0
"565",0,1,0,0,0
"566",28,28,5,2,3
"567",1,1,0,0,0
"568",44,34,7,3,4
"569",1,1,0,0,0
"570",1,1,0,0,0
"571",38,35,7,3,4
"572",47,40,9,2,4
"573",38,40,7,3,5
"574",33,31,7,3,4
"575",44,27,10,3,3
"576",50,42,9,3,6
"577",0,1,0,0,0
"578",40,33,9,2,3
"579",0,2,1,0,0
"580",37,37,7,2,8
"581",46,40,7,4,3
"582",0,1,0,0,0
"583",0,1,0,0,0
"584",2,4,1,0,0
"585",1,1,0,0,0
"586",0,1,0,0,0
"587",2,1,0,0,0
"588",1,1,1,0,0
"589",29,35,5,2,3
"590",1,1,1,0,1
"591",1,1,0,0,0
"592",38,26,6,3,4
"593",42,35,6,2,3
"594",0,1,0,0,0
"595",37,35,6,4,4
"596",0,1,0,0,0
"597",42,38,6,4,4
"598",43,35,8,3,6
"599",1,1,0,0,0
"600",0,1,0,0,0
"601",0,1,0,0,0
"602",2,1,0,0,0
"603",35,35,8,2,5
"604",0,1,0,0,0
"605",0,1,0,0,0
"606",40,41,10,4,5
"607",0,1,0,0,0
"608",2,2,2,0,0
"609",3,2,1,0,0
"610",1,1,0,0,0
"611",36,32,9,2,4
"612",46,35,5,3,5
"613",51,38,5,3,5
"614",1,1,0,0,0
"615",34,32,7,3,6
"616",3,2,2,1,0
"617",0,1,0,0,0
"618",32,30,8,3,3
"619",0,1,0,0,0
"620",0,1,0,0,0
"621",0,1,0,0,0
"622",44,34,7,4,4
"623",1,1,0,0,0
"624",0,1,0,0,0
"625",0,1,0,0,0
"626",47,35,5,4,4
"627",0,1,0,0,0
"628",48,43,8,3,6
"629",1,1,0,0,0
"630",45,36,11,3,4
"631",42,28,8,3,5
"632",39,42,7,2,3
"633",47,39,8,6,4
"634",49,37,6,3,6
"635",0,1,0,0,0
"636",0,1,0,0,0
"637",1,1,0,0,0
"638",42,34,6,4,3
"639",45,30,8,3,4
"640",0,1,0,0,0
"641",0,1,0,0,0
"642",0,1,0,0,0
"643",35,33,6,2,6
"644",50,47,9,5,4
"645",45,41,9,3,4
"646",38,32,6,5,5
"647",0,1,0,0,0
"648",0,1,0,0,0
"649",42,31,7,4,5
"650",3,1,1,0,0
"651",47,29,6,2,5
"652",0,1,0,0,0
"653",0,1,0,0,0
"654",46,40,7,4,5
"655",51,36,9,2,6
"656",39,30,6,2,3
"657",23,18,5,2,4
"658",0,1,0,0,0
"659",0,1,0,0,0
"660",32,36,6,2,4
"661",0,1,0,0,0
"662",0,1,0,0,0
"663",44,41,7,4,4
"664",32,35,7,3,4
"665",48,45,10,3,5
"666",2,1,1,0,0
"667",37,29,7,4,5
"668",0,1,0,0,0
"669",47,54,12,3,5
"670",30,25,6,2,5
"671",40,31,7,2,4
"672",0,1,0,0,0
"673",0,1,0,0,0
"674",23,19,5,2,2
"675",33,31,6,3,4
"676",41,33,7,3,4
"677",29,30,6,3,6
"678",0,1,0,0,0
"679",43,35,6,3,5
"680",1,1,0,0,0
"681",41,42,7,3,3
"682",0,1,0,0,0
"683",52,42,11,5,5
"684",0,1,0,0,0
"685",41,31,8,2,5
"686",44,35,9,2,5
"687",34,30,9,3,6
"688",39,32,8,3,4
"689",47,39,6,3,4
"690",1,1,0,0,0
"691",0,1,0,0,0
"692",45,31,6,2,6
"693",43,40,10,2,6
"694",0,1,0,0,0
"695",40,37,8,5,5
"696",1,1,0,0,0
"697",0,1,0,0,0
"698",57,41,9,3,8
"699",40,34,9,3,4
"700",0,1,0,0,0
"701",35,30,8,3,5
"702",1,1,0,0,0
"703",1,1,0,0,0
"704",39,29,6,3,5
"705",39,41,8,3,5
"706",0,1,0,0,0
"707",0,1,0,0,0
"708",0,1,0,0,0
"709",39,31,8,2,5
"710",40,36,8,3,4
"711",0,1,0,0,0
"712",34,34,8,3,5
"713",35,34,6,3,4
"714",34,40,7,3,4
"715",0,1,0,0,0
"716",0,1,0,0,0
"717",1,1,0,0,0
"718",0,1,0,0,0
"719",0,1,0,0,0
"720",0,1,0,0,0
"721",37,42,8,4,5
"722",0,1,0,0,0
"723",26,24,6,3,3
"724",34,31,7,3,2
"725",3,2,0,0,0
"726",1,1,0,0,0
"727",43,41,6,5,3
"728",0,1,0,0,0
"729",45,36,6,3,5
"730",0,1,0,0,0
"731",0,1,0,0,0
"732",0,1,0,0,0
"733",47,42,8,4,5
"734",47,38,9,3,3
"735",0,1,0,0,0
"736",32,28,7,2,5
"737",0,1,0,0,0
"738",0,1,0,0,0
"739",36,34,8,3,6
"740",35,31,6,4,4
"741",42,39,6,3,3
"742",0,1,0,0,0
"743",2,3,1,0,0
"744",3,1,1,0,1
"745",44,40,8,6,4
"746",0,1,0,0,0
"747",28,31,5,2,3
"748",46,44,9,4,6
"749",41,38,6,5,6
"750",0,1,0,0,0
"751",0,1,0,0,0
"752",43,43,10,7,4
"753",0,1,0,0,0
"754",0,1,0,0,0
"755",1,1,0,0,1
"756",0,1,0,0,0
"757",1,2,0,0,0
"758",38,26,5,2,4
"759",42,41,6,3,5
"760",34,33,6,2,4
"761",0,1,0,0,0
"762",0,1,0,0,0
"763",43,36,8,5,5
"764",0,1,0,0,0
"765",51,43,7,4,5
"766",45,41,6,3,4
"767",1,1,0,0,0
"768",0,1,0,0,0
"769",1,1,0,0,0
"770",2,1,1,0,0
"771",0,1,0,0,0
"772",0,1,0,0,0
"773",44,36,6,3,4
"774",38,34,5,3,4
"775",0,1,0,0,0
"776",36,28,8,2,3
"777",36,27,7,3,4
"778",34,37,7,4,3
"779",45,44,8,5,6
"780",0,1,0,0,0
"781",0,1,0,0,0
"782",1,1,1,0,0
"783",1,1,1,0,0
"784",0,1,0,0,0
"785",37,35,6,3,5
"786",39,33,7,2,4
"787",1,2,0,0,0
"788",47,34,6,4,4
"789",46,39,7,3,6
"790",0,1,0,0,0
"791",0,1,0,0,0
"792",0,1,0,0,0
"793",0,1,0,0,0
"794",0,1,0,0,0
"795",1,1,0,0,0
"796",38,30,8,3,4
"797",0,1,0,0,0
"798",0,1,0,0,1
"799",0,1,0,0,0
"800",43,37,8,3,3
"801",1,1,0,0,0
"802",47,42,7,4,4
"803",51,42,12,4,5
"804",45,38,7,4,3
"805",1,1,0,0,0
"806",28,23,6,4,3
"807",0,1,0,0,0
"808",0,1,0,0,0
"809",1,1,0,0,0
"810",0,1,0,0,0
"811",1,1,0,0,0
"812",34,30,6,3,4
"813",1,1,0,0,1
"814",0,1,0,0,0
"815",33,28,6,3,5
"816",0,1,0,0,0
"817",0,1,0,0,0
"818",34,30,6,1,4
"819",1,1,0,0,0
"820",0,1,0,0,0
"821",38,32,10,3,5
"822",49,36,7,4,4
"823",43,39,7,5,4
"824",1,1,0,0,0
"825",41,34,6,2,3
"826",44,35,8,3,5
"827",0,1,0,1,0
"828",47,42,6,3,4
"829",47,38,7,5,5
"830",0,1,0,0,0
"831",41,34,7,3,6
"832",41,42,8,3,3
"833",40,32,8,3,4
"834",2,1,0,0,0
"835",39,34,9,3,3
"836",0,1,0,0,0
"837",39,33,6,4,3
"838",35,39,6,3,4
"839",0,1,0,0,0
"840",0,1,0,0,0
"841",39,37,9,2,6
"842",37,28,6,3,3
"843",34,26,6,3,4
"844",0,1,0,0,0
"845",41,37,7,3,4
"846",1,1,0,0,0
"847",34,34,8,2,3
"848",0,1,0,0,0
"849",29,31,5,2,2
"850",36,35,9,3,5
"851",36,37,7,4,5
"852",2,1,0,0,0
"853",37,29,6,3,3
"854",0,1,0,0,0
"855",0,1,0,0,0
"856",0,1,0,0,0
"857",0,1,0,0,0
"858",1,2,0,0,0
"859",0,1,0,0,0
"860",0,1,0,0,0
"861",1,1,0,0,0
"862",1,1,0,0,0
"863",48,40,7,4,4
"864",53,41,8,3,6
"865",0,1,0,0,0
"866",21,21,4,3,3
"867",48,40,10,4,4
"868",0,1,0,0,0
"869",38,32,6,4,5
"870",32,28,8,2,4
"871",35,29,7,2,2
"872",0,1,0,0,0
"873",43,37,7,3,4
"874",43,34,9,3,5
"875",32,32,6,4,5
"876",0,1,0,0,0
"877",0,1,0,0,0
"878",0,1,0,0,0
"879",34,28,10,4,5
"880",1,1,0,0,0
"881",0,1,1,0,0
"882",1,3,1,1,0
"883",1,1,0,0,0
"884",1,1,0,0,0
"885",1,1,0,0,0
"886",29,26,7,2,3
"887",0,1,0,0,0
"888",0,1,0,0,0
"889",3,3,1,0,0
"890",0,1,0,0,0
"891",1,1,0,0,0
"892",0,1,0,0,0
"893",1,1,1,0,0
"894",51,42,8,5,4
