"","age1.E","age2_no_comorbid.E","age2_comorbid.E","age3_no_comorbid.E","age3_comorbid.E"
"758",134,126,20,7,12
"759",151,154,24,8,14
"760",128,153,23,6,14
"761",149,154,19,7,10
"762",153,147,19,10,13
"763",0,1,0,0,0
"764",2,1,0,0,0
"765",130,131,18,7,12
"766",143,146,17,7,17
"767",152,148,16,8,13
"768",131,122,18,9,13
"769",142,161,16,7,11
"770",142,126,22,9,14
"771",138,142,22,6,12
"772",0,1,0,0,0
"773",133,144,23,6,12
"774",146,134,20,11,13
"775",160,133,21,7,13
"776",0,1,0,0,0
"777",153,152,24,9,9
"778",135,151,21,7,15
"779",0,1,0,0,0
"780",135,134,17,9,10
"781",2,1,0,0,0
"782",152,161,21,7,14
"783",136,140,22,11,12
"784",0,1,0,0,0
"785",160,144,25,8,15
"786",147,140,21,7,11
"787",0,1,0,0,0
"788",1,1,0,0,0
"789",156,160,22,10,14
"790",156,138,19,8,15
"791",150,134,22,9,12
"792",157,130,26,8,10
"793",148,132,20,9,17
"794",163,165,26,7,14
"795",145,136,19,9,14
"796",0,1,0,0,0
"797",145,135,27,8,11
"798",141,138,18,8,12
"799",159,138,16,8,11
"800",0,1,0,0,0
"801",139,127,20,7,11
"802",134,143,22,7,14
"803",164,145,24,9,9
"804",0,1,0,0,0
"805",146,133,18,9,14
"806",0,1,0,0,0
"807",144,165,24,8,15
"808",137,123,13,8,15
"809",136,144,25,7,12
"810",157,145,20,7,12
"811",159,145,16,9,11
"812",137,127,24,7,12
"813",136,136,21,9,14
"814",144,136,21,6,17
"815",149,134,26,8,11
"816",0,1,0,0,0
"817",141,131,22,8,14
"818",156,152,21,9,12
"819",154,137,22,9,14
"820",131,135,21,8,12
"821",138,136,25,8,11
"822",139,139,24,10,11
"823",141,162,28,7,13
"824",137,112,25,7,11
"825",139,131,19,9,11
"826",141,124,24,8,10
"827",133,134,23,7,11
"828",141,145,19,6,16
"829",143,140,18,9,10
"830",0,1,0,0,0
"831",0,1,0,0,0
"832",0,1,0,0,0
"833",146,141,25,9,14
"834",134,125,20,12,15
"835",143,142,17,8,13
"836",133,126,25,8,11
"837",145,158,17,7,14
"838",137,128,29,6,12
"839",146,141,20,5,11
"840",138,146,23,8,17
"841",132,127,18,8,13
"842",137,128,19,9,15
"843",154,136,23,7,11
"844",137,125,23,8,8
"845",143,131,20,9,17
"846",146,150,24,7,11
"847",143,139,19,9,14
"848",136,155,25,8,10
"849",0,1,0,0,0
"850",142,133,25,8,13
"851",148,151,21,6,12
"852",155,143,18,8,14
"853",150,138,18,7,11
"854",169,161,22,7,17
"855",0,1,0,0,0
"856",151,113,19,8,13
"857",155,132,22,8,12
"858",0,1,0,0,0
"859",134,136,20,9,14
"860",0,1,0,0,1
"861",131,127,18,6,10
"862",151,142,18,8,11
"863",157,137,26,8,14
"864",119,142,21,5,13
"865",141,134,18,7,12
"866",134,134,26,10,17
"867",146,137,24,8,14
"868",0,1,0,0,0
"869",149,133,22,9,13
"870",164,125,19,7,13
"871",0,1,0,0,0
"872",130,130,21,8,13
"873",0,1,0,0,0
"874",136,129,23,8,14
"875",131,122,20,7,15
"876",134,133,19,7,10
"877",147,135,24,9,14
"878",151,145,23,8,11
"879",152,124,20,8,10
"880",133,144,19,9,13
"881",129,143,17,12,12
"882",144,142,27,8,14
"883",128,151,23,8,13
"884",171,144,19,7,13
"885",145,144,21,9,10
"886",134,120,28,8,14
"887",128,140,28,11,13
"888",170,134,26,9,11
"889",153,132,22,10,13
"890",133,143,19,6,14
"891",0,1,0,0,0
"892",157,162,20,8,15
"893",141,138,23,8,13
"894",127,124,22,6,13
"895",146,142,20,8,16
"896",149,129,24,7,12
"897",125,148,25,7,14
"898",135,133,25,9,11
"899",138,158,20,9,11
"900",1,1,0,0,0
"901",0,1,0,0,0
"902",145,143,18,10,14
"903",136,129,21,8,10
"904",0,1,0,0,0
"905",135,139,20,5,14
"906",154,143,22,10,13
"907",125,145,20,10,21
"908",124,135,19,9,10
"909",129,143,26,9,12
"910",145,148,19,12,12
"911",133,129,19,9,12
"912",126,115,17,8,11
"913",0,1,0,0,0
"914",141,150,24,5,11
"915",131,124,21,9,13
"916",135,124,21,9,11
"917",138,138,19,10,13
"918",142,164,23,8,13
"919",0,1,0,0,0
"920",138,130,23,8,11
"921",161,148,21,9,11
"922",130,160,20,8,11
"923",0,1,0,0,0
"924",137,133,17,13,12
"925",124,119,18,14,16
"926",0,1,0,0,0
"927",152,146,21,6,14
"928",0,1,0,0,0
"929",1,1,0,0,0
"930",151,144,22,10,12
"931",138,125,21,7,15
"932",154,149,21,8,11
"933",152,151,17,10,14
"934",140,153,19,8,14
"935",151,172,25,9,13
"936",144,145,22,8,14
"937",0,1,0,0,0
"938",130,118,19,8,11
"939",139,153,21,5,11
"940",139,146,23,8,11
"941",1,1,0,0,0
"942",147,123,22,9,12
"943",142,138,24,9,12
"944",1,1,1,0,0
"945",1,1,0,0,0
"946",147,131,23,9,15
"947",148,150,20,7,9
"948",152,145,27,6,10
"949",135,137,22,7,12
"950",0,1,0,0,0
"951",136,137,20,7,12
"952",154,133,18,5,11
"953",0,1,0,0,0
"954",148,130,22,7,10
"955",142,139,22,8,13
"956",137,133,23,9,13
"957",132,124,23,8,12
"958",0,1,0,0,0
"959",0,1,0,0,0
"960",1,1,0,0,0
"961",129,139,19,10,15
"962",136,149,21,6,10
"963",158,148,19,6,11
"964",134,158,23,8,10
"965",0,1,0,0,0
"966",159,118,24,9,15
"967",161,169,21,8,15
"968",132,148,24,7,10
"969",151,145,20,13,11
"970",0,1,0,0,0
"971",138,128,23,8,14
"972",137,139,23,8,13
"973",143,131,24,9,14
"974",129,142,18,8,10
"975",125,125,26,8,14
"976",127,144,24,8,11
"977",2,1,0,0,0
"978",137,148,18,8,15
"979",156,122,22,5,14
"980",136,136,17,11,12
"981",128,125,26,9,13
"982",137,143,19,9,11
"983",0,1,0,0,0
"984",146,131,21,11,15
"985",139,120,23,7,11
"986",0,1,0,0,0
"987",137,119,23,9,15
"988",128,137,20,7,13
"989",134,142,24,9,13
"990",129,146,21,7,11
"991",141,142,23,8,13
"992",0,1,0,0,0
"993",0,1,0,0,0
"994",146,141,20,7,12
"995",0,1,0,0,0
"996",0,1,0,0,0
"997",0,1,0,0,0
"998",135,161,22,10,17
"999",129,124,27,7,13
"1000",144,154,24,8,13
"1001",139,140,18,7,17
"1002",140,147,21,6,16
"1003",153,153,25,8,10
"1004",130,156,24,5,16
"1005",130,141,20,10,16
"1006",137,137,30,7,13
"1007",140,132,22,7,13
"1008",139,131,24,10,10
"1009",157,127,19,6,11
"1010",144,124,22,8,11
"1011",127,134,27,7,17
"1012",0,1,0,0,0
"1013",138,136,26,8,12
"1014",145,150,14,9,16
"1015",1,1,0,0,0
"1016",146,159,21,12,16
"1017",143,159,21,5,15
"1018",144,138,21,8,16
"1019",148,154,29,8,12
"1020",144,145,21,8,10
"1021",167,144,25,8,18
"1022",139,133,18,9,12
"1023",131,141,24,6,12
"1024",139,134,23,8,12
"1025",149,149,20,9,13
"1026",138,156,21,5,13
"1027",0,1,0,0,0
"1028",139,118,21,5,16
"1029",0,1,0,0,0
"1030",2,1,0,0,0
"1031",132,160,24,8,11
"1032",143,147,16,10,12
"1033",156,143,28,7,10
"1034",139,128,28,9,12
"1035",149,124,20,6,13
"1036",140,137,21,9,12
"1037",133,124,20,7,11
"1038",138,134,20,8,12
"1039",135,142,20,13,12
"1040",168,157,18,10,11
"1041",0,1,0,0,0
"1042",137,130,19,8,12
"1043",158,145,22,7,9
"1044",141,157,23,8,14
"1045",129,130,25,6,13
"1046",149,146,20,9,12
"1047",141,131,23,7,11
"1048",146,135,25,9,18
"1049",145,128,18,5,12
"1050",140,141,20,10,13
"1051",0,1,0,0,0
"1052",0,1,0,0,0
"1053",129,142,19,10,14
"1054",139,142,21,8,12
"1055",143,128,25,6,12
"1056",119,130,25,7,8
"1057",122,125,26,10,11
"1058",133,132,15,7,13
"1059",139,149,21,11,13
"1060",129,147,28,10,8
