"","age1_orange.O","age1_green.O","age2_no_comorbid_orange.O","age2_no_comorbid_green.O","age2_comorbid_green.O","age3_no_comorbid_green.O","age3_comorbid_green.O"
"269",182,0,152,0,0,0,0
"270",183,18,155,19,20,8,7
"271",0,0,0,0,0,0,0
"272",167,19,161,25,24,9,8
"273",181,12,158,13,10,4,4
"274",0,0,0,0,0,0,0
"275",0,0,1,0,0,0,0
"276",0,0,0,0,0,0,0
"277",149,13,169,14,19,5,5
"278",0,0,2,0,0,0,0
"279",181,15,177,16,14,8,6
"280",189,17,180,19,22,7,9
"281",168,13,153,19,19,10,8
"282",168,16,146,14,13,5,7
"283",0,0,0,0,0,0,0
"284",172,0,173,0,0,0,0
"285",149,11,146,17,16,5,7
"286",0,0,0,0,0,0,0
"287",186,17,174,15,19,9,8
"288",0,0,1,0,0,0,0
"289",186,16,189,20,13,5,6
"290",171,13,164,24,17,7,8
"291",166,1,162,1,1,0,1
"292",174,13,165,18,17,10,9
"293",0,0,1,0,0,0,0
"294",0,0,0,0,0,0,0
"295",186,17,176,16,17,8,8
"296",0,0,1,0,0,0,0
"297",144,13,139,13,16,6,6
"298",189,13,168,20,17,6,5
"299",160,13,186,16,15,6,6
"300",190,10,175,19,15,6,6
"301",176,11,180,21,19,5,7
"302",182,14,171,14,17,4,10
"303",187,19,175,14,20,6,7
"304",160,13,177,28,14,7,5
"305",172,18,179,20,20,5,7
"306",180,16,161,16,15,5,8
"307",155,11,144,19,17,5,6
"308",183,13,161,16,14,6,9
"309",196,14,167,16,18,4,7
"310",172,15,148,17,19,5,5
"311",176,20,146,18,17,7,7
"312",184,13,159,15,25,9,9
"313",176,18,181,19,15,5,8
"314",192,13,194,25,17,4,7
"315",167,9,170,17,17,9,4
"316",163,15,179,17,19,7,7
"317",180,15,177,23,24,8,9
"318",181,12,184,17,13,7,8
"319",190,16,182,17,18,8,6
"320",169,12,173,21,18,7,8
"321",189,15,179,29,22,9,12
"322",158,0,147,0,1,0,1
"323",170,13,174,21,15,6,5
"324",204,22,184,17,19,5,11
"325",152,16,163,21,14,6,6
"326",178,11,188,23,13,5,7
"327",0,0,1,0,0,0,0
"328",177,14,160,19,18,5,6
"329",160,18,158,16,15,7,7
"330",179,12,170,21,19,6,7
"331",194,14,185,15,12,5,7
"332",162,15,157,17,21,5,10
"333",162,12,162,13,16,5,6
"334",171,13,152,20,17,5,7
"335",189,13,148,13,16,6,4
"336",184,22,192,18,17,7,5
"337",196,16,185,22,17,7,10
"338",174,12,162,15,13,8,8
"339",174,0,155,0,0,0,0
"340",166,16,178,25,19,7,8
"341",173,10,155,15,14,4,6
"342",161,19,170,18,17,6,7
"343",187,15,145,18,13,6,5
"344",167,0,151,0,0,0,0
"345",179,0,147,1,1,0,0
"346",175,0,166,0,0,0,0
"347",182,14,173,15,17,7,7
"348",191,19,191,20,19,6,7
"349",158,13,158,13,17,4,5
"350",157,16,151,20,15,6,6
"351",177,16,176,15,16,8,7
"352",164,18,184,20,19,4,6
"353",128,16,153,19,15,6,9
