"","age1_orange.R","age2_no_comorbid_orange.R","age2_comorbid_orange.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"273",743,790,94,0,0
"274",0,1,0,0,0
"275",0,1,0,0,0
"276",0,1,0,0,0
"277",729,808,76,0,0
"278",741,791,88,0,0
"279",746,814,84,0,0
"280",0,1,0,0,0
"281",0,1,0,0,0
"282",746,786,81,0,0
"283",746,822,82,30,29
"284",740,819,95,28,28
"285",758,806,91,0,0
"286",0,1,0,0,0
"287",744,801,76,0,0
"288",743,776,72,0,0
"289",748,818,85,30,24
"290",0,1,0,0,0
"291",754,804,87,0,0
"292",745,787,89,0,0
"293",752,801,81,26,24
"294",736,801,89,33,27
"295",743,804,93,1,0
"296",752,798,81,0,0
"297",740,792,86,0,0
"298",741,793,87,1,0
"299",741,806,96,0,0
"300",760,806,83,1,0
"301",760,787,90,28,25
"302",739,803,83,0,0
"303",739,788,88,1,1
"304",745,786,90,0,0
"305",746,795,84,22,26
"306",733,804,92,0,0
"307",751,795,83,0,0
"308",743,812,86,28,22
"309",747,810,78,1,1
"310",736,805,88,0,0
"311",0,1,0,0,0
"312",757,793,77,0,0
"313",1,1,0,0,0
"314",752,798,81,31,27
"315",756,814,90,29,24
"316",749,804,80,0,0
"317",746,821,80,0,0
"318",0,1,0,0,0
"319",0,1,0,0,0
"320",753,812,90,0,0
"321",721,792,91,0,0
"322",747,798,82,0,0
"323",751,811,83,0,0
"324",735,784,89,0,0
"325",753,789,85,0,0
"326",0,1,0,0,0
"327",749,813,77,0,0
"328",761,802,92,0,0
"329",0,1,0,0,0
"330",763,811,80,0,0
"331",749,799,92,0,0
"332",0,1,0,0,0
"333",748,806,84,0,0
"334",728,800,74,0,0
"335",0,2,0,0,0
"336",742,805,83,0,0
"337",0,1,0,0,0
"338",737,808,79,0,0
"339",759,800,80,0,0
"340",736,809,93,0,0
"341",747,787,79,0,0
"342",741,804,83,0,0
"343",755,805,84,2,0
"344",747,784,79,0,0
"345",743,816,93,31,20
"346",0,1,0,0,0
"347",737,815,80,0,1
"348",748,786,95,0,0
"349",757,789,94,0,0
"350",733,783,84,0,0
"351",748,792,89,0,0
"352",757,824,95,0,0
"353",757,793,76,0,0
"354",727,796,91,1,2
"355",749,800,81,0,0
"356",0,1,0,0,0
"357",741,789,87,0,0
"358",0,1,0,0,0
"359",751,813,88,0,0
"360",747,795,92,0,0
"361",754,818,76,0,0
"362",739,777,84,0,0
"363",753,795,81,0,0
"364",0,1,0,0,0
"365",754,804,86,0,0
"366",2,1,0,0,0
"367",765,803,88,0,0
"368",0,1,0,0,0
"369",761,807,95,22,17
"370",743,814,83,29,21
"371",741,798,82,28,26
"372",0,1,0,0,0
"373",758,825,71,0,0
"374",743,813,89,0,0
"375",738,791,80,0,0
"376",760,793,93,32,25
"377",738,808,78,0,0
"378",755,812,86,0,0
"379",742,801,83,0,0
"380",0,1,0,0,0
"381",757,795,91,0,0
"382",740,793,83,0,0
"383",755,801,79,0,0
"384",739,790,79,1,2
"385",749,796,81,0,0
"386",745,825,94,28,31
"387",746,775,86,0,0
"388",757,780,85,0,0
"389",0,1,0,0,0
"390",759,792,86,0,0
"391",748,786,76,0,1
"392",753,795,86,0,0
"393",0,1,0,0,0
"394",742,797,88,0,0
"395",747,812,95,21,13
"396",0,1,0,0,0
"397",766,799,78,0,0
"398",739,773,84,1,0
"399",0,1,0,0,0
"400",739,799,85,0,0
"401",749,814,82,0,0
"402",739,814,88,0,0
"403",747,807,81,25,24
"404",737,801,78,0,0
"405",745,785,93,0,0
"406",756,794,83,28,29
"407",2,1,0,0,0
"408",739,808,88,29,25
"409",758,791,87,0,1
"410",750,809,74,24,19
"411",0,1,0,0,0
"412",746,832,85,0,0
"413",751,806,87,0,0
"414",727,810,80,0,0
"415",750,795,79,3,2
"416",743,809,78,27,28
"417",740,808,88,0,0
"418",741,807,86,0,0
"419",747,811,79,0,0
"420",0,1,0,0,0
"421",743,804,81,0,0
"422",0,1,0,0,0
"423",759,812,79,0,0
"424",748,823,83,26,23
"425",740,807,81,0,0
"426",748,797,85,25,26
"427",1,1,0,0,0
"428",740,793,84,0,0
"429",739,790,89,0,0
"430",0,1,0,0,0
"431",750,791,79,0,0
"432",747,794,91,0,0
"433",749,796,80,29,27
"434",745,800,84,0,1
"435",760,801,84,0,0
"436",740,799,80,0,0
"437",745,810,76,0,0
"438",758,780,83,0,0
"439",749,799,78,0,0
"440",736,818,80,23,33
"441",748,808,81,0,0
"442",739,804,83,24,25
"443",743,816,81,0,0
"444",753,805,82,0,0
"445",0,1,0,0,0
"446",0,1,0,0,0
"447",759,787,83,31,18
"448",745,819,88,0,0
"449",737,787,76,0,0
"450",0,2,0,0,0
"451",744,807,85,0,0
"452",751,794,77,0,0
"453",4,3,0,0,0
"454",752,807,75,0,1
"455",736,804,82,0,0
"456",737,806,88,24,13
"457",748,795,77,0,0
"458",1,1,0,0,0
"459",0,1,0,0,0
"460",761,797,86,0,0
"461",746,808,89,0,0
"462",753,805,85,0,0
"463",746,817,72,0,0
"464",750,780,79,0,0
"465",0,1,0,0,0
"466",744,789,92,0,0
"467",753,791,81,0,0
"468",753,768,78,0,0
"469",746,811,86,0,2
"470",744,818,75,0,1
"471",754,805,74,0,0
"472",764,779,82,1,1
"473",742,827,81,2,1
"474",756,805,84,30,26
"475",763,811,87,0,0
"476",771,791,86,29,22
"477",750,800,85,0,0
"478",737,792,73,0,0
"479",739,807,86,0,0
"480",741,791,74,0,0
"481",736,803,88,0,0
"482",752,799,93,0,0
"483",755,801,82,27,30
"484",757,789,82,31,29
"485",759,800,88,0,0
"486",755,788,77,1,0
"487",739,792,90,2,0
"488",734,800,78,0,0
"489",0,1,0,0,0
"490",743,815,82,0,0
"491",754,799,87,0,0
"492",0,1,0,0,0
"493",753,802,83,0,0
"494",745,800,85,0,0
"495",735,795,87,0,0
"496",731,802,79,1,0
"497",743,811,82,0,0
"498",753,797,85,0,0
"499",746,790,88,29,30
"500",1,1,0,0,0
