"","age1.A","age2_no_comorbid.A","age2_comorbid.A","age3_no_comorbid.A","age3_comorbid.A"
"114",0,0,0,0,0
"115",0,0,0,0,0
"116",0,0,0,0,0
"117",0,0,0,0,0
"118",0,0,0,0,0
"119",0,2.27257864444738,0,0,0
"120",0,27.2522925667724,0,0,10.2472241772192
"121",0,0,61.5710683937632,0,0
"122",0,0,0,0,0
"123",0,2.59412559970339,0,0,0
"124",0,0,0,0,0
"125",0,9.41557025940296,0,0,0
"126",0,0,0,0,0
"127",0,13.2040180148578,0,0,0
"128",0,0,0,0,0
"129",0,0,0,0,0
"130",0,0,0,0,0
"131",0,0,0,0,0
"132",0,0,0,0,0
"133",0,0,0,0,0
"134",0,0,0,0,0
"135",0,0,0,0,0
"136",0,0,0,0,0
"137",22.3266024481661,23.8336132499875,0,0,0
"138",10.304345436245,0,0,0,0
"139",0,0,0,0,0
"140",7.81481278983871,0,0,0,0
"141",0,0,0,0,0
"142",0,0,0,0,0
"143",0,0,0,0,0
"144",0,0,0,0,0
"145",0,0,0,0,0
"146",0,0,0,0,0
"147",0,0,0,0,0
"148",22.5585952400887,0,0,0,0
"149",6.59598013214112,0,0,0,0
"150",27.7718491904991,44.2695151823834,0,0,0
"151",0,0,0,0,0
"152",0,0,0,0,0
"153",0,0,0,0,0
"154",0,0,0,0,0
"155",0,0,0,0,0
"156",0,0,0,0,0
"157",0,0,0,0,0
"158",0,45.7432894876681,0,0,0
"159",0,9.85514412192608,0,0,0
"160",0,3.89782198375761,0,0,0
"161",0,0,0,0,0
"162",44.4321083907614,12.7225784088603,36.9369859151734,0,57.568249382327
"163",0,0,0,0,0
"164",0,3.22422300347953,0,0,0
"165",0,0,0,0,0
"166",0,19.3112660846302,0,0,0
"167",0,0,0,0,0
"168",0,16.4169680361607,0,0,0
"169",21.3919923879026,14.9403363918039,0,0,0
"170",0,0,0,0,0
"171",0,0,0,0,0
"172",14.5317173535755,0,0,0,0
"173",0,0,0,0,0
"174",0,0,0,0,0
"175",37.9724108512448,0,0,0,0
"176",0,0,0,0,0
"177",0,0,0,0,0
"178",98.42065269321,58.7979136061207,0,0,71.8687359148163
"179",0,0,0,0,0
"180",0,0,0,0,0
"181",0,33.4280020749296,32.6822712122694,0,0
"182",0,0,0,0,0
"183",9.9040980450638,0,0,0,0
"184",0,2.90013094539047,0,0,0
"185",0,21.827815650411,0,0,0
"186",6.39979511079141,2.18734254007882,0,0,0
"187",0,0,0,0,0
"188",0,0,0,0,0
"189",0,2.17816634740247,0,0,0
"190",18.2233821252874,11.1571468160329,0,0,0
"191",0,0,0,0,0
"192",0,0,0,0,0
"193",0,0,0,0,0
"194",0,0,0,0,0
"195",0,0,0,0,0
"196",0,0,0,0,0
"197",0,0,0,0,0
"198",0,0,0,0,0
"199",42.5678998846192,41.1526671229128,0,0,0
"200",0,0,0,0,0
"201",0,0,0,0,0
"202",0,0,0,0,0
"203",0,0,0,0,0
"204",0,0,0,0,0
"205",0,1.40839464655932,0,0,0
"206",0,0,0,0,0
"207",0,0,0,0,0
"208",0,0,0,0,0
"209",0,0,0,0,0
"210",24.851844986725,0,0,0,0
"211",0,0,0,0,0
"212",0,0,0,0,0
"213",0,0,0,0,0
"214",0,0,0,0,0
"215",0,0,0,0,0
"216",0,0,0,0,0
"217",61.5998787114503,27.967389910856,0,0,0
"218",0,20.2920235969991,0,0,0
"219",0,0,0,0,0
"220",0,0,0,0,0
"221",0,0,0,0,0
"222",0,0,17.9489104672252,0,0
"223",0,0,0,0,0
"224",0,0,0,0,0
"225",0,9.87849515819624,0,0,0
"226",0,0,0,0,0
"227",0,1.84119139081091,0,0,0
"228",0,1.40242841179826,0,0,0
"229",0,0,0,0,0
"230",0,0,0,0,0
"231",51.3141985971882,27.8473423841905,0,0,79.6060738229785
"232",0,0,0,0,0
"233",0,0,0,0,0
"234",0,0,0,0,0
"235",0,0,0,0,0
"236",0,0,0,0,0
"237",0,0,0,0,0
"238",0,0,0,0,0
"239",0,11.1149051936557,0,0,0
"240",0,5.76206716823081,0,0,0
"241",0,3.7565162427138,0,0,7.05924740731674
"242",0,0,0,0,0
"243",26.365894699024,23.100746570046,0,0,0
"244",0,12.4748657254275,0,0,0
"245",0,0,0,0,0
"246",0,9.67369899209624,0,0,0
"247",0,0,0,0,0
"248",0,2.06157446853046,0,0,0
"249",0,6.88690099723547,0,0,0
"250",0,0,0,0,0
"251",0,0,0,0,0
"252",0,0,0,0,0
"253",0,0,0,0,0
"254",50.1089535192591,3.5996862258724,0,0,0
"255",0,0,0,0,0
"256",0,0,0,0,0
"257",45.3768460874386,0,0,0,0
"258",0,0,0,0,0
"259",7.63569795353835,24.7779429494954,0,0,30.4097830430539
"260",0,0,0,0,0
"261",0,5.99257844657604,0,0,0
"262",0,0,0,0,0
"263",0,0,0,0,0
"264",0,0,0,0,0
"265",0,0,0,0,0
"266",0,0,0,0,0
"267",0,0,0,0,0
"268",0,3.52600352015837,0,0,0
"269",12.8657017850299,0,0,0,0
"270",0,4.28993500428629,0,0,0
"271",0,0,0,0,0
"272",32.9427335149259,0,0,0,0
"273",0,0,0,0,0
"274",0,0,0,0,0
"275",0,0,0,0,0
"276",0,0,0,0,0
"277",0,0,0,0,0
"278",0,0,0,0,0
