"","age1.O","age2_no_comorbid.O","age2_comorbid.O","age3_no_comorbid.O","age3_comorbid.O"
"917",1,1,0,0,0
"918",131,147,16,8,7
"919",146,154,23,5,7
"920",152,152,18,4,7
"921",135,129,12,5,6
"922",133,130,17,8,6
"923",0,1,0,0,0
"924",0,1,0,0,0
"925",137,133,15,6,8
"926",0,1,0,0,0
"927",0,1,0,0,0
"928",0,1,0,0,0
"929",138,150,17,6,7
"930",0,0,0,0,0
"931",0,1,0,0,0
"932",141,132,13,9,6
"933",149,151,25,9,5
"934",0,1,0,0,0
"935",143,135,11,3,11
"936",142,124,18,4,6
"937",137,131,19,5,7
"938",165,141,14,7,6
"939",0,1,0,0,0
"940",151,148,23,6,6
"941",0,1,0,0,0
"942",136,140,15,5,6
"943",134,168,14,11,7
"944",0,1,0,0,0
"945",116,132,16,7,9
"946",166,136,18,8,9
"947",157,152,14,8,8
"948",142,134,18,4,7
"949",141,133,14,5,11
"950",134,141,14,7,9
"951",126,130,15,4,5
"952",148,141,18,7,5
"953",142,132,17,5,9
"954",0,1,0,0,0
"955",129,129,17,6,7
"956",143,132,15,6,5
"957",133,155,14,5,8
"958",0,1,0,0,0
"959",138,139,16,6,6
"960",1,1,0,0,0
"961",140,129,16,4,6
"962",165,145,17,5,6
"963",153,143,12,6,8
"964",132,150,15,8,5
"965",155,135,12,6,7
"966",0,0,0,0,0
"967",134,122,21,7,6
"968",142,141,22,7,10
"969",129,120,18,6,10
"970",1,1,0,0,0
"971",145,126,15,7,7
"972",0,1,0,0,0
"973",144,137,16,5,6
"974",168,160,14,8,6
"975",176,161,19,8,8
"976",145,153,17,5,9
"977",0,1,0,0,0
"978",143,147,19,6,6
"979",146,126,18,8,6
"980",134,152,18,6,6
"981",172,142,19,6,8
"982",151,134,16,4,6
"983",141,132,15,6,6
"984",0,1,0,0,0
"985",139,147,23,6,7
"986",144,144,15,8,6
"987",141,144,15,6,5
"988",147,144,15,7,8
"989",138,154,14,5,6
"990",146,135,12,5,9
"991",0,1,0,0,0
"992",169,138,17,9,8
"993",152,150,16,8,8
"994",0,1,0,0,0
"995",0,1,0,0,0
"996",149,165,18,6,7
"997",0,1,0,0,0
"998",133,146,16,7,9
"999",0,1,0,0,0
"1000",148,157,17,10,8
"1001",146,144,17,8,6
"1002",151,132,16,6,8
"1003",159,140,17,4,7
"1004",132,128,15,6,5
"1005",154,139,20,8,8
"1006",134,127,15,7,6
"1007",139,134,15,3,5
"1008",131,143,18,6,6
"1009",139,149,17,7,7
"1010",146,131,18,8,9
"1011",0,1,0,0,0
"1012",147,139,15,7,8
"1013",1,1,0,0,0
"1014",127,108,19,5,7
"1015",146,150,17,5,7
"1016",132,121,16,7,8
"1017",0,1,0,1,0
"1018",166,152,17,6,5
"1019",159,149,14,8,9
"1020",139,137,17,4,6
"1021",0,0,0,0,0
"1022",144,136,19,6,9
"1023",140,144,12,5,8
"1024",0,1,0,0,0
"1025",134,130,15,6,9
"1026",149,112,15,8,7
"1027",0,1,0,0,0
"1028",0,0,0,0,0
"1029",130,142,20,7,7
"1030",0,0,0,0,0
"1031",137,122,14,6,5
"1032",151,160,19,11,8
"1033",151,135,19,7,8
"1034",152,129,17,6,7
"1035",127,137,13,8,8
"1036",135,120,15,5,9
"1037",140,132,17,4,9
"1038",139,160,17,5,7
"1039",0,1,0,0,0
"1040",138,151,14,6,6
"1041",137,132,16,6,7
"1042",0,0,1,0,0
"1043",165,151,18,6,6
"1044",135,142,15,4,8
"1045",159,153,15,6,9
"1046",0,1,0,0,0
"1047",152,130,16,6,9
"1048",144,134,16,6,7
"1049",0,0,0,0,0
"1050",1,1,0,0,0
"1051",0,1,0,0,0
"1052",126,129,16,5,6
"1053",0,1,0,0,0
"1054",144,132,14,7,11
"1055",144,149,18,4,7
"1056",128,135,12,7,5
"1057",149,147,16,10,7
"1058",118,143,20,5,9
"1059",133,138,16,6,6
"1060",135,137,13,6,7
