"time" "age1_orange.S" "age2_no_comorbid_orange.S" "age2_comorbid_orange.S" "age3_no_comorbid_green.S" "age3_comorbid_green.S" "age1_orange.E" "age2_no_comorbid_orange.E" "age2_comorbid_orange.E" "age3_no_comorbid_green.E" "age3_comorbid_green.E" "age1_orange.P" "age2_no_comorbid_orange.P" "age2_comorbid_orange.P" "age3_no_comorbid_green.P" "age3_comorbid_green.P" "age1_orange.A" "age2_no_comorbid_orange.A" "age2_comorbid_orange.A" "age3_no_comorbid_green.A" "age3_comorbid_green.A" "age1_orange.I" "age2_no_comorbid_orange.I" "age2_comorbid_orange.I" "age3_no_comorbid_green.I" "age3_comorbid_green.I" "age1_orange.H" "age2_no_comorbid_orange.H" "age2_comorbid_orange.H" "age3_no_comorbid_green.H" "age3_comorbid_green.H" "age1_orange.R" "age2_no_comorbid_orange.R" "age2_comorbid_orange.R" "age3_no_comorbid_green.R" "age3_comorbid_green.R" "age1_orange.D" "age2_no_comorbid_orange.D" "age2_comorbid_orange.D" "age3_no_comorbid_green.D" "age3_comorbid_green.D"
183 23.1823940134825 111.284180232815 14.8063542668953 19.4854571835295 33.036706952075 0.00459242850383781 0.013307304844047 0.0017705362024173 1.55195854585193 2.63127517092168 0.00157222008365979 0.00455266077714608 0.000605731274493824 0.48531801489168 0.822834634339076 0.00363633476854984 0.0104015147932993 0.00138392099017454 0.515960951406929 0.874788340339929 0.015263193222486 0.0436341560196245 0.00573762337597095 2.16195370453623 3.62763514482887 0.00762732961469333 0.0193613820676988 0.00756784034117195 0.577000700048964 2.35583323808882 744.56357066905 770.836052321936 83.780408919713 15.7852949431875 15.3314584958161 46.2213438112741 59.7885104267475 26.5961711612075 3.43705595654735 15.9194680235906
184 23.1817648541369 111.282350481444 14.8061108185726 19.1747265441633 32.5098772771495 0.00423687614058762 0.0122830144791873 0.00163425442379835 1.51988982494936 2.5769041123005 0.00145032790340131 0.00420160849040045 0.000559023786395469 0.475964331416535 0.806975889174398 0.00334971431690651 0.00958874495395396 0.00127578200628803 0.510157045371971 0.864948081471569 0.0140602501404936 0.040224726947571 0.00528934137526654 2.1375270762327 3.58636183758229 0.00702395753727691 0.0178894415383848 0.00699237498194716 0.576440467018412 2.35339097811216 744.566015148082 770.84294514942 83.781155343838 16.0901707930156 15.627338688977 46.222098871743 59.790516832727 26.5969830610157 3.5151239178322 16.2742031352325
185 23.1811840578541 111.280660270738 14.805885936128 18.8720139572485 31.9966418456986 0.00390916292383898 0.011338731885866 0.00150861767493138 1.48704850406085 2.52122314552134 0.00133798856165513 0.00387800724446904 0.000515968657818834 0.466324936817709 0.790632733786388 0.00308594791109621 0.00884009997503784 0.00117617483166745 0.503882275437628 0.854309494264705 0.0129532143299876 0.037084287400046 0.00487642590545008 2.11112942736503 3.54178661562168 0.00646835974746608 0.0165285888200872 0.00646035341653131 0.575283393605527 2.34851084044469 744.568267059963 770.849299607533 83.7818434715343 16.3914452787247 15.9197128239275 46.222794208709 59.7923704064031 26.5977330518512 3.59287222674004 16.627182500735
186 23.1806478556112 111.27909876337 14.8056781776556 18.5773602525508 31.4970698827339 0.00360709280213632 0.0104681506223614 0.00139278688408038 1.4535529295769 2.46443292150993 0.00123444799958689 0.00357969195608548 0.000476277824550373 0.456436516887909 0.773867367269045 0.00284319184688987 0.00815048811083454 0.0010844220098167 0.497164396232145 0.842919635429955 0.0119343496899032 0.0341914783560961 0.00449606862989056 2.08287745919397 3.49410637819907 0.00595675851617179 0.0152705438888324 0.0059685361625411 0.573538028875475 2.3412283269837 744.570341751361 770.855158163081 83.782477901145 16.6888470489418 16.2083177773943 46.2234345521736 59.7940827206143 26.5984258296884 3.67022336774099 16.9780577104802
187 23.1801527751471 111.277655974793 14.8054862147121 18.2907830930013 31.0111913349522 0.00332864421211689 0.00966546481695796 0.00128598958032214 1.41951851784509 2.40672912343736 0.00113901205633565 0.00330466935744226 0.000439686082414209 0.446335172513051 0.756740997033491 0.00261975355029486 0.00751522453447974 0.000999900224771204 0.490032236812474 0.830827383322967 0.0109965541618804 0.0315266478310579 0.0041456856790253 2.0528923501213 3.44352546972547 0.0054856740692062 0.0141076330374517 0.00551392109213486 0.571215144788746 2.33158801514445 744.572253329524 770.860559905615 83.7830628653154 16.9821215967553 16.4929068140178 46.2240242572789 59.7956644800143 26.5990657373138 3.74710188816278 17.3264908623663
188 23.1796956167037 111.27632270349 14.8053088230361 18.012278350705 30.5389992036953 0.00307195567404317 0.00892532799776215 0.00118751441585528 1.38505709967851 2.34830135536402 0.00105104151674087 0.00305110385458684 0.000405949205732488 0.436056202851111 0.739313471197566 0.00241407852859484 0.00692999760937181 0.000922035813510912 0.482515461737965 0.818083032855732 0.010133304993194 0.029071709369585 0.00382289903881619 2.02129875193637 3.39025398857548 0.00505190054227533 0.0130327444534311 0.00509372602735634 0.568327622897794 2.31964309051329 744.574014767181 770.865540826122 83.7836022611722 17.2710318490922 16.7732501556012 46.2245673348606 59.7971255871036 26.5996567912904 3.82343466110111 17.6721557021974
189 23.1792734318184 111.275090469994 14.8051448744349 17.7418215015427 30.0804519094337 0.00283531323535329 0.00824281715367193 0.00109670638431427 1.35027639450428 2.28933225068225 0.000969948002344617 0.00281730554116511 0.000374842352554593 0.425633919815187 0.721642964050294 0.00222473902591258 0.00639083937116321 0.000850300838590815 0.474644337438361 0.804737899384131 0.00933861114804812 0.026810018205046 0.003525520263026 1.98822380861062 3.33450613470074 0.00465248487777286 0.0120392886970753 0.00470537325739364 0.564890329005903 2.30545483066414 744.575637993685 770.870134060414 83.78409967668 17.5553585907623 17.0491353897323 46.225067478207 59.7984752006235 26.6002027057891 3.89915111832062 18.0147386213524
190 23.1788835033182 111.273951459366 14.8049933291313 17.4793690771926 29.6354757536039 0.00261713862229568 0.00761339881692481 0.00101296230805418 1.31527953532785 2.22999666671494 0.000895189670538364 0.00260171815581575 0.000346158462389087 0.415101443054509 0.703785628451509 0.00205042347213675 0.00589409788416779 0.000784209410162438 0.466449515106139 0.790843950611772 0.00860696904902128 0.0247262552883878 0.00325153522209816 1.95379624518507 3.27649867716837 0.00428470687634485 0.0111211610547628 0.00434647479140129 0.560919971400173 2.28909202189831 744.577133980669 770.87437011845 83.7845584154733 17.8349007487152 17.3203677424382 46.2255280883221 59.7997217909843 26.6007069152012 3.97418346401842 18.3539395591131
191 23.1785233273201 111.272898469437 14.8048532288772 17.224860103617 29.203967357496 0.0024159785942159 0.00703289856651827 0.00093572678058245 1.28016468651534 2.17046103668282 0.000826267619888292 0.00240290871967729 0.000319706877474597 0.404490580479795 0.685795393268017 0.00188992698779407 0.00543641229352436 0.000723314366665528 0.45796181271376 0.776453437010148 0.00793332274586894 0.022806322625147 0.00299909033878593 1.9181454529774 3.21644941546966 0.00394606121240935 0.0102727072654657 0.00401481893393131 0.556434954115514 2.27063035616602 744.578512818845 770.878277090563 83.7849815191886 18.1094755485128 17.5867702268107 46.2259522966749 59.8008731905295 26.6011725946366 4.04846686106849 18.6894727770966
192 23.1781905963884 111.271924862388 14.8047236905111 16.9782175503883 28.7857961195219 0.00223049499285557 0.00649747250681084 0.000864488371788221 1.24502472660917 2.11088283193282 0.000762722507599921 0.0022195578048393 0.000295312047997747 0.393831680708626 0.667723713201443 0.00174214254999287 0.00501468951315198 0.000667204173161758 0.449212011995279 0.761618547610178 0.00731302685727495 0.021037245476444 0.00276647972686666 1.88140063812336 3.1545757488076 0.00363424057295676 0.00948869114538274 0.00370835760469233 0.551455220082925 2.25015178678364 744.579783789626 770.881880840302 83.7853717883458 18.3789185702805 17.848183693905 46.2263429865053 59.8019366408639 26.6016026792186 4.12193960181192 19.0210675582374
