"","age1_orange.R","age1_green.R","age2_no_comorbid_orange.R","age2_no_comorbid_green.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"1358",0,0,1,0,0,0,0
"1359",176,11,178,19,18,6,4
"1360",175,16,179,19,17,11,4
"1361",178,0,186,0,0,0,0
"1362",180,0,178,0,0,0,0
"1363",161,14,179,16,21,7,6
"1364",177,12,183,17,17,5,7
"1365",0,0,1,0,0,0,0
"1366",174,15,174,21,20,5,4
"1367",170,0,188,0,0,0,0
"1368",178,11,174,14,12,1,6
"1369",177,15,184,17,20,5,5
"1370",177,0,180,0,0,0,0
"1371",0,0,1,0,0,0,0
"1372",177,1,177,2,0,0,0
"1373",177,0,178,0,0,0,0
"1374",0,0,2,0,0,0,0
"1375",177,0,186,0,0,0,0
"1376",0,0,2,0,0,0,0
"1377",0,0,1,0,0,0,0
"1378",0,0,1,0,0,0,0
"1379",174,0,174,0,0,0,1
"1380",172,0,184,0,0,0,0
"1381",0,0,2,0,0,0,0
"1382",175,0,181,0,0,0,0
"1383",170,0,175,0,0,0,0
"1384",176,0,181,0,0,0,0
"1385",0,0,1,0,0,0,0
"1386",176,15,180,17,17,6,2
"1387",179,0,181,0,0,0,0
"1388",173,1,182,0,0,0,0
"1389",169,11,160,17,22,3,4
"1390",0,0,1,0,0,0,0
"1391",172,16,177,21,20,5,5
"1392",175,0,183,0,0,0,0
"1393",169,0,187,0,0,0,1
"1394",172,0,166,0,0,0,0
"1395",177,0,177,0,0,0,0
"1396",172,0,176,0,0,0,0
"1397",171,13,180,12,21,5,4
"1398",168,0,173,0,0,0,0
"1399",185,0,176,0,0,0,0
"1400",173,15,192,14,19,4,3
"1401",0,0,2,0,0,0,0
"1402",166,0,177,0,0,0,0
"1403",178,0,178,0,0,0,0
"1404",170,0,167,0,0,0,0
"1405",173,16,175,15,19,5,0
"1406",171,0,178,0,0,0,0
"1407",0,0,1,0,0,0,0
"1408",175,0,172,0,0,0,0
"1409",177,1,171,3,3,0,0
"1410",0,0,1,0,0,0,0
"1411",173,0,174,0,0,0,0
"1412",176,13,182,15,10,6,5
"1413",178,0,186,0,0,0,0
"1414",182,0,182,0,0,0,0
"1415",1,0,1,0,0,0,0
"1416",172,15,175,16,19,10,7
"1417",173,0,183,0,0,0,0
"1418",0,0,1,0,0,0,0
"1419",176,12,182,20,15,5,5
"1420",169,9,172,7,7,3,2
"1421",0,0,1,0,0,0,0
"1422",168,14,182,20,14,7,8
"1423",174,16,174,18,16,6,3
"1424",174,0,185,0,0,0,0
"1425",169,0,178,0,0,0,0
"1426",2,0,1,0,0,0,0
"1427",169,0,177,0,0,0,0
"1428",170,14,165,19,19,5,2
"1429",176,16,174,18,22,4,5
"1430",177,1,173,0,0,0,0
"1431",175,0,179,1,0,0,0
"1432",174,15,183,20,20,5,4
"1433",176,0,180,0,0,0,0
"1434",0,0,1,0,0,0,0
"1435",176,0,162,0,0,0,0
"1436",172,12,188,14,14,1,5
"1437",175,0,175,0,0,0,0
"1438",167,7,174,4,3,1,0
"1439",179,0,180,0,0,0,0
"1440",179,0,184,0,0,0,0
"1441",169,0,181,0,0,0,0
"1442",179,0,177,0,0,0,0
"1443",180,0,177,0,0,0,0
"1444",178,0,182,0,0,0,0
"1445",176,0,179,0,0,0,0
"1446",173,0,175,0,0,0,0
"1447",181,0,183,0,0,0,0
"1448",174,14,182,20,18,6,4
"1449",179,0,188,0,0,0,0
"1450",168,0,179,2,1,0,0
"1451",175,11,188,18,17,7,5
"1452",173,0,157,0,0,0,0
"1453",175,0,176,0,0,0,0
"1454",169,0,173,0,0,0,0
"1455",178,0,179,0,0,0,0
"1456",173,13,183,21,13,4,4
"1457",169,0,181,0,0,0,0
"1458",177,0,174,0,0,0,0
"1459",169,0,179,0,0,0,0
"1460",176,0,178,0,0,0,0
"1461",172,11,181,7,17,4,3
"1462",168,0,184,0,0,0,0
"1463",0,0,1,0,0,0,0
"1464",168,0,180,0,0,0,0
"1465",176,0,176,0,0,0,0
"1466",176,6,177,8,10,1,0
"1467",169,0,179,0,0,0,0
