"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1143",7,1,25,3,6,6,5
"1144",11,0,31,6,8,5,11
"1145",1,3,14,10,16,7,8
"1146",6,16,18,23,31,11,18
"1147",5,16,23,23,31,11,19
"1148",3,16,18,23,31,11,19
"1149",3,16,16,23,31,11,19
"1150",188,16,211,23,31,11,19
"1151",2,5,24,8,9,4,10
"1152",188,16,211,23,31,11,19
"1153",10,1,19,4,8,3,9
"1154",10,16,21,23,31,11,19
"1155",5,2,17,9,16,6,10
"1156",9,1,26,7,5,4,7
"1157",10,16,24,23,31,11,19
"1158",11,16,16,23,31,11,19
"1159",8,16,26,23,31,11,19
"1160",6,16,27,23,31,11,19
"1161",9,16,30,22,31,11,19
"1162",14,16,22,23,31,11,19
"1163",6,1,14,2,6,1,5
"1164",9,2,17,5,5,5,9
"1165",5,1,15,8,2,5,8
"1166",10,16,29,23,31,11,19
"1167",4,15,22,23,31,11,19
"1168",6,16,19,23,31,11,19
"1169",9,16,14,23,31,11,19
"1170",4,16,35,23,31,11,19
"1171",7,1,28,4,8,6,8
"1172",5,16,29,23,31,11,19
"1173",188,16,210,23,31,11,19
"1174",12,16,28,23,31,11,19
"1175",8,16,21,23,31,11,19
"1176",6,16,24,22,31,11,19
"1177",5,16,18,23,31,11,19
"1178",4,16,23,23,31,11,19
"1179",9,16,24,23,31,11,19
"1180",188,16,211,23,31,11,19
"1181",7,16,27,23,31,11,19
"1182",2,16,28,23,31,11,19
"1183",5,16,21,23,31,11,19
"1184",6,16,28,23,31,11,19
"1185",8,0,12,2,5,6,5
"1186",13,16,17,23,31,11,19
"1187",6,16,18,23,31,11,19
"1188",11,16,38,23,31,11,19
"1189",7,1,28,4,8,4,10
"1190",5,16,31,23,31,11,19
"1191",4,16,23,23,31,11,19
"1192",9,15,28,21,31,11,18
"1193",5,16,28,20,30,11,18
"1194",11,16,24,23,31,11,19
"1195",7,0,13,2,4,2,5
"1196",7,16,29,23,31,11,19
"1197",8,16,45,23,31,11,19
"1198",188,16,211,23,31,11,19
"1199",6,16,31,23,31,11,19
"1200",13,16,32,23,31,11,19
"1201",5,14,25,19,30,9,18
"1202",6,16,16,23,31,11,19
"1203",12,3,28,6,4,2,12
"1204",14,16,35,23,31,11,17
"1205",7,16,21,23,31,11,19
"1206",11,16,27,23,31,11,19
"1207",6,16,25,23,30,11,19
"1208",14,16,24,23,31,11,19
"1209",10,3,28,5,9,8,13
"1210",8,3,19,6,8,4,6
"1211",9,16,31,23,31,11,19
"1212",3,2,25,2,3,2,6
"1213",3,16,21,23,31,11,19
"1214",188,16,211,23,31,11,19
"1215",9,16,26,23,31,11,19
"1216",8,16,21,23,31,11,19
"1217",11,16,35,23,30,11,19
"1218",10,16,24,23,31,11,19
"1219",14,1,21,6,6,4,8
"1220",6,16,19,23,31,11,19
"1221",7,0,28,3,7,4,6
"1222",10,16,16,23,31,11,19
"1223",7,2,21,8,10,6,9
"1224",6,1,16,9,7,3,5
"1225",5,16,23,23,31,11,19
"1226",7,16,31,23,31,11,19
"1227",9,4,29,7,10,3,12
"1228",6,0,18,3,7,3,6
"1229",7,16,29,22,30,11,19
"1230",188,16,211,23,31,11,19
"1231",6,16,23,23,31,11,19
"1232",6,6,29,8,8,3,8
"1233",9,16,26,23,31,11,19
"1234",3,16,19,23,31,11,19
"1235",7,16,14,23,31,11,19
"1236",10,16,19,23,31,11,19
"1237",10,15,16,23,31,11,19
"1238",4,3,13,6,14,3,11
"1239",4,16,17,23,31,11,19
"1240",3,16,18,23,31,11,19
"1241",7,16,23,22,31,11,19
"1242",6,16,19,23,31,11,19
"1243",188,16,211,23,31,11,19
"1244",12,16,36,23,31,11,19
"1245",6,16,15,23,31,11,19
"1246",5,16,30,23,31,11,19
"1247",6,16,15,23,30,10,19
